policy_id,scenario,mean_diff_vs_reference_v6,p05_diff_vs_reference_v6,p50_diff_vs_reference_v6,p95_diff_vs_reference_v6,prob_beats_reference_v6,cvar90_simulated_loss_v6,n_paths,reference_policy_v6
paper4_v4_local_rt0p1775_g0p475_u0p025,cycle_stress,2192.947201841278,-52081.735316918086,3404.1021503333686,54741.84766212729,0.536,300890.99680300505,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p050,adverse,1665.3520839050732,-56519.15198875194,1986.350477316293,61396.71600068347,0.54,253120.3494819105,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p050,baseline,1065.506760679116,-48905.22359186016,159.43538955111342,58389.8635668608,0.504,180977.89146770668,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p050,cycle_stress,1517.0941851717937,-47953.50896622216,23.23613610537359,54143.37682302774,0.5,306301.83560491813,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p075,adverse,2759.785126154382,-47483.76491894777,5186.544389963285,51362.386047965905,0.564,258539.8423694605,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p075,baseline,1141.2573715694784,-49412.46174841398,1407.6397941659125,51242.49000432071,0.52,186767.78300663448,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p075,cycle_stress,1492.002130059758,-53294.93692446059,3468.587473522617,52984.64329583629,0.532,311427.07135810476,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p100,adverse,201.8566324507278,-65258.02329131254,5169.690261217161,54576.74878374525,0.576,262020.5309344715,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p100,baseline,293.3375004168371,-51570.95495186484,-281.8401542936226,54177.48232219678,0.496,182844.00563133054,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p100,cycle_stress,2454.5590789771004,-49290.499348653364,2001.4540765041056,57890.5642236519,0.524,311310.33337930084,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap420000_floor110000,adverse,55603.59071329439,-9446.255974535337,56176.60538674774,114027.28538954511,0.932,200728.19149913895,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap420000_floor110000,baseline,47926.52803226432,-14052.374790803751,46310.36207384212,105629.23638153612,0.924,127467.80317944614,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap420000_floor110000,cycle_stress,59998.47742447484,-3784.4678652869716,59652.862118596306,120874.1497674782,0.944,252472.6526375021,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap420000_floor80000,adverse,59992.65408133301,1855.6839889231737,59292.796060667,114303.27602752861,0.956,199965.25656562627,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap420000_floor80000,baseline,50026.579645754566,-4228.38209797714,48024.76879179135,108844.36260613304,0.916,126931.7763999822,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap420000_floor80000,cycle_stress,60900.45206214415,373.5774587899762,61689.412823488005,113853.35989383352,0.952,258256.4292985983,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap520000_floor110000,adverse,59265.92169349979,-7431.416661057644,63095.15375750384,109255.28347511702,0.936,195584.85860148742,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap520000_floor110000,baseline,48988.41755258654,-1599.2113891509339,46259.97368120843,106611.18742271689,0.94,124419.02683580505,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap520000_floor110000,cycle_stress,64154.19290375801,7065.953986346231,61592.190739254555,126629.64860672182,0.976,247130.42319965133,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap520000_floor80000,adverse,56837.025685997425,-5485.853990519059,60244.720830152706,107218.18132461871,0.936,200505.54938190817,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap520000_floor80000,baseline,47350.55150860653,-8582.699103494302,45419.437912845315,105512.7649289797,0.888,125206.449808496,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap520000_floor80000,cycle_stress,61501.01341997019,-2367.4454664291766,62368.3523694585,122030.58047958308,0.936,257020.15072180313,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap650000_floor110000,adverse,57986.550795979885,-4279.098372806239,57568.198878934374,116738.4044824522,0.94,202017.61774240673,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap650000_floor110000,baseline,49707.91692951331,-10241.152076267934,48699.95449331883,101852.72854432411,0.924,127070.84231462341,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap650000_floor110000,cycle_stress,60830.96027374546,330.9949553351248,61552.73716335377,117976.69275753248,0.948,254562.83976646286,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap650000_floor80000,adverse,55218.7018083487,-1213.7060794006857,52165.44304109685,111991.89132051001,0.944,206873.93228845042,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap650000_floor80000,baseline,48637.560187801304,-6625.704113877999,50051.405408080966,103811.11653808675,0.924,126972.01105666427,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap650000_floor80000,cycle_stress,62432.282345022846,149.48099144650268,64936.659088148044,122175.20059650567,0.948,256396.1603895357,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap800000_floor110000,adverse,58163.53961973322,4754.952491137726,57816.187408238446,118667.34850145988,0.956,198462.37320435722,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap800000_floor110000,baseline,47256.33285517597,-1849.842042206469,44629.544980651764,99725.96774427216,0.944,127343.74443637447,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap800000_floor110000,cycle_stress,64566.99208602464,3396.7960684873588,64411.24519623336,123319.00580218507,0.968,244852.9484777277,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap800000_floor80000,adverse,56237.14621058309,-12919.121390264281,59329.11725854605,110055.56372772099,0.92,200814.76365336712,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap800000_floor80000,baseline,46174.10179748414,-5128.214043068742,45056.24850269643,101308.41668577684,0.928,130619.5335619884,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap800000_floor80000,cycle_stress,61308.713841678444,-1411.8107735959911,62016.962912832736,117719.2400848497,0.944,254943.90060799007,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap950000_floor110000,adverse,58090.383662746186,2016.6190192661709,56800.25984415395,117500.8553145613,0.956,196466.79219910037,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap950000_floor110000,baseline,50481.56760162366,-8901.706486046543,48096.91150645017,110442.7733894799,0.92,127766.34608234478,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap950000_floor110000,cycle_stress,64606.956540516934,6049.9989529733875,65307.59537161738,123500.05544267275,0.956,250864.10190682762,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap950000_floor80000,adverse,58142.61031161674,1874.6773523480078,59483.946920635135,114788.94684900591,0.956,199775.83611558846,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap950000_floor80000,baseline,49074.17116328795,-3985.8672665993063,49536.890063252096,103098.80228420255,0.94,125230.5889013228,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_cvar_cap950000_floor80000,cycle_stress,60823.56835307234,373.2262335759783,59960.9526732113,117863.49971138421,0.948,253378.81228777065,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_committee_rt1725_wp10_wd12,adverse,50987.64845903753,-32073.957021449336,55221.41905622298,127069.75004156114,0.868,169456.30380564186,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_committee_rt1725_wp10_wd12,baseline,28647.50119947247,-32843.81183087346,25760.735632333744,89767.11602893154,0.776,111336.77966357699,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_committee_rt1725_wp10_wd12,cycle_stress,70320.1032718784,-17656.273600218447,68861.33833646949,164683.10438994184,0.92,213595.07757242897,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_reviewcap_rt175_wp08_wd08,adverse,49579.544260100134,-18841.56697762095,48835.28352657537,119274.0484292427,0.884,196968.4248398069,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_reviewcap_rt175_wp08_wd08,baseline,40255.028764732255,-18323.55488864221,40474.401888847904,101320.98890490686,0.88,124357.49820565438,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_reviewcap_rt175_wp08_wd08,cycle_stress,59797.30400247412,-6599.463842443114,60008.93086295738,131538.4476916328,0.932,247669.96498567835,250,paper4_v4_local_rt0p1700_g0p425_u0p025
