policy_id,frontier_family,realized_return_proxy_lgd45,net_return_after_contractual_ecl_v4,regret_gross_v4,regret_net_ifrs9_v4,auditability_score_v4,online_min,mdcp_worst,max_proxy_gap_v4,pareto_candidate_v4
paper4_v4_local_rt0p1725_g0p500_u0p100,CRPTO local v4,173680.69742503017,86284.69782808007,4367.405182221206,0.0,0.9011745121819577,0.9047619047619048,0.8461538461538461,0.2606406770536259,True
paper4_v4_local_rt0p1700_g0p475_u0p100,CRPTO local v4,174431.6433553046,86133.4265668815,3616.4592519467697,151.27126119856257,0.9007111177751794,0.9047619047619048,0.8461538461538461,0.26334238614111505,True
paper4_v4_local_rt0p1750_g0p500_u0p100,CRPTO local v4,174757.92155780335,86135.38177756131,3290.1810494480305,149.31605051875522,0.9004773761847016,0.9047619047619048,0.8461538461538461,0.2647051599896575,True
paper4_v4_local_rt0p1725_g0p400_u0p000,CRPTO local v4,175696.21562526395,79870.10412250864,2351.8869819874235,6414.593705571431,0.8974502139371255,0.9047619047619048,0.8333333333333334,0.2614521669092603,True
paper4_v4_local_rt0p1725_g0p400_u0p025,CRPTO local v4,175696.21562526395,79870.10412250864,2351.8869819874235,6414.593705571431,0.8974502139371255,0.9047619047619048,0.8333333333333334,0.2614521669092603,True
paper4_v4_local_rt0p1725_g0p400_u0p050,CRPTO local v4,175696.21562526395,79870.10412250864,2351.8869819874235,6414.593705571431,0.8974502139371255,0.9047619047619048,0.8333333333333334,0.2614521669092603,True
paper4_v4_local_rt0p1725_g0p400_u0p075,CRPTO local v4,175696.21562526395,79870.10412250864,2351.8869819874235,6414.593705571431,0.8974502139371255,0.9047619047619048,0.8333333333333334,0.2614521669092603,True
paper4_v4_local_rt0p1725_g0p400_u0p100,CRPTO local v4,175696.21562526395,79870.10412250864,2351.8869819874235,6414.593705571431,0.8974502139371255,0.9047619047619048,0.8333333333333334,0.2614521669092603,True
paper4_v4_local_rt0p1700_g0p400_u0p000,CRPTO local v4,176309.76764157554,81520.1506378667,1738.3349656758364,4764.547190213372,0.8968704326548763,0.9090909090909091,0.8333333333333334,0.27266753410457656,True
paper4_v4_local_rt0p1700_g0p400_u0p025,CRPTO local v4,176309.76764157554,81520.1506378667,1738.3349656758364,4764.547190213372,0.8968704326548763,0.9090909090909091,0.8333333333333334,0.27266753410457656,True
paper4_v4_local_rt0p1700_g0p400_u0p050,CRPTO local v4,176309.76764157554,81520.1506378667,1738.3349656758364,4764.547190213372,0.8968704326548763,0.9090909090909091,0.8333333333333334,0.27266753410457656,True
paper4_v4_local_rt0p1700_g0p400_u0p075,CRPTO local v4,176309.76764157554,81520.1506378667,1738.3349656758364,4764.547190213372,0.8968704326548763,0.9090909090909091,0.8333333333333334,0.27266753410457656,True
paper4_v4_local_rt0p1700_g0p400_u0p100,CRPTO local v4,176309.76764157554,81520.1506378667,1738.3349656758364,4764.547190213372,0.8968704326548763,0.9090909090909091,0.8333333333333334,0.27266753410457656,True
paper4_v4_local_rt0p1750_g0p425_u0p000,CRPTO local v4,176420.17324300256,81509.64765550982,1627.9293642488192,4775.050172570249,0.8966425541900576,0.9090909090909091,0.8333333333333334,0.27397350425383027,True
paper4_v4_local_rt0p1750_g0p425_u0p025,CRPTO local v4,176420.17324300256,81509.64765550982,1627.9293642488192,4775.050172570249,0.8966425541900576,0.9090909090909091,0.8333333333333334,0.27397350425383027,True
paper4_v4_local_rt0p1750_g0p425_u0p050,CRPTO local v4,176420.17324300256,81509.64765550982,1627.9293642488192,4775.050172570249,0.8966425541900576,0.9090909090909091,0.8333333333333334,0.27397350425383027,True
paper4_v4_local_rt0p1750_g0p425_u0p075,CRPTO local v4,176420.17324300256,81509.64765550982,1627.9293642488192,4775.050172570249,0.8966425541900576,0.9090909090909091,0.8333333333333334,0.27397350425383027,True
