policy_id,scenario,pd_multiplier,lgd,portfolio_loss,cvar_excess_u
v6_cvar_cap360000_floor80000,baseline_mid,1.0,0.45,77625.00000007763,0.0
v6_cvar_cap360000_floor80000,baseline_high,1.12,0.48,92736.00000009275,0.0
v6_cvar_cap360000_floor80000,adverse_mid,1.4,0.55,132789.30486889507,0.0
v6_cvar_cap360000_floor80000,adverse_high,1.65,0.58,162333.400935374,0.0
v6_cvar_cap360000_floor80000,severe_mid,1.9,0.65,205869.71435644352,32641.835870576662
v6_cvar_cap360000_floor80000,severe_high,2.2,0.7,252649.31552376956,79421.4370379032
v6_cvar_cap360000_floor110000,baseline_mid,1.0,0.45,77625.00000007763,0.0
v6_cvar_cap360000_floor110000,baseline_high,1.12,0.48,92736.00000009275,0.0
v6_cvar_cap360000_floor110000,adverse_mid,1.4,0.55,132789.30486889507,0.0
v6_cvar_cap360000_floor110000,adverse_high,1.65,0.58,162333.400935374,0.0
v6_cvar_cap360000_floor110000,severe_mid,1.9,0.65,205869.71435644352,32641.835870576662
v6_cvar_cap360000_floor110000,severe_high,2.2,0.7,252649.31552376956,79421.4370379032
v6_cvar_cap420000_floor80000,baseline_mid,1.0,0.45,77625.00000007763,0.0
v6_cvar_cap420000_floor80000,baseline_high,1.12,0.48,92736.00000009275,0.0
v6_cvar_cap420000_floor80000,adverse_mid,1.4,0.55,132789.30486889507,0.0
v6_cvar_cap420000_floor80000,adverse_high,1.65,0.58,162333.400935374,0.0
v6_cvar_cap420000_floor80000,severe_mid,1.9,0.65,205869.71435644352,43536.3134210695
v6_cvar_cap420000_floor80000,severe_high,2.2,0.7,252649.31552376956,90315.91458839603
v6_cvar_cap420000_floor110000,baseline_mid,1.0,0.45,77625.00000007763,0.0
v6_cvar_cap420000_floor110000,baseline_high,1.12,0.48,92736.00000009275,0.0
v6_cvar_cap420000_floor110000,adverse_mid,1.4,0.55,132789.30486889507,0.0
v6_cvar_cap420000_floor110000,adverse_high,1.65,0.58,162333.400935374,0.0
v6_cvar_cap420000_floor110000,severe_mid,1.9,0.65,205869.71435644352,43536.3134210695
v6_cvar_cap420000_floor110000,severe_high,2.2,0.7,252649.31552376956,90315.91458839603
v6_cvar_cap520000_floor80000,baseline_mid,1.0,0.45,77625.00000007763,0.0
v6_cvar_cap520000_floor80000,baseline_high,1.12,0.48,92736.00000009275,0.0
v6_cvar_cap520000_floor80000,adverse_mid,1.4,0.55,132789.30486889507,0.0
v6_cvar_cap520000_floor80000,adverse_high,1.65,0.58,162333.400935374,0.0
v6_cvar_cap520000_floor80000,severe_mid,1.9,0.65,205869.71435644352,43536.3134210695
v6_cvar_cap520000_floor80000,severe_high,2.2,0.7,252649.31552376956,90315.91458839603
v6_cvar_cap520000_floor110000,baseline_mid,1.0,0.45,77625.00000007763,0.0
v6_cvar_cap520000_floor110000,baseline_high,1.12,0.48,92736.00000009275,0.0
v6_cvar_cap520000_floor110000,adverse_mid,1.4,0.55,132789.30486889507,0.0
v6_cvar_cap520000_floor110000,adverse_high,1.65,0.58,162333.400935374,0.0
v6_cvar_cap520000_floor110000,severe_mid,1.9,0.65,205869.71435644352,43536.3134210695
v6_cvar_cap520000_floor110000,severe_high,2.2,0.7,252649.31552376956,90315.91458839603
v6_cvar_cap650000_floor80000,baseline_mid,1.0,0.45,77625.00000007763,0.0
v6_cvar_cap650000_floor80000,baseline_high,1.12,0.48,92736.00000009275,0.0
v6_cvar_cap650000_floor80000,adverse_mid,1.4,0.55,132789.30486889507,0.0
v6_cvar_cap650000_floor80000,adverse_high,1.65,0.58,162333.400935374,0.0
v6_cvar_cap650000_floor80000,severe_mid,1.9,0.65,205869.71435644352,43536.3134210695
v6_cvar_cap650000_floor80000,severe_high,2.2,0.7,252649.31552376956,90315.91458839603
v6_cvar_cap650000_floor110000,baseline_mid,1.0,0.45,77625.00000007763,0.0
v6_cvar_cap650000_floor110000,baseline_high,1.12,0.48,92736.00000009275,0.0
v6_cvar_cap650000_floor110000,adverse_mid,1.4,0.55,132789.30486889507,0.0
v6_cvar_cap650000_floor110000,adverse_high,1.65,0.58,162333.400935374,0.0
v6_cvar_cap650000_floor110000,severe_mid,1.9,0.65,205869.71435644352,43536.3134210695
v6_cvar_cap650000_floor110000,severe_high,2.2,0.7,252649.31552376956,90315.91458839603
