metric_v402,before_v402,after_v402,delta_v402,claim_boundary_v402
global_notebook_total,132,62,-70,lint reduction only; global lint not clean
global_notebook_e402,112,42,-70,lint reduction only; global lint not clean
global_notebook_i001,0,0,0,lint reduction only; global lint not clean
global_notebook_b018,10,10,0,lint reduction only; global lint not clean
global_notebook_f821,1,1,0,lint reduction only; global lint not clean
