stage_v280,pair_rows_v280,claim_boundary_v280
all_pairs,47315358,post-v279 restricted-pool MILP one-swap screen stage count only
return_improving,1642847,post-v279 restricted-pool MILP one-swap screen stage count only
budget_return_feasible,975412,post-v279 restricted-pool MILP one-swap screen stage count only
source_prefilter_feasible,14826,post-v279 restricted-pool MILP one-swap screen stage count only
source_exact_feasible,0,post-v279 restricted-pool MILP one-swap screen stage count only
cvar_feasible_improving,0,post-v279 restricted-pool MILP one-swap screen stage count only
