month,split,oracle_value_proxy,candidate_value_proxy,decision_regret_proxy_v20,oracle_route,candidate_route
2020-03-01,test,78213.53122747983,8207.946084058789,70005.58514342105,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2020-04-01,test,61482.48314121908,13464.155719577166,48018.327421641916,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2020-05-01,test,51951.597014762956,17710.26317356495,34241.33384119801,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2020-06-01,test,42781.034854870726,17006.704168170458,25774.33068670027,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2020-07-01,test,50077.94670717937,12031.658781087837,38046.287926091536,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2020-08-01,test,34214.712358683246,14618.044610280354,19596.66774840289,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2020-09-01,test,21156.294745312414,15944.024615622904,5212.27012968951,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2018-01-01,train,145422.09415337763,41578.46593873046,103843.62821464718,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2018-02-01,train,146391.32017051068,13763.678971794245,132627.64119871642,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2018-03-01,train,144338.36358886058,7743.202636690918,136595.16095216965,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2018-04-01,train,150276.87981962867,6089.338237413501,144187.54158221517,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2018-05-01,train,139298.69075286147,12758.83432817343,126539.85642468804,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2018-06-01,train,136572.98953358817,11143.970826687057,125429.01870690112,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2018-07-01,train,162290.92831873387,17165.748911791576,145125.1794069423,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2018-08-01,train,157390.6143410207,15980.57436703911,141410.0399739816,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2018-09-01,train,152000.65784225884,15320.803664853334,136679.8541774055,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2018-10-01,train,161222.80244186928,20628.20565825385,140594.59678361542,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2018-11-01,train,148519.4215146149,19306.43609393039,129212.9854206845,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2018-12-01,train,143761.77077370146,16534.985338064864,127226.78543563659,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2019-01-01,train,143687.95321868977,14279.84815657904,129408.10506211073,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2019-02-01,train,144316.87925354711,14598.274163336866,129718.60509021024,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2019-03-01,train,153936.13652512222,9299.20587394646,144636.93065117576,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2019-04-01,train,151185.34519700822,18165.30072612658,133020.04447088164,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2019-05-01,train,156120.83674322715,9184.775012419184,146936.06173080797,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2019-06-01,train,145096.739454375,12912.751403424474,132183.98805095052,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2019-07-01,train,153817.54110459716,18353.030995467547,135464.5101091296,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2019-08-01,validation,154071.1340979858,15931.877086513965,138139.25701147184,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2019-09-01,validation,149967.6257550707,12267.500739566894,137700.1250155038,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2019-10-01,validation,148740.47415680866,8172.607295011679,140567.866861797,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2019-11-01,validation,133791.94588951184,9353.779996234072,124438.16589327776,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2019-12-01,validation,129028.9004395422,8796.87416391643,120232.02627562577,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2020-01-01,validation,121690.07438129045,7554.304603366506,114135.76977792395,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
2020-02-01,validation,103986.686255062,5914.755465656993,98071.930789405,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate
