macro_regime_v15,path_family_v19,n_paths,n_months,default_factor_mean,default_factor_p95,lgd_factor_mean,prepay_factor_mean,systemic_factor_sd,calibration_scope,external_macro_context_used
baseline_internal,baseline_internal,16,69,1.020369472978126,1.2721999889575741,1.0077058247305315,0.9979195548791953,0.7513251629542548,internal_calibration_v2_with_common_random_numbers,False
macro_stress_internal,macro_stress_internal,16,69,1.5673790742762943,2.070943298116231,1.2701314104807224,0.7797703497919531,0.9148658536977736,internal_calibration_v2_with_common_random_numbers,False
mild_stress_internal,mild_stress_internal,16,69,1.1193402578639,1.4365432161179978,1.060161351020476,0.9391542463869711,0.8795752219417025,internal_calibration_v2_with_common_random_numbers,False
vintage_stress_internal,vintage_stress_internal,16,69,1.307975608618285,1.65449287176256,1.177378659469988,0.8488612391764674,0.8341223910128898,internal_calibration_v2_with_common_random_numbers,False
