stage_v366,row_count_v366,claim_boundary_v366
chunk_omitted_add_candidates,10000.0,first v365 full omitted chunk only
selected_drop_candidates,171.0,v353 selected loans
ordered_one_swap_rows,1710000.0,chunk add/drop combinations only
return_improving,48320.0,positive one-swap return delta only
budget_return_feasible,25223.0,budget plus positive return only
grade_source_feasible_alone,0.0,grade cap only after budget+return
score_decile_source_feasible_alone,6023.0,score_decile cap only after budget+return
income_band_source_feasible_alone,25223.0,income_band cap only after budget+return
dti_band_source_feasible_alone,25223.0,dti_band cap only after budget+return
period_source_feasible_alone,25223.0,period cap only after budget+return
state_top20_source_feasible_alone,25223.0,state_top20 cap only after budget+return
source_exact_feasible,0.0,all-family source caps in chunk prototype
cvar_feasible_entering_column,0.0,source-exact and CVaR-feasible chunk rows
best_source_exact_return_delta,,diagnostic scalar encoded in row_count
best_source_exact_cvar90,,diagnostic scalar encoded in row_count
