policy_id,baseline_policy_id,sample_path_id,return_diff_vs_champion,net_return_after_ecl_diff_vs_champion,V_diff_vs_champion,gamma_cp_diff_vs_champion,n_funded_diff_vs_champion,status
paper1_economic_champion,paper1_economic_champion,alpha01_robust_region_static,0.0,0.0,0.0,0.0,0,paired_static_diagnostic
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-1074.9619169576035,-1074.9619169576035,-0.0010000000000000009,-0.008331999999999978,0,paired_static_diagnostic
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-1127.3797386379156,-1331.9837646629603,-0.0010000000000000009,-0.006807999999999981,1,paired_static_diagnostic
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,alpha01_robust_region_static,-1202.1674747880606,-588.355396712941,0.0077999999999999944,-0.005740999999999996,-3,paired_static_diagnostic
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,alpha01_robust_region_static,-1663.2276008410845,-1663.2276008410845,0.0016169999999999934,-0.013196999999999987,0,paired_static_diagnostic
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,alpha01_robust_region_static,-1795.038774756802,-1999.6428007818467,0.005698999999999996,-0.012253999999999987,1,paired_static_diagnostic
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-2099.3120110932505,-2508.52006314334,0.003980999999999998,-0.015729999999999994,2,paired_static_diagnostic
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-2220.420679916482,-2629.6287319665716,0.008999999999999994,-0.014201999999999992,2,paired_static_diagnostic
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,alpha01_robust_region_static,-2336.4332130925904,-2950.2452911677246,-0.0010000000000000009,-0.014064999999999994,3,paired_static_diagnostic
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-2772.1532237317006,-4408.985431932029,0.002599999999999998,-0.02837199999999998,8,paired_static_diagnostic
