policy_id,source_family,base_cap_v45,max_share_v45,strict_pass_v45,committee_pass_v45,relaxed_pass_v45,pooling_rule_v45
v13_fvi_bellman_rollout,score_decile__original_grade,0.1,0.6315275622089821,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_bellman_rollout,state_top20,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_capital_guarded,dti_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_capital_guarded,income_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_capital_guarded,income_band__dti_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_capital_guarded,original_grade,0.1,0.6542261800535307,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_capital_guarded,original_grade__state_top20,0.1,0.6542261800535307,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_capital_guarded,period,0.1,0.5197738699752358,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_capital_guarded,score_decile,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_capital_guarded,score_decile__original_grade,0.1,0.6542261800535307,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_capital_guarded,state_top20,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_return_recovery,dti_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_return_recovery,income_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_return_recovery,income_band__dti_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_return_recovery,original_grade,0.1,0.5813446851133092,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_return_recovery,original_grade__state_top20,0.1,0.5813446851133092,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_return_recovery,period,0.1,0.5023162639288844,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_return_recovery,score_decile,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_return_recovery,score_decile__original_grade,0.1,0.5813446851133092,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_fvi_return_recovery,state_top20,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_base,dti_band,0.1,0.464800000000826,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_base,income_band,0.1,0.5202018478778255,False,False,False,pool cells with support <25 or exposure <1pct into parent family
