feature,coefficient,training_rows,rmse,target,model_scope_v11
intercept,455499.76655064337,1920,12051.006090715618,next_month_state_value_proxy,linear_adp_value_proxy_from_v10_rollout_trace
cash_m,507525.30951270723,1920,12051.006090715618,next_month_state_value_proxy,linear_adp_value_proxy_from_v10_rollout_trace
outstanding_m,584125.2576632377,1920,12051.006090715618,next_month_state_value_proxy,linear_adp_value_proxy_from_v10_rollout_trace
expected_loss_100k,-106505.60710731959,1920,12051.006090715618,next_month_state_value_proxy,linear_adp_value_proxy_from_v10_rollout_trace
capital_100k,-36565.31480055878,1920,12051.006090715618,next_month_state_value_proxy,linear_adp_value_proxy_from_v10_rollout_trace
macro_state,-2131.4046423378204,1920,12051.006090715618,next_month_state_value_proxy,linear_adp_value_proxy_from_v10_rollout_trace
cum_loss_100k,-120297.04819930467,1920,12051.006090715618,next_month_state_value_proxy,linear_adp_value_proxy_from_v10_rollout_trace
month_frac,26020.43129693568,1920,12051.006090715618,next_month_state_value_proxy,linear_adp_value_proxy_from_v10_rollout_trace
