feature,coefficient,feature_mean,feature_std,model_scope_v12
return_per_dollar,1.3349321935190912,0.0880781995259746,0.037771784158736124,spo_style_structured_regret_perceptron
pd_high,-0.3029308002676408,0.42555360526636243,0.3565692787641434,spo_style_structured_regret_perceptron
qhat,-0.10856383937761901,0.7898962149448162,0.11404436354749263,spo_style_structured_regret_perceptron
weak_source,-0.05189287075387715,0.33157954545454543,0.16904493579381516,spo_style_structured_regret_perceptron
ecl_rate,-0.0029308002676406977,0.1914991223698631,0.16045617544386456,spo_style_structured_regret_perceptron
amount_10k,-0.17129086310247948,0.9225623863636364,0.7859753354721614,spo_style_structured_regret_perceptron
grade_dplus,0.5840030264296474,0.3750909090909091,0.48415738550016196,spo_style_structured_regret_perceptron
dti_high,-0.08366277070977671,0.3635909090909091,0.48104373838466447,spo_style_structured_regret_perceptron
score_low,-0.17225642357250914,0.5453636363636364,0.4979492053467537,spo_style_structured_regret_perceptron
income_q5,-0.2092353282828703,0.21677272727272728,0.41205585751460244,spo_style_structured_regret_perceptron
