month,original_grade,observed_default_rate,observed_lgd_proxy,observed_prepayment_proxy,loans,avg_pd_high,avg_width,calibration_scope_v23,version_v23
2018-01-01,A,0.016,0.008633029983193279,0.0,90,0.03726425630173198,0.55,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-01-01,B,0.07446808510638298,0.14184380638297872,0.0,25,0.11010225754613412,0.55,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-01-01,C,0.07291666666666667,0.30036010416666664,0.0,29,0.21379846071135586,0.5459479166666666,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-01-01,D,0.0,0.225,0.0,3,0.2904346183475517,0.6035,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-01-01,E,0.15384615384615385,0.2076923076923077,0.0,9,0.7282528821418578,0.55,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-01-01,F,0.3333333333333333,0.45,0.0,3,0.950577601199825,0.55,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-02-01,A,0.16666666666666666,0.45,0.0,6,0.07657440044109344,0.8436816790555314,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-02-01,B,0.0,0.45,0.0,4,0.11435611530547786,0.7862979157557207,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-02-01,C,0.09523809523809523,0.4071428571428572,0.0,10,0.18256409546580765,0.8382091323630457,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-02-01,D,0.2857142857142857,0.2903052857142857,0.0,6,0.18467252493167116,0.7688918733212569,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-02-01,F,0.0,0.45,0.0,1,0.936369669897913,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-02-01,G,0.0,0.45,0.0,2,0.8769699161233008,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-03-01,A,0.07909604519774012,0.45,0.0,66,0.07139413104771149,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-03-01,B,0.03614457831325301,0.42831325301204826,0.0,27,0.11923883904847436,0.8436816790555312,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-03-01,C,0.044444444444444446,0.36,0.0,9,0.16093317721582603,0.8126306174998785,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-03-01,D,0.0,0.45,0.0,2,0.186387463025111,0.55,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-03-01,E,1.0,0.45,0.0,1,0.7211707946323962,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-04-01,A,0.014705882352941176,0.45,0.0,71,0.06748683594147598,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-04-01,B,0.12,0.42055480833333336,0.0,27,0.11817596002504355,0.8351765631832094,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-04-01,C,0.16666666666666666,0.375,0.0,12,0.16961590168168547,0.8214624933197299,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-04-01,D,0.0,0.18,0.0,1,0.1839309243202601,0.8564486226497594,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-04-01,E,0.0,0.0,0.0,2,0.6889182899521521,0.8436816790555314,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-04-01,F,0.0,0.45,0.0,1,0.8635885004799773,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-04-01,G,0.0,0.45,0.0,1,0.8105384891292078,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-05-01,A,0.03680981595092025,0.45000000000000007,0.0,58,0.07345204629174754,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-05-01,B,0.0,0.41337209302325584,0.0,27,0.11744057557564103,0.8436816790555312,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-05-01,C,0.0,0.35625,0.0,17,0.17182565000836691,0.8077241534275859,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-05-01,D,0.0,0.225,0.0,2,0.19139096580498466,0.8564486226497594,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-05-01,E,0.08333333333333333,0.15,0.0,4,0.4317142665039417,0.8138977554292377,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-05-01,F,0.0,0.18,0.0,2,0.7516217498743376,0.7785728027984259,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-06-01,A,0.025210084033613446,0.45,0.0,41,0.07357629803603298,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-06-01,B,0.01818181818181818,0.45,0.0,19,0.12496193910885561,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-06-01,C,0.0379746835443038,0.4158227848101266,0.0,19,0.19002160618172714,0.8358133201972624,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-06-01,D,0.21428571428571427,0.3062709571428571,0.0,8,0.20681208549475275,0.823614841651571,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-06-01,E,0.0,0.45,0.0,1,0.8752676232793106,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-06-01,F,0.4666666666666667,0.4398624,0.0,3,0.7055871752180497,0.7640274012534616,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-07-01,A,0.0,0.4328571428571429,0.0,38,0.06677457153888404,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-07-01,B,0.0,0.39,0.0,25,0.11887005527070191,0.8376062770247292,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-07-01,C,0.0,0.37058823529411766,0.0,15,0.19413766502847044,0.8133059835215241,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-07-01,D,0.0,0.26590909090909093,0.0,4,0.20417746186297545,0.8634133640736177,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-07-01,E,0.0,0.18243243243243243,0.0,7,0.2635590721422771,0.7629509920939742,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-07-01,F,0.0,0.1265625,0.0,6,0.5408301918430197,0.7697894348491473,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-08-01,A,0.03488372093023256,0.44476744186046513,0.0,30,0.06503960492771992,0.8436816790555312,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-08-01,B,0.04424778761061947,0.3663716814159292,0.0,31,0.11308102360371422,0.833915164976338,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-08-01,C,0.04807692307692308,0.3342385016025641,0.0,24,0.18149019130706648,0.8034468652248494,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-08-01,D,0.0,0.24107142857142858,0.0,5,0.20299071508612515,0.8646570678993066,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-08-01,E,0.0,0.225,0.0,4,0.7104023367059861,0.7947347325462761,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-08-01,F,0.0,0.45,0.0,1,0.888036047886952,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-08-01,G,0.0,0.05625,0.0,2,0.7338731933920117,0.7690057936160909,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-09-01,A,0.02830188679245283,0.44150943396226416,0.0,40,0.06693850995187887,0.8436816790555314,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-09-01,B,0.036585365853658534,0.38414634146341464,0.0,21,0.1312141315463182,0.8436816790555314,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-09-01,C,0.0,0.3735849056603774,0.0,16,0.20234608803212945,0.8132733002780276,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-09-01,D,0.0,0.21176470588235294,0.0,7,0.1879476706389324,0.8624306180714525,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-09-01,E,0.0,0.126,0.0,6,0.38542626903544225,0.7918394403148228,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-09-01,F,0.38461538461538464,0.3873238769230769,0.0,4,0.74576094890467,0.7977272880158757,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-09-01,G,0.0,0.0,0.0,1,0.7747173819400586,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-10-01,A,0.030612244897959183,0.4086734693877552,0.0,33,0.06664942278496641,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-10-01,B,0.04285714285714286,0.4114285714285714,0.0,21,0.1306756583415753,0.8394862264975951,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-10-01,C,0.021739130434782608,0.3423913043478261,0.0,21,0.19007308832735376,0.8062618581395791,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-10-01,D,0.0,0.19285714285714287,0.0,6,0.3059274066084633,0.8318236616902992,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-10-01,E,0.0,0.16071428571428573,0.0,9,0.40589400398060643,0.7605044037728776,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-10-01,F,0.5,0.6409616666666667,0.0,2,0.8062662924560853,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-11-01,A,0.0,0.43043478260869567,0.0,32,0.07860392005037523,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-11-01,B,0.02666666666666667,0.384,0.0,19,0.1265605991980853,0.8216763154059176,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-11-01,C,0.0,0.32727272727272727,0.0,17,0.18429752410724157,0.8092555749890686,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-11-01,D,0.023255813953488372,0.1883720930232558,0.0,9,0.1773719302112517,0.8528852665724368,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-11-01,E,0.0,0.1565217391304348,0.0,13,0.4253064862687214,0.7595929735176137,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-11-01,F,0.0,0.0642857142857143,0.0,1,0.7162476557492568,0.7583378099818852,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-12-01,A,0.03333333333333333,0.425,0.0,31,0.07652030973500004,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-12-01,B,0.00980392156862745,0.3661764705882353,0.0,28,0.12374614043815856,0.8382225623087014,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-12-01,C,0.020618556701030927,0.3015463917525773,0.0,16,0.179570342513219,0.789088798633243,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-12-01,D,0.0,0.20454545454545456,0.0,4,0.1809272486066216,0.8634133640736177,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-12-01,E,0.0,0.18947368421052632,0.0,8,0.4745896059798193,0.8222472556555358,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2018-12-01,G,0.1,0.145,0.0,4,0.7379845717480047,0.7839409707039791,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-01-01,A,0.0,0.0,0.0,5,0.03390247775795379,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-01-01,B,0.0,0.34838709677419355,0.0,15,0.13536602762188313,0.8306182207991876,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-01-01,C,0.029411764705882353,0.2845588235294118,0.0,15,0.17278958302512643,0.7924780086936393,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-01-01,D,0.0,0.12000000000000001,0.0,5,0.2316305555244542,0.824952630811835,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-01-01,E,0.12195121951219512,0.16823906829268293,0.0,12,0.417988225056887,0.8104907910032314,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-01-01,F,0.0,0.08181818181818182,0.0,2,0.6580127021806276,0.7870497277099813,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-02-01,A,0.0,0.0,0.0,5,0.03826640745487576,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-02-01,B,0.0,0.28125,0.0,6,0.12452861046905045,0.8095075426322693,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-02-01,C,0.0,0.23181818181818184,0.0,8,0.1740087772694234,0.8113581375627724,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-02-01,D,0.1111111111111111,0.17768296296296296,0.0,7,0.3725048554151239,0.8337487246757033,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-02-01,E,0.3,0.26098323,0.0,6,0.6732827965887082,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-02-01,F,1.0,0.98276,0.0,1,0.7747173819400586,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-02-01,G,0.0,0.08181818181818182,0.0,2,0.7318050636377348,0.7488679095281632,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-03-01,A,0.0,0.0,0.0,1,0.01970973513801298,0.8436816790555313,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-03-01,B,0.02040816326530612,0.3122448979591837,0.0,17,0.12344229422940897,0.8087619464051471,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-03-01,C,0.0,0.2918918918918919,0.0,9,0.1808966436115153,0.783201526843853,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
2019-03-01,D,0.0,0.0878048780487805,0.0,10,0.633268154063317,0.8408773875670544,"observed static book calibration proxy, not servicing panel",observed_static_book_calibration
