action_v276,loan_id,loan_amnt,mean_return_v276,grade,score_decile,income_band,dti_band,period,state_top20,claim_boundary_v276
added_by_restricted_pool_milp,133763576,3000.0,73.31323703811194,A,0,3,0,2018,NY,restricted-pool MILP repair action list; not full-universe proof
added_by_restricted_pool_milp,144534751,3000.0,73.15914631115284,A,0,2,0,2018,NY,restricted-pool MILP repair action list; not full-universe proof
added_by_restricted_pool_milp,143359641,12750.0,308.18374619738734,A,0,3,1,2018,CO,restricted-pool MILP repair action list; not full-universe proof
added_by_restricted_pool_milp,156899870,2750.0,65.74189635588623,A,0,3,2,2019,NC,restricted-pool MILP repair action list; not full-universe proof
added_by_restricted_pool_milp,165985906,1200.0,-203.72482836822385,C,1,3,4,2020,VA,restricted-pool MILP repair action list; not full-universe proof
dropped_by_restricted_pool_milp,159991596,1200.0,-9.152330203220732,A,1,1,0,2019,other,restricted-pool MILP repair action list; not full-universe proof
dropped_by_restricted_pool_milp,132864620,9000.0,217.173402674705,A,0,4,0,2018,other,restricted-pool MILP repair action list; not full-universe proof
dropped_by_restricted_pool_milp,142448559,1200.0,-174.68738765590132,B,0,1,2,2018,IL,restricted-pool MILP repair action list; not full-universe proof
dropped_by_restricted_pool_milp,127475839,7300.0,172.47562806835185,A,0,4,0,2018,MN,restricted-pool MILP repair action list; not full-universe proof
dropped_by_restricted_pool_milp,151810745,4000.0,93.66283163478127,A,0,3,0,2019,CO,restricted-pool MILP repair action list; not full-universe proof
