policy_id,scenario,stage2_share_v47,ecl_proxy_total_v47,sicr_rule_v47,stage2_target_distance_v47,contractual_ifrs9_claim_allowed,claim_boundary_v47,sicr_preference_score_v47
paper1_economic_champion,baseline,0.9671641791044776,9003598.336975545,abs_pd_0.12_or_width_0.08,0.5671641791044776,False,SICR robust calibration proxy; not production IFRS9 staging,0.06333973128598858
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,baseline,0.9380952380952381,6305526.59432477,abs_pd_0.12_or_width_0.08,0.5380952380952381,False,SICR robust calibration proxy; not production IFRS9 staging,0.11941321634219915
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,baseline,0.9380952380952381,6305526.59432477,abs_pd_0.12_or_width_0.08,0.5380952380952381,False,SICR robust calibration proxy; not production IFRS9 staging,0.11941321634219915
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,baseline,0.845771144278607,6329163.399298771,abs_pd_0.12_or_width_0.08,0.445771144278607,False,SICR robust calibration proxy; not production IFRS9 staging,0.2975047984644914
v13_fvi_bellman_rollout,baseline,0.9937106918238994,2976010.589884301,abs_pd_0.12_or_width_0.08,0.5937106918238994,False,SICR robust calibration proxy; not production IFRS9 staging,0.012131966827219065
v13_fvi_capital_guarded,baseline,0.9952107279693486,2979446.206105185,abs_pd_0.12_or_width_0.08,0.5952107279693486,False,SICR robust calibration proxy; not production IFRS9 staging,0.009238423014980346
v13_fvi_return_recovery,baseline,0.9935897435897436,3083234.0755405906,abs_pd_0.12_or_width_0.08,0.5935897435897436,False,SICR robust calibration proxy; not production IFRS9 staging,0.01236527388158859
v13_mdcp_empirical_base,baseline,0.6554307116104869,5694960.032434116,abs_pd_0.12_or_width_0.08,0.2554307116104869,False,SICR robust calibration proxy; not production IFRS9 staging,0.6646682050507882
v13_mdcp_empirical_return_recovery,baseline,0.7588168373151308,5868724.17713465,abs_pd_0.12_or_width_0.08,0.3588168373151308,False,SICR robust calibration proxy; not production IFRS9 staging,0.46523815450728123
v13_mdcp_empirical_tight,baseline,0.6632653061224489,4821590.434810493,abs_pd_0.12_or_width_0.08,0.2632653061224489,False,SICR robust calibration proxy; not production IFRS9 staging,0.6495554075756984
v13_spo_regret_audit_guarded,baseline,0.9604377104377104,5289715.38494485,abs_pd_0.12_or_width_0.08,0.5604377104377104,False,SICR robust calibration proxy; not production IFRS9 staging,0.07631497314798674
