policy_id,solver_status,elapsed_seconds,risk_tolerance,weak_penalty,width_penalty,cvar_cap,return_floor,max_weak_share,n_funded,funded_exposure,objective_return,realized_return_proxy_lgd45,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,scenario_loss_mean,scenario_loss_max,scenario_loss_cvar90,floor_v11,tested_cvar_cap_v11,feasible_v11,pool_n_v11,universe_n_v11,topk_expansion_vs_v10,warm_start_source_v11,solver_lane_v11,pool_design_v11,auditability_score_v11,non_dominated_v11
v11_cvar_topk18000_floor80000_cap95000,TerminationCondition.optimal,1.617294927011244,0.175,0.055,0.06,95000.0,80000.0,0.42,243,952149.7391692644,80000.0,84549.3872915268,0.06478845621712163,0.7206606288390998,0.32139173818237693,56440.692640692636,95000.0,95000.0,80000.0,95000.0,True,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,0.5540825642671637,True
v11_cvar_topk18000_floor80000_cap115000,TerminationCondition.optimal,1.5563328480056953,0.175,0.055,0.06,115000.0,80000.0,0.42,238,850000.0,81826.22957292665,85671.11477153789,0.08906055795829895,0.6990829612074229,0.3583970588235294,68775.51310316123,114999.99999999999,114999.99999999999,80000.0,115000.0,True,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,0.5446387183843857,True
v11_cvar_topk18000_floor80000_cap135000,TerminationCondition.optimal,1.8875743840035284,0.175,0.055,0.06,135000.0,80000.0,0.42,246,850000.0,87998.3555684998,92542.08111050769,0.10699563544973967,0.7085171130755434,0.3729411764705882,81666.59468603415,135000.0,135000.0,80000.0,135000.0,True,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,0.5307051654494482,True
v11_cvar_topk18000_floor80000_cap159750,TerminationCondition.optimal,1.8245559189963387,0.175,0.055,0.06,159750.0,80000.0,0.42,255,850000.0,94646.28705333918,99769.77275904505,0.13338060409007765,0.718598764537268,0.38334678270966105,99165.98559174112,159749.99999999994,159749.99999999994,80000.0,159750.0,True,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,0.5170167414646764,True
v11_cvar_topk18000_floor105000_cap159750,TerminationCondition.optimal,1.4985647269932088,0.175,0.055,0.06,159750.0,105000.0,0.42,279,1000000.0,105000.00000000001,113776.72537421618,0.10515985383312608,0.7433628044313298,0.39764962873264453,95536.28878707458,159750.0,159750.0,105000.0,159750.0,True,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,0.5011807632204366,True
v11_cvar_topk18000_floor80000_cap210000,TerminationCondition.optimal,1.9313050880009541,0.175,0.055,0.06,210000.0,80000.0,0.42,278,903504.448362208,110282.6459538172,123068.78782052775,0.17500000000019367,0.7416794864806777,0.3963534142230393,134410.4354905126,209999.99999999974,209999.99999999974,80000.0,210000.0,True,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,0.4912136516066937,True
v11_cvar_topk18000_floor105000_cap210000,TerminationCondition.optimal,1.4381366750021698,0.175,0.055,0.06,210000.0,105000.0,0.42,278,903504.448362208,110282.6459538172,123068.78782052775,0.17500000000019367,0.7416794864806777,0.3963534142230393,134410.4354905126,209999.99999999974,209999.99999999974,105000.0,210000.0,True,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,0.4912136516066937,True
v11_cvar_topk18000_floor105000_cap165000,TerminationCondition.optimal,1.3103714479948394,0.175,0.055,0.06,165000.0,105000.0,0.42,284,993884.3990948986,105000.00000000001,113266.50496232785,0.1113790452546041,0.733249683614766,0.38567139047751137,99616.10866433631,164999.99999999994,164999.99999999994,105000.0,165000.0,True,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,0.5088133378336773,False
v11_cvar_topk18000_floor80000_cap165000,TerminationCondition.optimal,1.4516720179963158,0.175,0.055,0.06,165000.0,80000.0,0.42,254,850000.0,95836.4235572151,101473.1078964136,0.14023151475676512,0.7188889944434214,0.38422839954324983,103342.37954586395,164999.99999999994,164999.99999999994,80000.0,165000.0,True,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,0.5153931638406615,False
v11_cvar_topk18000_floor80000_cap178124,TerminationCondition.optimal,1.5002228369994555,0.175,0.055,0.06,178124.0,80000.0,0.42,259,850000.0,99842.95317667062,109021.41107700643,0.15127277857117555,0.7306495834281721,0.3982794117647059,111549.71024710294,178123.99999999983,178123.99999999983,80000.0,178124.0,True,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,0.5021978873784684,False
v11_cvar_topk18000_floor105000_cap178124,TerminationCondition.optimal,1.5894097830023384,0.175,0.055,0.06,178124.0,105000.0,0.42,285,943414.1467926592,105000.00000000001,112319.53841886106,0.13338415945946966,0.7308273609638751,0.3861146644202508,110340.1333762119,178123.99999999997,178123.99999999997,105000.0,178124.0,True,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,0.5067458248043659,False
v11_cvar_topk18000_floor105000_cap95000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.1819327010016423,,,,,,,0,0.0,,,,,,,,,105000.0,95000.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor105000_cap115000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.1864803789940197,,,,,,,0,0.0,,,,,,,,,105000.0,115000.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor105000_cap135000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.4037601349991746,,,,,,,0,0.0,,,,,,,,,105000.0,135000.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor125000_cap115000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.61320178299502,,,,,,,0,0.0,,,,,,,,,125000.0,115000.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
