seed_pair_rank_v346,seed_added_loan_id_v346,seed_dropped_loan_id_v346,ordered_second_order_rows_v346,return_improving_rows_v346,budget_return_rows_v346,source_exact_rows_v346,cvar_feasible_entering_rows_v346,best_source_exact_return_delta_v346,best_source_exact_cvar90_v346,claim_boundary_v346,grade_source_feasible_alone_rows_v346,score_decile_source_feasible_alone_rows_v346,income_band_source_feasible_alone_rows_v346,dti_band_source_feasible_alone_rows_v346,period_source_feasible_alone_rows_v346,state_top20_source_feasible_alone_rows_v346
1,151825245,160128011,745280,412913,143996,15,1,2.5718246311671447,96382.59371194048,one v345 source-exact pair used as seed for a second add/drop screen,64,9463,143996,143996,143996,143996
2,148017643,140423185,745280,412074,143496,9,0,2.571824631167143,96396.53829616446,one v345 source-exact pair used as seed for a second add/drop screen,58,9426,143496,143496,143496,143496
3,139234645,148128009,745280,413390,144147,13,0,2.5606915936206853,96446.13200452285,one v345 source-exact pair used as seed for a second add/drop screen,62,9459,144147,144147,144147,144147
4,161983601,148128009,745280,413128,143988,12,0,2.4257438893609127,96450.45530470138,one v345 source-exact pair used as seed for a second add/drop screen,60,9436,143988,143988,143988,143988
5,148017643,127648167,745280,411224,142999,9,0,2.153144005306718,96406.0054814879,one v345 source-exact pair used as seed for a second add/drop screen,57,9368,142999,142999,142999,142999
6,139234645,147190807,745280,412166,143461,8,0,1.9548178157150637,96413.4179375014,one v345 source-exact pair used as seed for a second add/drop screen,56,9371,143461,143461,143461,143461
7,161983601,147190807,745280,411890,143282,7,0,1.819870111455291,96417.74123767995,one v345 source-exact pair used as seed for a second add/drop screen,55,9353,143282,143282,143282,143282
8,163545352,140423185,745280,410071,142337,6,0,1.57361588449103,96417.77697489274,one v345 source-exact pair used as seed for a second add/drop screen,54,9297,142337,142337,142337,142337
