policy_id,source_id,worst_source_coverage_online_90,sources,mdcp_v2_pass_80
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.9166666666666666,6,True
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.8636363636363636,19,True
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9294117647058824,5,True
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,score_decile,0.8888888888888888,10,True
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,0.7272727272727273,6,False
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.5,18,False
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,period,0.9080459770114943,5,True
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,score_decile,0.8285714285714286,9,True
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,0.8,6,True
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.5,20,False
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,period,0.9148936170212766,5,True
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,score_decile,0.875,10,True
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.7,6,False
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.5,19,False
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.92,5,True
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,score_decile,0.9,9,True
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,0.7142857142857143,6,False
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.5,20,False
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,period,0.9195402298850575,5,True
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,score_decile,0.8636363636363636,9,True
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,0.8461538461538461,7,True
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.5,24,False
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,period,0.8936170212765957,5,True
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,score_decile,0.8947368421052632,8,True
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.8,6,True
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.6,19,False
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9090909090909091,5,True
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,score_decile,0.8571428571428571,9,True
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,0.7142857142857143,6,False
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.5,19,False
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,period,0.9215686274509803,5,True
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,score_decile,0.9069767441860465,9,True
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,0.8,6,True
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666666,21,False
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,period,0.9204545454545454,5,True
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,score_decile,0.7333333333333333,8,False
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.75,6,False
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.6,18,False
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9090909090909091,5,True
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,score_decile,0.8490566037735849,10,True
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,0.7857142857142857,6,False
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666666,18,False
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,period,0.9230769230769231,5,True
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,score_decile,0.868421052631579,10,True
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,0.8,6,True
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666666,19,False
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,period,0.9069767441860465,5,True
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,score_decile,0.8947368421052632,10,True
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.6666666666666666,6,False
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.5,19,False
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9047619047619048,5,True
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,score_decile,0.8709677419354839,9,True
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,0.75,6,False
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.0,19,False
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,period,0.9166666666666666,5,True
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,score_decile,0.8636363636363636,10,True
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,0.8,6,True
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.5,20,False
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,period,0.9130434782608695,5,True
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,score_decile,0.8636363636363636,10,True
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.9243697478991597,6,True
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.8695652173913043,19,True
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9318181818181818,5,True
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,score_decile,0.9019607843137255,9,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,0.8974358974358975,7,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666666,24,False
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,period,0.8958333333333334,5,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,score_decile,0.8947368421052632,8,True
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,0.9090909090909091,6,True
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666666,20,False
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,period,0.9230769230769231,5,True
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,score_decile,0.875,9,True
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.8421052631578947,6,True
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.6666666666666666,19,False
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.8977272727272727,5,True
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,score_decile,0.8703703703703703,9,True
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,0.8235294117647058,6,True
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.75,19,False
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,period,0.9148936170212766,5,True
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,score_decile,0.8666666666666667,9,True
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,0.8125,6,True
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666666,19,False
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,period,0.9157894736842105,5,True
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,score_decile,0.8857142857142857,8,True
