portfolio_label_v293,source_family,source_id,cap_share_v293,source_exposure_v293,source_share_v293,source_slack_v293,source_cap_violated_v293,claim_boundary_v293
diverse_micro_relief_cardinality_milp,grade,A,0.8531348749298603,719150.0,0.853134824129545,5.080031528770235e-08,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,grade,B,0.8531348749298603,38375.0,0.04552464558989264,0.8076102293399676,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,grade,C,0.8531348749298603,24000.0,0.028471439587164128,0.8246634353426961,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,grade,D,0.8531348749298603,50925.0,0.06041283587401388,0.7927220390558464,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,grade,E,0.8531348749298603,9500.0,0.0112699448365858,0.8418649300932745,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,grade,F,0.8531348749298603,1000.0,0.0011863099827985053,0.8519485649470618,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,grade,G,0.8531348749298603,0.0,0.0,0.8531348749298603,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,score_decile,0,0.9,758650.0,0.899994068450086,5.931549914017786e-06,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,score_decile,1,0.9,50900.0,0.060383178124443916,0.8396168218755561,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,score_decile,2,0.9,26000.0,0.030844059552761136,0.8691559404472389,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,score_decile,3,0.9,7400.0,0.008778693872708939,0.8912213061272911,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,score_decile,4,0.9,0.0,0.0,0.9,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,score_decile,5,0.9,0.0,0.0,0.9,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,score_decile,6,0.9,0.0,0.0,0.9,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,score_decile,7,0.9,0.0,0.0,0.9,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,score_decile,8,0.9,0.0,0.0,0.9,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,score_decile,9,0.9,0.0,0.0,0.9,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,income_band,0,0.85,10100.0,0.011981730826264903,0.8380182691737351,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,income_band,1,0.85,20525.0,0.02434901239693932,0.8256509876030607,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,income_band,2,0.85,48750.0,0.057832611661427134,0.7921673883385728,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,income_band,3,0.85,91150.0,0.10813215493208375,0.7418678450679163,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,income_band,4,0.85,672425.0,0.7977044901832849,0.05229550981671505,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,dti_band,0,0.85,606050.0,0.7189631650750341,0.13103683492496587,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,dti_band,1,0.85,188550.0,0.22367874725665818,0.6263212527433418,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,dti_band,2,0.85,30300.0,0.035945192478794706,0.8140548075212053,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,dti_band,3,0.85,12850.0,0.015244083278960792,0.8347559167210392,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,dti_band,4,0.85,5200.0,0.006168811910552227,0.8438311880894478,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,period,2018,0.82,500775.0,0.5940743816359214,0.22592561836407854,False,v293 diverse-pool MILP source diagnostic only
diverse_micro_relief_cardinality_milp,period,2019,0.82,303250.0,0.35974850228364674,0.4602514977163532,False,v293 diverse-pool MILP source diagnostic only
