tier_id_v349,solver_success_v349,milp_status_v349,milp_message_v349,milp_fun_v349,milp_gap_v349,milp_dual_bound_v349,milp_node_count_v349,incumbent_found_v349,constraint_rows_v349,variable_count_v349,return_floor_v349,cvar_cap_v349,selected_rows_v349,portfolio_exposure_v349,objective_return_v349,delta_return_vs_v347_v349,delta_return_vs_v338_v349,scenario_loss_mean_v349,scenario_loss_cvar90_v349,delta_cvar90_vs_v347_v349,delta_cvar90_vs_v338_v349,observed_proxy_rows_v349,missing_proxy_rows_v349,observed_proxy_delta_vs_v347_v349,missing_proxy_delta_vs_v347_v349,coverage_restores_or_improves_v338_v349,period_distribution_v349,claim_boundary_v349
strict_v347_return_v347_cvar,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,-1,False,186,1852,4426.754927405589,96382.59371194048,,,,,,,,,,,,,,,{},all-observed-omitted proxy repair tier; not full-universe pricing
relaxed_v338_return_v347_cvar,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,-1,False,186,1852,4425.910563779387,96382.59371194048,,,,,,,,,,,,,,,{},all-observed-omitted proxy repair tier; not full-universe pricing
coverage_only_v347_cvar,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),-17088952.04790155,1.3674493326394834e-05,-17089185.730662283,900,True,186,1852,-1000000000000.0,96382.59371194048,171.0,842500.0,-11047.952098490334,-15474.707025895923,-15473.862662269721,64295.45656294987,96290.29224210102,-92.30146983946906,-95.68428346110159,171.0,0.0,75.0,-75.0,True,"{""2018"": 94, ""2019"": 70, ""2020"": 7}",all-observed-omitted proxy repair tier; not full-universe pricing
