rule_code_v424,diagnostic_count_v424,fixable_count_v424,file_count_v424,top_surface_v424,repair_priority_v424,claim_boundary_v424
B905,14,14,7,scripts,1,post-v424 frontier only
B007,8,7,6,scripts,2,post-v424 frontier only
F841,7,7,6,scripts,3,post-v424 frontier only
B023,7,0,4,scripts,4,post-v424 frontier only
C408,5,5,1,streamlit_app,5,post-v424 frontier only
I001,5,5,5,scripts,6,post-v424 frontier only
F401,4,4,4,scripts,7,post-v424 frontier only
UP022,3,3,3,scripts,8,post-v424 frontier only
SIM108,2,2,2,scripts,9,post-v424 frontier only
C405,1,1,1,scripts,10,post-v424 frontier only
SIM223,1,1,1,scripts,11,post-v424 frontier only
