seed_pair_rank_v357,seed_added_loan_id_v357,seed_dropped_loan_id_v357,ordered_second_order_rows_v357,return_improving_rows_v357,budget_return_rows_v357,source_exact_rows_v357,cvar_feasible_entering_rows_v357,best_source_exact_return_delta_v357,best_source_exact_cvar90_v357,claim_boundary_v357,grade_source_feasible_alone_rows_v357,score_decile_source_feasible_alone_rows_v357,income_band_source_feasible_alone_rows_v357,dti_band_source_feasible_alone_rows_v357,period_source_feasible_alone_rows_v357,state_top20_source_feasible_alone_rows_v357
1,161455148,159706782,745450,413463,144288,32,0,4.096129153877186,96501.06506643303,one v354 source-exact row used as seed for second-order branch-price screen,84,9665,144288,144288,144288,144288
2,145977956,164875488,745280,415085,145116,21,0,2.878205841012779,96396.53829616446,one v354 source-exact row used as seed for second-order branch-price screen,73,9575,145116,145116,145116,145116
3,161983601,148128009,745280,413042,143936,9,0,2.8782058410127718,96408.12407499814,one v354 source-exact row used as seed for second-order branch-price screen,57,9419,143936,143936,143936,143936
4,161494495,159706782,745450,410210,142375,10,0,2.517628164272608,96501.06506643303,one v354 source-exact row used as seed for second-order branch-price screen,58,9408,142375,142375,142375,142375
5,147190807,148128009,745280,412245,143491,6,0,2.4816516060466682,96408.12407499814,one v354 source-exact row used as seed for second-order branch-price screen,54,9362,143491,143491,143491,143491
6,144038628,159706782,745450,409839,142158,7,0,2.33503242772791,96532.31797989266,one v354 source-exact row used as seed for second-order branch-price screen,55,9387,142158,142158,142158,142158
7,161455148,162228701,745450,409149,141764,3,0,1.989141072036361,96511.33105628101,one v354 source-exact row used as seed for second-order branch-price screen,51,9340,141764,141764,141764,141764
