horizon_months,strategy,month_idx,state_cash,coverage_signal,cumulative_losses,cumulative_expected_loss,chosen_action
3,dynamic_ifrs9,1,1011206.482670078,1.0,0.0,195.40636058150167,fund_return
3,dynamic_ifrs9,2,1029829.3049792956,1.0,0.0,545.2424612461396,fund_return
3,dynamic_ifrs9,3,1053436.6149461947,1.0,0.0,978.6665378238181,fund_return
3,dynamic_online_guarded,1,1013381.1550455351,1.0,0.0,1466.6559458579259,fund_return
3,dynamic_online_guarded,2,1035550.2313387075,1.0,0.0,3730.169403208044,fund_return
3,dynamic_online_guarded,3,1063784.2205037333,1.0,0.0,6627.000987849748,fund_return
3,dynamic_return,1,1013530.3207103618,1.0,0.0,1653.8047216780021,fund_return
3,dynamic_return,2,1035946.8652442155,1.0,0.0,4220.427195318572,fund_return
3,dynamic_return,3,1064499.9310768577,1.0,0.0,7501.566742168601,fund_return
6,dynamic_ifrs9,1,1011206.482670078,1.0,0.0,195.40636058150167,fund_return
6,dynamic_ifrs9,2,1029829.3049792956,1.0,0.0,545.2424612461396,fund_return
6,dynamic_ifrs9,3,1053436.6149461947,1.0,0.0,978.6665378238181,fund_return
6,dynamic_ifrs9,4,1080503.1183984869,1.0,0.0,1459.7215952477131,fund_return
6,dynamic_ifrs9,5,1110134.8687357095,1.0,0.0,1992.274818746069,fund_return
6,dynamic_ifrs9,6,1141804.393610837,1.0,0.0,2596.141316467659,fund_return
6,dynamic_online_guarded,1,1013381.1550455351,1.0,0.0,1466.6559458579259,fund_return
6,dynamic_online_guarded,2,1035550.2313387075,1.0,0.0,3730.169403208044,fund_return
6,dynamic_online_guarded,3,1063784.2205037333,1.0,0.0,6627.000987849748,fund_return
6,dynamic_online_guarded,4,1096269.0232170818,1.0,0.0,9937.24108242322,fund_return
6,dynamic_online_guarded,5,1131957.6185307293,1.0,0.0,13526.094131332644,fund_return
6,dynamic_online_guarded,6,1170194.8090641287,1.0,0.0,17282.83985170858,fund_return
6,dynamic_return,1,1013530.3207103618,1.0,0.0,1653.8047216780021,fund_return
6,dynamic_return,2,1035946.8652442155,1.0,0.0,4220.427195318572,fund_return
6,dynamic_return,3,1064499.9310768577,1.0,0.0,7501.566742168601,fund_return
6,dynamic_return,4,1097335.5248213143,1.0,0.0,11233.883826739771,fund_return
6,dynamic_return,5,1133408.9791185586,1.0,0.0,15278.648784509725,fund_return
6,dynamic_return,6,1172061.2144445814,1.0,0.0,19517.818828345877,fund_return
12,dynamic_ifrs9,1,1011206.482670078,1.0,0.0,195.40636058150167,fund_return
12,dynamic_ifrs9,2,1029829.3049792956,1.0,0.0,545.2424612461396,fund_return
12,dynamic_ifrs9,3,1053436.6149461947,1.0,0.0,978.6665378238181,fund_return
12,dynamic_ifrs9,4,1080503.1183984869,1.0,0.0,1459.7215952477131,fund_return
12,dynamic_ifrs9,5,1110134.8687357095,1.0,0.0,1992.274818746069,fund_return
12,dynamic_ifrs9,6,1141804.393610837,1.0,0.0,2596.141316467659,fund_return
12,dynamic_ifrs9,7,1175185.2339041415,1.0,0.0,3263.7922762919375,fund_return
12,dynamic_ifrs9,8,1210050.5240969681,1.0,0.0,4002.6211784289485,fund_return
12,dynamic_ifrs9,9,1246279.224341459,1.0,0.0,4795.638860556802,fund_return
12,dynamic_ifrs9,10,1283844.930484575,1.0,0.0,5645.650829723439,fund_return
12,dynamic_ifrs9,11,1322729.588647641,1.0,0.0,6570.911343724747,fund_return
12,dynamic_ifrs9,12,1362823.5953413236,1.0,0.0,7537.419094326418,fund_return
12,dynamic_online_guarded,1,1013381.1550455351,1.0,0.0,1466.6559458579259,fund_return
12,dynamic_online_guarded,2,1035550.2313387075,1.0,0.0,3730.169403208044,fund_return
