policy_id,lane_v11,return_proxy,tail_risk_proxy,auditability_score,state_value_delta,source_artifact,caveat,mean_loss,p95_loss,mean_default_count,return_proxy_rank_score,auditability_score_rank_score,state_value_delta_rank_score,p95_loss_rank_score,tail_risk_proxy_rank_score,working_candidate_score_v11,online_gate_pass_v11,ifrs9_contractual_claim_allowed,fair_lending_legal_claim_allowed,final_promotion_allowed,registry_decision_v11,registry_rank_v11
v11_adp_return_recovery,dla_adp,,12812.290690866861,,214521.220127934,paper4_v11_dla_adp_comparison.csv,"ADP value proxy, not Bellman optimality",,,,0.9444444444444444,0.9444444444444444,0.16666666666666666,0.9444444444444444,0.9444444444444444,0.788888888888889,True,False,False,False,candidate_for_v12_working_review_not_final_promotion,1
v11_adp_capital_guarded,dla_adp,,10959.943660361474,,213347.77440419234,paper4_v11_dla_adp_comparison.csv,"ADP value proxy, not Bellman optimality",,,,0.9444444444444444,0.9444444444444444,0.1111111111111111,0.9444444444444444,1.0,0.788888888888889,True,False,False,False,candidate_for_v12_working_review_not_final_promotion,2
v11_adp_bellman_proxy,dla_adp,,12998.055789334807,,210593.95458364417,paper4_v11_dla_adp_comparison.csv,"ADP value proxy, not Bellman optimality",,,,0.9444444444444444,0.9444444444444444,0.05555555555555555,0.9444444444444444,0.8888888888888888,0.7555555555555555,True,False,False,False,candidate_for_v12_working_review_not_final_promotion,3
v11_spo_ridge_balanced,spo_dfl_trained_proxy,111195.34204140506,76568.4899321036,0.5270753268537469,,paper4_v11_spo_dfl_candidate_summary.csv,"trained proxy against solver targets, not neural SPO+ theorem",9966.418435025851,59928.43340191059,7.2,0.7222222222222222,0.6111111111111112,0.6111111111111112,0.5555555555555556,0.7777777777777778,0.6555555555555556,True,False,False,False,candidate_for_v12_working_review_not_final_promotion,4
v11_spo_ridge_audit_guarded,spo_dfl_trained_proxy,114487.64609190114,76998.703097555,0.5132794464956506,,paper4_v11_spo_dfl_candidate_summary.csv,"trained proxy against solver targets, not neural SPO+ theorem",11879.799363574808,69685.83308501514,7.294444444444444,0.7777777777777778,0.4444444444444444,0.6111111111111112,0.3888888888888889,0.7222222222222222,0.5888888888888889,True,False,False,False,candidate_for_v12_working_review_not_final_promotion,5
v11_cvar_topk18000_floor80000_cap95000,cvar_topk_warm,80000.0,95000.0,0.5540825642671637,,paper4_v11_cvar_topk_warm_frontier.csv,"balanced larger top-k CVaR, not full-universe proof",2462.0629466240994,14284.68075011031,1.9166666666666667,0.05555555555555555,0.8333333333333334,0.6111111111111112,0.8333333333333334,0.6111111111111112,0.5888888888888889,True,False,False,False,candidate_for_v12_working_review_not_final_promotion,6
v11_spo_ridge_ecl_guarded,spo_dfl_trained_proxy,110803.63551585225,76328.57722039003,0.5280747797854035,,paper4_v11_spo_dfl_candidate_summary.csv,"trained proxy against solver targets, not neural SPO+ theorem",17573.561139405723,89427.9751412911,12.15,0.6666666666666666,0.6666666666666666,0.6111111111111112,0.1111111111111111,0.8333333333333334,0.5777777777777777,True,False,False,False,keep_as_lane_evidence,7
v11_cvar_topk18000_floor80000_cap115000,cvar_topk_warm,81826.22957292665,114999.99999999999,0.5446387183843857,,paper4_v11_cvar_topk_warm_frontier.csv,"balanced larger top-k CVaR, not full-universe proof",7470.826473969531,43274.529858604845,6.2444444444444445,0.1111111111111111,0.7777777777777778,0.6111111111111112,0.7222222222222222,0.5555555555555556,0.5555555555555556,True,False,False,False,keep_as_lane_evidence,8
v11_cvar_topk18000_floor80000_cap135000,cvar_topk_warm,87998.3555684998,135000.0,0.5307051654494482,,paper4_v11_cvar_topk_warm_frontier.csv,"balanced larger top-k CVaR, not full-universe proof",10357.718491388223,42483.878798587386,8.561111111111112,0.16666666666666666,0.7222222222222222,0.6111111111111112,0.7777777777777778,0.5,0.5555555555555556,True,False,False,False,keep_as_lane_evidence,9
v11_spo_ridge_return_recovery,spo_dfl_trained_proxy,121261.12716248268,84142.08305166283,0.5007164717104587,,paper4_v11_spo_dfl_candidate_summary.csv,"trained proxy against solver targets, not neural SPO+ theorem",16227.738608713295,70257.83897399787,11.483333333333333,0.8333333333333334,0.16666666666666666,0.6111111111111112,0.3333333333333333,0.6666666666666666,0.5222222222222223,True,False,False,False,keep_as_lane_evidence,10
