policy_id,full_universe_n,exact_limited_n,overlap_n,jaccard_full_vs_exact_limited,full_universe_return,exact_limited_return,return_delta_full_minus_limited
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,343,343,343,1.0,157771.10324584515,157771.10324584515,0.0
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,343,343,343,1.0,157485.99601203215,157485.99601203215,0.0
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,343,345,341,0.9827089337175792,164567.66854109085,164511.79987024603,55.86867084482219
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,342,343,340,0.9855072463768116,163425.09219159797,162290.89219159796,1134.2000000000116
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,345,347,343,0.982808022922636,170546.9707702814,171272.8239004854,-725.853130204021
paper1_economic_champion,335,335,335,1.0,173329.6634158451,173329.6634158451,0.0
