left_policy_id,right_policy_id,overlap_n,left_n,right_n,jaccard_overlap
v13_mdcp_empirical_return_recovery,v13_mdcp_empirical_base,225,293,267,0.6716417910447762
v13_mdcp_empirical_return_recovery,v13_spo_regret_return_recovery,78,293,395,0.12786885245901639
v13_mdcp_empirical_return_recovery,v13_mdcp_empirical_return_recovery,293,293,293,1.0
v13_mdcp_empirical_return_recovery,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,182,293,350,0.3947939262472885
v13_mdcp_empirical_return_recovery,v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,182,293,350,0.3947939262472885
v13_mdcp_empirical_return_recovery,v13_fvi_capital_guarded,43,293,696,0.045454545454545456
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_static_reference,0,350,32,0.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_mdcp_empirical_tight,29,350,196,0.05609284332688588
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,paper1_economic_champion,245,350,335,0.5568181818181818
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_spo_regret_audit_guarded,128,350,396,0.20711974110032363
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_mdcp_empirical_base,121,350,267,0.2439516129032258
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_spo_regret_return_recovery,177,350,395,0.31161971830985913
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_mdcp_empirical_return_recovery,182,350,293,0.3947939262472885
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,350,350,350,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,350,350,350,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_fvi_capital_guarded,65,350,696,0.06625891946992865
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,v13_static_reference,0,350,32,0.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,v13_mdcp_empirical_tight,29,350,196,0.05609284332688588
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,paper1_economic_champion,245,350,335,0.5568181818181818
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,v13_spo_regret_audit_guarded,128,350,396,0.20711974110032363
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,v13_mdcp_empirical_base,121,350,267,0.2439516129032258
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,v13_spo_regret_return_recovery,177,350,395,0.31161971830985913
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,v13_mdcp_empirical_return_recovery,182,350,293,0.3947939262472885
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,350,350,350,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,350,350,350,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,v13_fvi_capital_guarded,65,350,696,0.06625891946992865
v13_fvi_capital_guarded,v13_static_reference,0,696,32,0.0
v13_fvi_capital_guarded,v13_mdcp_empirical_tight,7,696,196,0.007909604519774011
v13_fvi_capital_guarded,paper1_economic_champion,49,696,335,0.04989816700610998
v13_fvi_capital_guarded,v13_spo_regret_audit_guarded,80,696,396,0.07905138339920949
v13_fvi_capital_guarded,v13_mdcp_empirical_base,22,696,267,0.023379383634431455
v13_fvi_capital_guarded,v13_spo_regret_return_recovery,77,696,395,0.07593688362919132
v13_fvi_capital_guarded,v13_mdcp_empirical_return_recovery,43,696,293,0.045454545454545456
v13_fvi_capital_guarded,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,65,696,350,0.06625891946992865
v13_fvi_capital_guarded,v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,65,696,350,0.06625891946992865
v13_fvi_capital_guarded,v13_fvi_capital_guarded,696,696,696,1.0
