champion_policy_id,challenger_policy_id,selection_bucket,n_loans,funded_exposure,mean_pd_high,mean_width,mean_weak_source,mean_base_return,default_rate_realized,grade_mix_top
paper1_economic_champion,v13_static_reference,champion_only,335,1000000.0,0.28407296722702724,0.5499999999999998,0.33,218.06775964197118,0.056716417910447764,"D, C, E"
paper1_economic_champion,v13_static_reference,challenger_only,32,976825.0,0.8325448029404234,0.7702612592916485,0.4453125,4741.848733935576,0.1875,"E, F, G"
paper1_economic_champion,v13_mdcp_empirical_tight,champion_only,306,927575.0,0.2450776853175334,0.5499999999999999,0.33,244.99972410859243,0.05555555555555555,"D, C, E"
paper1_economic_champion,v13_mdcp_empirical_tight,challenger_only,167,777575.0,0.23542270600533666,0.7238736060741792,0.2694610778443114,385.2442076968522,0.04790419161676647,"A, E, D"
paper1_economic_champion,v13_spo_regret_audit_guarded,champion_only,240,744586.0934354644,0.3353903688821413,0.5499999999999999,0.33,215.62929746045413,0.06666666666666667,"D, C, E"
paper1_economic_champion,v13_spo_regret_audit_guarded,challenger_only,301,723775.0,0.17485692156324323,0.799325811618923,0.303156146179402,228.29923943910018,0.053156146179401995,"B, C, A"
paper1_economic_champion,v13_mdcp_empirical_base,champion_only,231,759138.9065645356,0.2526852189306315,0.5499999999999998,0.32999999999999996,252.05507340390452,0.06060606060606061,"D, C, E"
paper1_economic_champion,v13_mdcp_empirical_base,challenger_only,163,782551.8478778255,0.17900247047786302,0.6720684552899291,0.25920245398773006,373.32232186620257,0.049079754601226995,"A, B, E"
paper1_economic_champion,v13_spo_regret_return_recovery,champion_only,213,679700.0,0.35194547620929645,0.5499999999999998,0.32999999999999996,217.59707515384915,0.06103286384976526,"D, E, F"
paper1_economic_champion,v13_spo_regret_return_recovery,challenger_only,273,660350.0,0.18993511565372276,0.8264031673213837,0.29945054945054944,250.87910835236616,0.06227106227106227,"C, B, A"
paper1_economic_champion,v13_mdcp_empirical_return_recovery,champion_only,179,598738.9065645356,0.2764044323299008,0.5499999999999998,0.33,222.31251605610828,0.0670391061452514,"D, C, E"
paper1_economic_champion,v13_mdcp_empirical_return_recovery,challenger_only,137,599782.6174367734,0.14731261650872524,0.6887122761877515,0.2572992700729927,342.12946387246984,0.0364963503649635,"A, B, E"
paper1_economic_champion,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,champion_only,90,292075.0,0.3842204637307648,0.5499999999999998,0.33,84.19053533872389,0.07777777777777778,"D, C, E"
paper1_economic_champion,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,challenger_only,105,292075.0,0.1403250536064353,0.7493625731122294,0.25952380952380955,276.2331010075671,0.047619047619047616,"B, C, A"
paper1_economic_champion,v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,champion_only,90,292075.0,0.3842204637307648,0.5499999999999998,0.33,84.19053533872389,0.07777777777777778,"D, C, E"
paper1_economic_champion,v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,challenger_only,105,292075.0,0.1403250536064353,0.7493625731122294,0.25952380952380955,276.2331010075671,0.047619047619047616,"B, C, A"
paper1_economic_champion,v13_fvi_capital_guarded,champion_only,286,941100.0,0.30286636737145306,0.5499999999999998,0.32999999999999996,234.27160583061217,0.05944055944055944,"D, C, E"
paper1_economic_champion,v13_fvi_capital_guarded,challenger_only,647,940525.0,0.09555303197938518,0.8432721470525224,0.29984544049459044,96.6949521237966,0.030911901081916538,"A, B, C"
