policy_id,source_family,worst_source_coverage_alpha01,worst_source_ecl,sources,mdcp_proxy_pass,status
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.9166666666666666,34521.40289782153,6,True,mdcp_worst_source_proxy
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.8636363636363636,14725.212860335136,19,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9294117647058824,36551.180722316494,5,True,mdcp_worst_source_proxy
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,0.7272727272727273,35133.68440204132,6,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.5,13461.026096680005,18,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,period,0.9080459770114943,35275.4470279753,5,True,mdcp_worst_source_proxy
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,0.8,36188.77421186433,6,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.5,11263.888151192237,20,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,period,0.9148936170212766,33583.01504374743,5,True,mdcp_worst_source_proxy
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.7,43289.60395754355,6,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.5,14536.0884345366,19,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.92,36000.522445556526,5,True,mdcp_worst_source_proxy
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,0.7142857142857143,42429.53999132416,6,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.5,13676.024468317213,20,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,period,0.9195402298850575,35018.09151551209,5,True,mdcp_worst_source_proxy
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,0.75,41172.46469002684,6,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666667,12453.029938213285,19,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,period,0.9157894736842105,32178.744469864345,5,True,mdcp_worst_source_proxy
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.8,44056.20554369838,6,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.6,14083.393560267636,19,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9090909090909091,33334.383227805534,5,True,mdcp_worst_source_proxy
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,0.7142857142857143,45282.57406701917,6,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.5,15343.48727821697,19,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,period,0.9215686274509804,32732.729722978023,5,True,mdcp_worst_source_proxy
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,0.8,44871.48044769675,6,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666667,14503.42479958408,21,False,mdcp_worst_source_proxy
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,period,0.9204545454545454,32626.390407105475,5,True,mdcp_worst_source_proxy
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.75,34518.33355814198,6,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.6,12126.412186124446,18,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9090909090909091,36388.752946925924,5,True,mdcp_worst_source_proxy
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,0.7857142857142857,38716.11481913907,6,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666667,11085.037857002224,18,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,period,0.9230769230769231,34503.3270053512,5,True,mdcp_worst_source_proxy
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,0.8,38207.12362995658,6,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666667,12602.296108204755,19,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,period,0.9069767441860466,32568.047756793112,5,True,mdcp_worst_source_proxy
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.6666666666666667,36924.72209452994,6,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.5,12515.0763222355,19,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9047619047619048,33370.91508888796,5,True,mdcp_worst_source_proxy
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,0.75,38485.588832027825,6,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.0,11263.888151192237,19,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,period,0.9166666666666666,32574.053801660262,5,True,mdcp_worst_source_proxy
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,0.8,39662.695220116315,6,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.5,12817.498061016771,20,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,period,0.9130434782608696,29481.97000559727,5,True,mdcp_worst_source_proxy
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.9243697478991597,41188.006252162406,6,True,mdcp_worst_source_proxy
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.8695652173913043,12434.490729155457,19,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9318181818181819,34526.25923021051,5,True,mdcp_worst_source_proxy
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,0.8,42202.10936670592,6,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.5,13593.255552373095,20,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,period,0.9183673469387755,35495.67259311146,5,True,mdcp_worst_source_proxy
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,0.9090909090909091,43201.26663982639,6,True,mdcp_worst_source_proxy
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666667,14010.541955068878,20,False,mdcp_worst_source_proxy
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,period,0.9230769230769231,34455.13168571139,5,True,mdcp_worst_source_proxy
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.8421052631578947,37704.97938776163,6,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.6666666666666667,13395.234340297005,19,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.8977272727272727,32244.15402056962,5,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,0.8235294117647058,40394.556153485646,6,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.75,11944.865958869428,19,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,period,0.9148936170212766,34989.54466882295,5,True,mdcp_worst_source_proxy
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,0.8125,37519.08333434092,6,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666667,14053.132415008748,19,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,period,0.9157894736842105,36653.43740277801,5,True,mdcp_worst_source_proxy
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.7142857142857143,38198.93374816808,6,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.5,11933.933759537249,19,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9111111111111111,33327.954078252784,5,True,mdcp_worst_source_proxy
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,0.8333333333333334,38445.9757160072,6,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666667,13250.4905515938,19,False,mdcp_worst_source_proxy
