metric_v400,before_v400,after_v400,delta_v400,claim_boundary_v400
global_notebook_total,139,132,-7,lint reduction only; global lint not clean
global_notebook_e402,119,112,-7,lint reduction only; global lint not clean
global_notebook_i001,0,0,0,lint reduction only; global lint not clean
global_notebook_b018,10,10,0,lint reduction only; global lint not clean
global_notebook_f821,1,1,0,lint reduction only; global lint not clean
