policy_id,horizon_months,start_month,end_month,window_ecl,window_realized_return,window_net_after_ecl,min_coverage_alpha01,mean_stage2_or_3_share,status
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2018-01-01,2018-03-01,4683.442235776381,7271.9625,2588.520264223619,0.7142857142857143,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2018-02-01,2018-04-01,2892.464371514064,4750.389999999999,1857.9256284859352,0.7142857142857143,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2018-03-01,2018-05-01,3413.428958781334,6621.0025000000005,3207.5735412186655,1.0,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2018-04-01,2018-06-01,6234.60609166046,8521.7225,2287.1164083395397,0.8666666666666667,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2018-05-01,2018-07-01,10342.279846208163,15072.675,4730.3951537918365,0.8666666666666667,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2018-06-01,2018-08-01,13252.904845624806,18456.585,5203.680154375195,0.8666666666666667,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2018-07-01,2018-09-01,14914.919931484063,24339.8225,9424.902568515936,0.9444444444444444,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2018-08-01,2018-10-01,17462.48185392385,29286.61,11824.128146076147,0.9411764705882353,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2018-09-01,2018-11-01,21672.130230669343,37005.8875,15333.757269330654,0.9411764705882353,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2018-10-01,2018-12-01,20580.7526616274,34572.8,13992.047338372598,0.9411764705882353,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2018-11-01,2019-01-01,18642.971323886777,32085.03,13442.05867611322,0.962962962962963,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2018-12-01,2019-02-01,15734.891277470935,26373.4,10638.508722529063,0.8666666666666667,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2019-01-01,2019-03-01,14464.614038541993,23697.12,9232.505961458006,0.8666666666666667,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2019-02-01,2019-04-01,13004.196966418054,17091.870000000003,4087.673033581947,0.8235294117647058,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2019-03-01,2019-05-01,8992.718688081864,12821.36,3828.641311918137,0.8235294117647058,1.0,toy_dla_window_summary
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,3,2019-04-01,2019-06-01,8876.640167204674,12780.015000000001,3903.374832795328,0.8235294117647058,1.0,toy_dla_window_summary
