tier_id_v324,solver_success_v324,milp_status_v324,milp_message_v324,milp_fun_v324,milp_gap_v324,milp_dual_bound_v324,milp_node_count_v324,constraint_rows_v324,variable_count_v324,return_floor_v324,cvar_cap_v324,selected_rows_v324,portfolio_exposure_v324,objective_return_v324,delta_return_vs_v320_v324,delta_return_vs_v316_v324,scenario_loss_mean_v324,scenario_loss_cvar90_v324,delta_cvar90_vs_v320_v324,delta_cvar90_vs_v316_v324,observed_proxy_rows_v324,missing_proxy_rows_v324,observed_proxy_delta_vs_v320_v324,missing_proxy_delta_vs_v320_v324,period_distribution_v324,claim_boundary_v324
strict_v320_return_v320_cvar,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,-1,183,1490,4433.2752487568005,96827.9133726903,,,,,,,,,,,,,,{},bounded proxy-gap repair tier; not full-universe or promotion evidence
relaxed_v316_return_v320_cvar,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),-10004423.147879401,1.1718216599222358e-07,-10004424.320219373,487,183,1490,4419.757991584778,96827.9133726903,171.0,843775.0,4423.147879398481,-10.127369358319811,3.389887813702444,60268.842598930736,96592.54051502704,-235.37285766325658,-391.51024486227834,100.0,71.0,8.0,-8.0,"{""2018"": 94, ""2019"": 70, ""2020"": 7}",bounded proxy-gap repair tier; not full-universe or promotion evidence
