candidate_rank_v286,added_loan_id_v286,added_loan_amount_v286,added_mean_return_v286,pricing_block_ids_v286,relief_milp_success_v286,relief_milp_status_v286,relief_milp_gap_v286,drop_count_v286,drop_exposure_v286,drop_mean_return_v286,return_delta_after_exact_relief_v286,objective_return_after_exact_relief_v286,exposure_after_exact_relief_v286,source_min_slack_after_exact_relief_v286,max_source_share_after_exact_relief_v286,source_cap_violations_after_exact_relief_v286,first_source_block_family_v286,first_source_block_id_v286,cvar90_after_exact_relief_v286,budget_source_cvar_feasible_exact_relief_v286,return_positive_exact_relief_v286,exact_relief_entering_column_v286,cardinality_preserved_v286,cardinality_after_exact_relief_v286,claim_boundary_v286
2,161116709,35000.0,853.4116469305155,grade=A|score_decile=0,True,0,0.0,1,35000.0,858.3018037609215,-4.890156830405999,3097.65225835542,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,99175.90878416863,True,False,False,True,171,top-200 exact joint source-relief diagnostic only; not global pricing
159,159812601,15000.0,358.3263496796648,grade=A|score_decile=0,True,0,2.874341775627243e-09,4,15000.0,366.32848920449476,-8.002139524829943,3094.540275660996,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98146.01321297123,True,False,False,False,168,top-200 exact joint source-relief diagnostic only; not global pricing
52,161623470,20000.0,479.7448774662939,grade=A|score_decile=0,True,0,0.0,5,20050.0,489.4797188282687,-9.734841361974816,3092.8075738238513,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,98045.69783266277,True,False,False,False,167,top-200 exact joint source-relief diagnostic only; not global pricing
14,143514276,28000.0,673.6292306180682,grade=A|score_decile=0,True,0,0.0,6,28050.0,687.7120687692627,-14.08283815119455,3088.4595770346314,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,97862.71312741301,True,False,False,False,166,top-200 exact joint source-relief diagnostic only; not global pricing
60,144406546,20000.0,471.0978293821964,grade=A|score_decile=0,True,0,0.0,5,20050.0,489.4797188282687,-18.381889446072307,3084.1605257397537,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,98008.57884664414,True,False,False,False,167,top-200 exact joint source-relief diagnostic only; not global pricing
38,144885292,22000.0,518.2076123204159,grade=A|score_decile=0,True,0,0.0,5,22050.0,540.5746166959619,-22.367004375546003,3080.17541081028,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,97851.73918517347,True,False,False,False,167,top-200 exact joint source-relief diagnostic only; not global pricing
177,143313870,15000.0,340.623834523884,grade=A|score_decile=0,True,0,2.874341775627243e-09,4,15000.0,366.32848920449476,-25.70465468061076,3076.837760505215,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98136.19550998439,True,False,False,False,168,top-200 exact joint source-relief diagnostic only; not global pricing
182,156732024,14650.0,333.8315417219229,grade=A|score_decile=0,True,0,0.0,6,14700.0,360.5723494306186,-26.740807708695684,3075.8016074771303,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,98078.07737856676,True,False,False,False,166,top-200 exact joint source-relief diagnostic only; not global pricing
176,161941509,15100.0,340.8004682144148,grade=A|score_decile=0,True,0,0.0,5,15250.0,373.1733455366099,-32.37287732219505,3070.169537863631,843475.0,2.7195389862066932e-05,0.8999673967811731,0,,,98387.74968995246,True,False,False,False,167,top-200 exact joint source-relief diagnostic only; not global pricing
94,155064502,18900.0,425.529202136232,grade=A|score_decile=0,True,0,0.0,6,18900.0,463.48320162417997,-37.953999487947954,3064.588415697878,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98448.70386562495,True,False,False,False,166,top-200 exact joint source-relief diagnostic only; not global pricing
11,162344939,30000.0,697.2387743078434,grade=A|score_decile=0,True,0,0.0,6,30050.0,737.2837630621364,-40.044988754292945,3062.4974264315333,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,97736.98848005537,True,False,False,False,166,top-200 exact joint source-relief diagnostic only; not global pricing
118,143521432,18000.0,395.191647552325,grade=A|score_decile=0,True,0,0.0,5,18000.0,442.6130160092182,-47.42136845689322,3055.121046728933,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98276.43494042185,True,False,False,False,167,top-200 exact joint source-relief diagnostic only; not global pricing
