dimension,groups_with_support,min_n,max_mean_int_rate,min_mean_int_rate,interest_rate_range,default_rate_range,cashflow_loss_range,legal_fair_lending_claim_allowed
grade,7,10695,27.97895278167368,7.129723111659049,20.84922967001463,0.4253287830800063,0.19665871238216803,False
dti_band,5,371513,14.656884873476836,12.164825973551524,2.4920588999253113,0.09959001922054841,0.04359435336762996,False
zip3,451,1001,14.138475813811986,11.987290928902206,2.15118488490978,0.16149870349735518,0.1051178640330109,False
income_band,5,346239,13.939698153944663,12.320738542522525,1.618959611422138,0.0699503924098763,0.02737132676758397,False
addr_state,50,2674,13.842459668508287,12.599208617278524,1.2432510512297625,0.12053139130064341,0.0522202757181517,False
