source_family,source_id,cap_share_v353,source_exposure_v353,source_share_v353,source_slack_v353,source_cap_violated_v353,claim_boundary_v353
grade,A,0.8531348749298603,719850.0,0.8531302776214038,4.597308456477656e-06,False,v353 applied bounded branch-price candidate source diagnostic only
grade,B,0.8531348749298603,21725.0,0.025747385262658885,0.8273874896672014,False,v353 applied bounded branch-price candidate source diagnostic only
grade,C,0.8531348749298603,40600.0,0.048117092826879204,0.8050177821029811,False,v353 applied bounded branch-price candidate source diagnostic only
grade,D,0.8531348749298603,47050.0,0.055761310775977006,0.7973735641538833,False,v353 applied bounded branch-price candidate source diagnostic only
grade,E,0.8531348749298603,13550.0,0.016058783443453527,0.8370760914864067,False,v353 applied bounded branch-price candidate source diagnostic only
grade,F,0.8531348749298603,1000.0,0.0011851500696275666,0.8519497248602327,False,v353 applied bounded branch-price candidate source diagnostic only
grade,G,0.8531348749298603,0.0,0.0,0.8531348749298603,False,v353 applied bounded branch-price candidate source diagnostic only
score_decile,0,0.9,759300.0,0.8998844478682113,0.00011555213178870982,False,v353 applied bounded branch-price candidate source diagnostic only
score_decile,1,0.9,64000.0,0.07584960445616426,0.8241503955438357,False,v353 applied bounded branch-price candidate source diagnostic only
score_decile,2,0.9,20475.0,0.024265947675624427,0.8757340523243756,False,v353 applied bounded branch-price candidate source diagnostic only
score_decile,3,0.9,0.0,0.0,0.9,False,v353 applied bounded branch-price candidate source diagnostic only
score_decile,4,0.9,0.0,0.0,0.9,False,v353 applied bounded branch-price candidate source diagnostic only
score_decile,5,0.9,0.0,0.0,0.9,False,v353 applied bounded branch-price candidate source diagnostic only
score_decile,6,0.9,0.0,0.0,0.9,False,v353 applied bounded branch-price candidate source diagnostic only
score_decile,7,0.9,0.0,0.0,0.9,False,v353 applied bounded branch-price candidate source diagnostic only
score_decile,8,0.9,0.0,0.0,0.9,False,v353 applied bounded branch-price candidate source diagnostic only
score_decile,9,0.9,0.0,0.0,0.9,False,v353 applied bounded branch-price candidate source diagnostic only
income_band,0,0.85,4500.0,0.00533317531332405,0.844666824686676,False,v353 applied bounded branch-price candidate source diagnostic only
income_band,1,0.85,24425.0,0.028947290450653314,0.8210527095493466,False,v353 applied bounded branch-price candidate source diagnostic only
income_band,2,0.85,52950.0,0.06275369618677965,0.7872463038132204,False,v353 applied bounded branch-price candidate source diagnostic only
income_band,3,0.85,100475.0,0.11907795324582976,0.7309220467541702,False,v353 applied bounded branch-price candidate source diagnostic only
income_band,4,0.85,661425.0,0.7838878848034132,0.06611211519658677,False,v353 applied bounded branch-price candidate source diagnostic only
dti_band,0,0.85,618800.0,0.7333708630855382,0.11662913691446175,False,v353 applied bounded branch-price candidate source diagnostic only
dti_band,1,0.85,165850.0,0.19655713904773192,0.653442860952268,False,v353 applied bounded branch-price candidate source diagnostic only
dti_band,2,0.85,39700.0,0.0470504577642144,0.8029495422357856,False,v353 applied bounded branch-price candidate source diagnostic only
dti_band,3,0.85,16425.0,0.01946608989363278,0.8305339101063672,False,v353 applied bounded branch-price candidate source diagnostic only
dti_band,4,0.85,3000.0,0.0035554502088826997,0.8464445497911173,False,v353 applied bounded branch-price candidate source diagnostic only
period,2018,0.82,516225.0,0.6118040946934905,0.20819590530650944,False,v353 applied bounded branch-price candidate source diagnostic only
period,2019,0.82,285625.0,0.3385084886373737,0.48149151136262625,False,v353 applied bounded branch-price candidate source diagnostic only
period,2020,0.82,41925.0,0.04968741666913573,0.7703125833308642,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,AZ,0.35,12000.0,0.014221800835530799,0.33577819916446916,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,CA,0.35,115800.0,0.1372403780628722,0.21275962193712777,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,CO,0.35,15875.0,0.01881425735533762,0.3311857426446624,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,FL,0.35,51075.0,0.06053153980622796,0.28946846019377204,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,GA,0.35,32400.0,0.038398862255933155,0.31160113774406684,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,IL,0.35,89325.0,0.10586352996948238,0.24413647003051758,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,IN,0.35,8050.0,0.00954045806050191,0.34045954193949807,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,MA,0.35,29200.0,0.034606382033124945,0.31539361796687504,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,MD,0.35,7275.0,0.008621966756540547,0.34137803324345944,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,MI,0.35,2400.0,0.00284436016710616,0.3471556398328938,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,MN,0.35,9100.0,0.010784865633610856,0.3392151343663891,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,NC,0.35,23350.0,0.02767325412580368,0.3223267458741963,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,NJ,0.35,10600.0,0.012562590738052206,0.33743740926194776,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,NV,0.35,9700.0,0.011495955675387396,0.33850404432461256,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,NY,0.35,88375.0,0.10473763740333619,0.24526236259666379,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,OH,0.35,24200.0,0.02868063168498711,0.32131936831501284,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,PA,0.35,25850.0,0.030636129299872597,0.3193638707001274,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,TX,0.35,32950.0,0.03905069479422832,0.3109493052057717,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,VA,0.35,14950.0,0.01771799354093212,0.33228200645906786,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,WA,0.35,57475.0,0.06811650025184439,0.2818834997481556,False,v353 applied bounded branch-price candidate source diagnostic only
state_top20,other,0.35,183825.0,0.21786021154928742,0.13213978845071256,False,v353 applied bounded branch-price candidate source diagnostic only
