hidden_bias_default_rate_shift,att_ipw,att_lower_bound,att_upper_bound,sign_stable
0.0,-0.03788212635376931,-0.03788212635376931,-0.03788212635376931,True
0.005,-0.03788212635376931,-0.042882126353769305,-0.03288212635376931,True
0.01,-0.03788212635376931,-0.04788212635376931,-0.027882126353769306,True
0.015,-0.03788212635376931,-0.05288212635376931,-0.022882126353769308,True
0.02,-0.03788212635376931,-0.05788212635376931,-0.017882126353769307,True
0.025,-0.03788212635376931,-0.0628821263537693,-0.012882126353769306,True
0.03,-0.03788212635376931,-0.0678821263537693,-0.007882126353769309,True
0.035,-0.03788212635376931,-0.07288212635376931,-0.0028821263537693043,True
0.04,-0.03788212635376931,-0.07788212635376932,0.0021178736462306932,False
0.045,-0.03788212635376931,-0.0828821263537693,0.007117873646230691,False
0.05,-0.03788212635376931,-0.08788212635376931,0.012117873646230695,False
