policy_id,max_proxy_gap_v4,mean_proxy_gap_v4,proxy_sources_pass_35
paper4_v4_local_rt0p1750_g0p425_u0p050,0.27397350425383027,0.10018876735582107,1.0
paper4_v4_local_rt0p1750_g0p425_u0p075,0.27397350425383027,0.10018876735582107,1.0
paper4_v4_local_rt0p1750_g0p425_u0p100,0.27397350425383027,0.10018876735582107,1.0
paper4_v4_local_rt0p1750_g0p450_u0p000,0.2747767257079329,0.0995123901009856,1.0
paper4_v4_local_rt0p1750_g0p450_u0p025,0.2747767257079329,0.09999316111762464,1.0
paper4_v4_local_rt0p1750_g0p450_u0p050,0.27492553132403186,0.10012983115414109,1.0
paper4_v4_local_rt0p1750_g0p450_u0p075,0.27528729458361845,0.09990862765974744,1.0
paper4_v4_local_rt0p1750_g0p450_u0p100,0.27397350425383027,0.09998168247678553,1.0
paper4_v4_local_rt0p1750_g0p475_u0p000,0.27492553132403186,0.09919387685753289,1.0
paper4_v4_local_rt0p1750_g0p475_u0p025,0.27058751293083394,0.09998172945239749,1.0
paper4_v4_local_rt0p1750_g0p475_u0p050,0.26726118239862107,0.09968998424287907,1.0
paper4_v4_local_rt0p1750_g0p475_u0p075,0.2674548989384914,0.09969787746326787,1.0
paper4_v4_local_rt0p1750_g0p475_u0p100,0.26607597380190806,0.09973833049959073,1.0
paper4_v4_local_rt0p1750_g0p500_u0p000,0.266665944303383,0.09937627680882687,1.0
paper4_v4_local_rt0p1750_g0p500_u0p025,0.26647158084371336,0.09952815301964124,1.0
paper4_v4_local_rt0p1750_g0p500_u0p050,0.26176398351906927,0.09912312321532359,1.0
paper4_v4_local_rt0p1750_g0p500_u0p075,0.26334238614111505,0.09916925069355975,1.0
paper4_v4_local_rt0p1750_g0p500_u0p100,0.2647051599896575,0.09974933051532568,1.0
paper4_v4_local_rt0p1775_g0p400_u0p000,0.2614521669092603,0.10068805008243918,1.0
paper4_v4_local_rt0p1775_g0p400_u0p025,0.2614521669092603,0.10104006018248184,1.0
paper4_v4_local_rt0p1775_g0p400_u0p050,0.2614521669092603,0.10107390552243713,1.0
paper4_v4_local_rt0p1775_g0p400_u0p075,0.2614521669092603,0.10138127317084523,1.0
paper4_v4_local_rt0p1775_g0p400_u0p100,0.2614521669092603,0.10146984795561027,1.0
paper4_v4_local_rt0p1775_g0p425_u0p000,0.2614521669092603,0.10156718415719053,1.0
paper4_v4_local_rt0p1775_g0p425_u0p025,0.2614521669092603,0.10156718415719053,1.0
paper4_v4_local_rt0p1775_g0p425_u0p050,0.2614521669092603,0.10156718415719053,1.0
paper4_v4_local_rt0p1775_g0p425_u0p075,0.2614521669092603,0.10156718415719053,1.0
paper4_v4_local_rt0p1775_g0p425_u0p100,0.2614521669092603,0.10156718415719053,1.0
paper4_v4_local_rt0p1775_g0p450_u0p000,0.273213563351002,0.10077127669173719,1.0
paper4_v4_local_rt0p1775_g0p450_u0p025,0.273213563351002,0.10077127669173719,1.0
paper4_v4_local_rt0p1775_g0p450_u0p050,0.273213563351002,0.10077127669173719,1.0
paper4_v4_local_rt0p1775_g0p450_u0p075,0.273213563351002,0.10077127669173719,1.0
paper4_v4_local_rt0p1775_g0p450_u0p100,0.273213563351002,0.10077127669173719,1.0
paper4_v4_local_rt0p1775_g0p475_u0p000,0.27492553132403186,0.10004475828833755,1.0
paper4_v4_local_rt0p1775_g0p475_u0p025,0.27337205870180503,0.10010610433195827,1.0
paper4_v4_local_rt0p1775_g0p475_u0p050,0.2696913436283861,0.09962007625397105,1.0
paper4_v4_local_rt0p1775_g0p475_u0p075,0.2684019554695617,0.09992965118896703,1.0
paper4_v4_local_rt0p1775_g0p475_u0p100,0.2688420076070427,0.10005726448373792,1.0
paper4_v4_local_rt0p1775_g0p500_u0p000,0.26920748878041134,0.09974272321940277,1.0
paper4_v4_local_rt0p1775_g0p500_u0p025,0.27352868940142216,0.09995773428637407,1.0
paper4_v4_local_rt0p1775_g0p500_u0p050,0.2674548989384914,0.09962555076574542,1.0
paper4_v4_local_rt0p1775_g0p500_u0p075,0.26607597380190806,0.09936169856539923,1.0
paper4_v4_local_rt0p1775_g0p500_u0p100,0.2647051599896575,0.09958500491366935,1.0
