rule_code_v439,diagnostic_count_v439,fixable_count_v439,file_count_v439,top_surface_v439,repair_priority_v439,claim_boundary_v439
B023,7,0,4,scripts,1,post-v439 frontier only
SIM108,2,2,2,scripts,2,post-v439 frontier only
C405,1,1,1,scripts,3,post-v439 frontier only
SIM223,1,1,1,scripts,4,post-v439 frontier only
