policy_id,horizon_months,n_paths,wealth_mean,wealth_p05,loss_mean,loss_p95,defaults_mean,realized_return_mean,no_temporal_leakage_rate
paper1_economic_champion,12,128,966080.1888921412,936874.5497594902,5376.006911039942,10429.536886976217,5.296875,19098.284998343788,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,12,128,974360.1892846941,944766.0195611675,5984.439972070956,12951.024629797193,5.03125,24903.457428179914,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,12,128,974360.1892846943,944766.0195611675,5984.439972070957,12951.024629797193,5.03125,24903.45742817991,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,12,128,985273.5933027503,964565.4600645981,5696.342870307173,12913.257828075039,5.2109375,26742.993335728075,1.0
v13_fvi_bellman_rollout,12,128,976072.0091193591,944378.9308519055,8029.728060271596,13695.464051115767,11.8828125,32973.52789211704,1.0
v13_fvi_capital_guarded,12,128,975833.1001425701,944304.7906962456,8167.139493551429,13675.479910049069,12.1796875,32785.09195705844,1.0
v13_fvi_return_recovery,12,128,975080.5982835745,942047.3176983007,7939.447305715427,13121.841612336304,11.59375,33976.89911621097,1.0
v13_mdcp_empirical_base,12,128,992225.0831030672,969735.9109941508,7690.087314904877,17488.36220568569,5.3046875,35539.88257033109,1.0
v13_mdcp_empirical_return_recovery,12,128,989650.4727908658,970187.2269656288,5877.771532220071,13188.873540637309,4.6015625,29739.91555329854,1.0
v13_mdcp_empirical_tight,12,128,983335.5624720734,961598.0274457865,5505.902783190126,13926.502944654492,3.7421875,25990.66522698352,1.0
v13_spo_regret_audit_guarded,12,128,973812.8329590925,942471.5508880697,8810.447292038612,15557.937764786962,8.140625,26372.63869434497,1.0
v13_spo_regret_balanced,12,128,972764.9403800203,942253.6711605826,6740.685556401617,12737.922110213725,6.171875,24212.33296784581,1.0
v13_spo_regret_return_recovery,12,128,970724.3873644029,940031.4797651055,5976.001955227104,12156.731099012935,5.4765625,21314.441068431726,1.0
v13_static_reference,12,128,713231.3794403655,603684.0708993858,73416.14637905534,119924.68277950479,5.2578125,117374.50411790187,1.0
paper1_economic_champion,24,128,974830.7381918952,906097.9139187153,33754.62774971636,58136.645656158806,30.296875,113522.61743094563,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,24,128,1017401.2349860773,962568.4205583128,28962.556712877027,47974.73080498096,26.6640625,113868.8922801043,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,24,128,1017401.2349860773,962568.4205583128,28962.556712877027,47974.73080498096,26.6640625,113868.8922801043,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,24,128,1007885.4955994578,961539.1434103124,26873.579231006694,45597.95866390788,27.1796875,102237.14112062266,1.0
v13_fvi_bellman_rollout,24,128,1041582.0035983172,1015236.0413532064,22286.330392474192,35707.17864520629,40.7421875,90840.71185234858,1.0
v13_fvi_capital_guarded,24,128,1040388.6648397716,1013413.3625053153,22509.349849740014,35603.92688244145,41.3984375,89790.86921689566,1.0
v13_fvi_return_recovery,24,128,1044883.7505124855,1018955.1710548965,22912.12610815219,36184.916396825996,40.5078125,95993.15799004375,1.0
v13_mdcp_empirical_base,24,128,1008023.1891647242,971548.9750269835,26398.919095366276,44651.34409190368,23.6328125,92955.82154907227,1.0
v13_mdcp_empirical_return_recovery,24,128,1006949.9433355418,965832.7782400408,24931.31400312361,41084.66396673492,22.625,96542.40051878832,1.0
v13_mdcp_empirical_tight,24,128,1004010.1551145095,975958.0725113836,24388.268115997293,38953.01026408241,21.265625,72194.0814111359,1.0
v13_spo_regret_audit_guarded,24,128,1008371.2711431014,957954.0667798525,29789.449507215973,51169.25338786901,29.09375,94376.1994177246,1.0
v13_spo_regret_balanced,24,128,1009779.6288743695,957481.1802917446,28519.082409574847,48120.97057282232,27.0078125,98716.12858470783,1.0
v13_spo_regret_return_recovery,24,128,1003983.0362267657,949614.5983510147,28638.69135184536,47723.57379615032,27.0859375,97510.99383893034,1.0
v13_static_reference,24,128,925063.1922164375,818307.1793891762,181471.30538801447,255544.3820926805,14.5390625,257932.43989565247,1.0
paper1_economic_champion,36,128,1084409.458713002,1022204.4738498199,70044.46684897164,110765.19430796838,67.84375,210237.70751725463,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,36,128,1103876.4261106388,1052613.2278028126,52008.04608880537,84747.56681035103,56.65625,192848.54977225792,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,36,128,1103876.4261106388,1052613.2278028126,52008.04608880537,84747.56681035103,56.65625,192848.54977225792,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,36,128,1086897.7073143297,1042747.4233253468,50229.83736145646,81226.04718102622,57.8984375,173819.4852485362,1.0
v13_fvi_bellman_rollout,36,128,1079196.7464732556,1059259.1635093435,30114.2262435817,47062.290884581256,70.140625,118219.18818115117,1.0
v13_fvi_capital_guarded,36,128,1077547.8543751026,1056201.088066789,30328.363835758973,46999.29991339853,70.9765625,116714.87914939472,1.0
v13_fvi_return_recovery,36,128,1084899.9017937216,1062578.915292742,31125.345902996007,49335.71873451082,70.0,125451.65059479763,1.0
v13_mdcp_empirical_base,36,128,1067888.1105115297,1040712.1903618195,45722.39223332445,67436.01723154166,48.7734375,139163.95923041436,1.0
v13_mdcp_empirical_return_recovery,36,128,1078953.9630947034,1045958.8513736352,45978.72683896693,72925.84108451675,47.9609375,156505.73918229848,1.0
v13_mdcp_empirical_tight,36,128,1044901.4228895806,1018762.6369541998,39852.11661773602,59104.37899144279,43.7890625,101864.75842933916,1.0
v13_spo_regret_audit_guarded,36,128,1074778.4518076065,1026432.4996484068,47957.199870808225,78938.51764853642,56.3125,151557.07648256648,1.0
v13_spo_regret_balanced,36,128,1081328.9685226392,1032650.4559269226,47843.06613471674,80682.50681285631,53.9921875,159661.46474012587,1.0
v13_spo_regret_return_recovery,36,128,1078663.6662203572,1027706.9832685665,49890.50751413563,82393.54437350172,56.421875,162023.7493790238,1.0
v13_static_reference,36,128,1017308.420771029,897013.2983108956,254649.39256121404,330534.99342348735,24.09375,311743.37694493285,1.0
