policy_id,loan_id,issue_month,loan_amnt,funded_exposure,surrogate_score_v8,pd_high_alpha01,qhat_v4,weak_source_proxy,realized_return_proxy_lgd45
v8_dfl_surrogate_w0p02_s0p02_e0p45,150606866,2019-04-01,40000.0,40000.0,1616.2696992518268,0.10310586199790928,0.8436816790555313,0.3333333333333333,4132.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,143477132,2018-11-01,40000.0,40000.0,1592.963392506852,0.03672906242751414,0.8436816790555313,0.3333333333333333,3024.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,135254477,2018-07-01,35000.0,35000.0,1572.277814196579,0.1888440017299619,0.8436816790555313,0.3333333333333333,5082.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,145082939,2018-12-01,35000.0,35000.0,1550.7359868453486,0.10310586199790928,0.8436816790555313,0.3333333333333333,3752.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,133102867,2018-05-01,40000.0,40000.0,1512.2696992518268,0.10310586199790928,0.8436816790555313,0.3333333333333333,-18000.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,138962816,2018-08-01,40000.0,40000.0,1499.5093502933048,0.16519382061810706,0.8436816790555313,0.3333333333333333,5092.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,127164594,2018-01-01,40000.0,40000.0,1495.2150424962515,0.10310586199790928,0.55,0.3333333333333333,3776.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,127016013,2018-01-01,35150.0,35150.0,1486.155218593581,0.10310586199790928,0.55,0.3333333333333333,3490.395
v8_dfl_surrogate_w0p02_s0p02_e0p45,128154080,2018-02-01,35000.0,35000.0,1445.7359868453486,0.10310586199790928,0.8436816790555313,0.3333333333333333,-15750.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,140978428,2018-10-01,8500.0,8500.0,1408.9222310667883,0.1888440017299619,0.8436816790555313,0.6666666666666666,2317.95
v8_dfl_surrogate_w0p02_s0p02_e0p45,165418646,2020-01-01,40000.0,40000.0,1406.9650853934918,0.04866837354205124,0.8436816790555313,0.3333333333333333,3024.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,142773652,2018-11-01,40000.0,40000.0,1405.6030325851602,0.10310586199790928,0.8436816790555313,0.6666666666666666,4188.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,131106023,2018-04-01,39200.0,39200.0,1397.901555409578,0.05746866290426758,0.8436816790555313,0.3333333333333333,3120.32
v8_dfl_surrogate_w0p02_s0p02_e0p45,156829766,2019-08-01,28875.0,28875.0,1365.9821891474116,0.10310586199790928,0.8436816790555313,0.3333333333333333,3182.0249999999996
v8_dfl_surrogate_w0p02_s0p02_e0p45,149445142,2019-04-01,32825.0,32825.0,1336.6111144131364,0.03437983267750509,0.8436816790555313,0.3333333333333333,2481.57
v8_dfl_surrogate_w0p02_s0p02_e0p45,145967287,2019-01-01,40000.0,40000.0,1327.2139492822098,0.11999851469006251,0.8436816790555313,0.3333333333333333,4132.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,155647069,2019-07-01,40000.0,40000.0,1327.2139492822098,0.11999851469006251,0.8436816790555313,0.3333333333333333,4132.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,138064898,2018-08-01,35000.0,35000.0,1312.6387972964426,0.1839309243202601,0.8436816790555313,0.3333333333333333,4746.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,147304886,2019-02-01,19600.0,19600.0,1310.5236288897927,0.1504443713101714,0.8436816790555313,0.3333333333333333,2943.92
v8_dfl_surrogate_w0p02_s0p02_e0p45,166275730,2020-02-01,30000.0,30000.0,1292.6331586628924,0.12959865275371413,0.8311503416856492,0.3333333333333333,3513.0000000000005
v8_dfl_surrogate_w0p02_s0p02_e0p45,144018090,2018-11-01,11450.0,11450.0,1283.9141323514468,0.2222387509610818,0.8436816790555313,0.6666666666666666,2679.2999999999997
v8_dfl_surrogate_w0p02_s0p02_e0p45,144238649,2018-12-01,40000.0,40000.0,1275.1122978112078,0.14560681191071068,0.8436816790555313,0.3333333333333333,4524.0
v8_dfl_surrogate_w0p02_s0p02_e0p45,168744464,2020-04-01,15000.0,15000.0,1268.2429807106773,0.2222387509610818,0.8311503416856492,0.3333333333333333,2992.4999999999995
v8_dfl_surrogate_w0p02_s0p02_e0p45,158731315,2019-09-01,40000.0,40000.0,1264.8982906005158,0.029313703361175232,0.8436816790555313,0.3333333333333333,2584.0
