policy_id,regime_v73,omitted_rows_priced_v73,improving_columns_v73,min_reduced_cost_v73,best_return_improvement_signal_v73,median_reduced_cost_v73,negative_reduced_cost_detected_v73,post_iteration_reprice_performed_v73,column_generation_termination_claim_allowed_v73,exact_full_universe_cvar_claim_allowed_v73,claim_boundary_v73_x,solver_success_v73,solver_message_v73,objective_return_v73,v72_objective_return_baseline_v73,delta_return_vs_v72_v73,incumbent_exposure_v73,incumbent_cvar90_v73,cvar_cap_v73,v72_master_rows_repriced_v73,claim_boundary_v73_y
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,275402,17735,-1579.6779,1579.6779,5376.2656,True,True,False,False,post-v72 re-pricing screen; termination requires no improving columns and no scope blockers,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),-33844.60597697524,-33844.605976975254,1.4551915228366852e-11,845850.0,176777.2176388813,185616.07852082537,1467,post-v72 restricted-master LP rerun for marginals; not convergence proof
v63_source_repair_return_guarded_repair,incumbent_cvar_relaxed_source_lp,276426,14575,-1657.5133,1657.5133,5322.4683,True,True,False,False,post-v72 re-pricing screen; termination requires no improving columns and no scope blockers,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),-4838.09863105777,-4838.098631057766,-3.637978807091713e-12,846525.0,108889.78655858779,108900.67553724365,443,post-v72 restricted-master LP rerun for marginals; not convergence proof
v63_source_repair_return_guarded_repair,target_source_cap_probe_lp,274219,16265,-1273.3679,1273.3679,5321.4307,True,True,False,False,post-v72 re-pricing screen; termination requires no improving columns and no scope blockers,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),-4093.3429671440053,-4093.3429671440153,1.000444171950221e-11,846525.0,108889.78655858779,114334.27588651718,2650,post-v72 restricted-master LP rerun for marginals; not convergence proof
v63_source_repair_strict_source_probe,target_source_cap_probe_lp,274831,16770,-1722.1564,1722.1564,5350.7944,True,True,False,False,post-v72 re-pricing screen; termination requires no improving columns and no scope blockers,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),-50170.121670454384,-50170.12167045439,7.275957614183426e-12,846475.0,217144.0725116467,228001.27613722903,2038,post-v72 restricted-master LP rerun for marginals; not convergence proof
v63_source_repair_tail_balanced_repair,target_source_cap_probe_lp,275520,17983,-1511.3898,1511.3898,5301.6626,True,True,False,False,post-v72 re-pricing screen; termination requires no improving columns and no scope blockers,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),-15226.32838364697,-15226.328383646973,1.8189894035458565e-12,846325.0,139579.56410577038,146558.5423110589,1349,post-v72 restricted-master LP rerun for marginals; not convergence proof
