policy_id,solver_status,elapsed_seconds,risk_tolerance,weak_penalty,width_penalty,cvar_cap,return_floor,max_weak_share,n_funded,funded_exposure,objective_return,realized_return_proxy_lgd45,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,solver_lane,hybrid_status,auditability_constraint_retained
v6_hybrid_dfl_proxy_return,TerminationCondition.optimal,0.742698129000928,0.175,0.03,0.04,,,0.45,318,1000000.0,133489.85559389467,142994.71333980854,0.175000000000175,0.8228659108355338,0.45000000000045,spo_dfl_constrained_surrogate,surrogate_training_not_neural_dfl,True
v6_hybrid_dfl_proxy_balanced,TerminationCondition.optimal,0.6062466250004945,0.1725,0.05,0.1,,,0.4,252,1000000.0,120742.90665335734,137444.29280958598,0.1725000000001725,0.7127491765072111,0.4000000000004,spo_dfl_constrained_surrogate,surrogate_training_not_neural_dfl,True
v6_hybrid_dfl_proxy_auditability,TerminationCondition.optimal,0.5108780560003652,0.1725,0.08,0.16,,,0.35,176,850000.0,88324.82876906682,90288.64291036286,0.17250000000020294,0.6211113554589601,0.3500000000004117,spo_dfl_constrained_surrogate,surrogate_training_not_neural_dfl,True
