policy_id,strict_point_v45,required_cvar_slack_v45,required_return_floor_relaxation_v45,required_source_cap_slack_proxy_v45,nearest_feasible_relaxed_policy_v45,dual_slack_available_v45,exact_lp_certificate_claim_allowed_v45,mathematical_infeasibility_proof_claim_v45,claim_boundary_v45
v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap90000,strict_diagnostic,160000.0,0.0,0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,False,explicit slack accounting over restricted-master artifacts; not exact full-universe certificate
v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap105000,strict_diagnostic,145000.0,0.0,0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,False,explicit slack accounting over restricted-master artifacts; not exact full-universe certificate
v13_cvar_mdcp_colgen_r1_k32000_floor95000_cap125000,strict_diagnostic,125000.0,0.0,0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,False,explicit slack accounting over restricted-master artifacts; not exact full-universe certificate
v13_cvar_mdcp_colgen_r1_k32000_floor110000_cap150000,strict_diagnostic,100000.0,0.0,0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,False,explicit slack accounting over restricted-master artifacts; not exact full-universe certificate
v13_cvar_mdcp_colgen_r1_k32000_floor125000_cap175000,strict_diagnostic,75000.0,0.0,0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,False,explicit slack accounting over restricted-master artifacts; not exact full-universe certificate
v13_cvar_mdcp_colgen_r1_k32000_floor145000_cap210000,strict_diagnostic,40000.0,9366.504756653536,0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,False,explicit slack accounting over restricted-master artifacts; not exact full-universe certificate
v13_cvar_mdcp_colgen_r1_k32000_floor160000_cap250000,strict_diagnostic,0.0,24366.504756653536,0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,False,explicit slack accounting over restricted-master artifacts; not exact full-universe certificate
v13_cvar_mdcp_colgen_r2_k36000_floor95000_cap125000,strict_diagnostic,125000.0,0.0,0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,False,explicit slack accounting over restricted-master artifacts; not exact full-universe certificate
v13_cvar_mdcp_colgen_r2_k36000_floor110000_cap150000,strict_diagnostic,100000.0,0.0,0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,False,explicit slack accounting over restricted-master artifacts; not exact full-universe certificate
v13_cvar_mdcp_colgen_r2_k36000_floor125000_cap175000,strict_diagnostic,75000.0,0.0,0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,False,explicit slack accounting over restricted-master artifacts; not exact full-universe certificate
v13_cvar_mdcp_colgen_r2_k36000_floor145000_cap210000,strict_diagnostic,40000.0,9366.504756653536,0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,False,explicit slack accounting over restricted-master artifacts; not exact full-universe certificate
v13_cvar_mdcp_colgen_r2_k36000_floor160000_cap250000,strict_diagnostic,0.0,24366.504756653536,0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,False,explicit slack accounting over restricted-master artifacts; not exact full-universe certificate
