cvar_policy_id,scenario,pd_multiplier,lgd,portfolio_loss,cvar_excess_u
formal_cvar_rt0.165_pen0.50,severe_mid,1.8,0.65,57248.81274016819,0.0
formal_cvar_rt0.165_pen0.50,severe_high,2.0,0.68,66545.62848429808,0.0
formal_cvar_rt0.165_pen1.00,baseline_low,0.95,0.42,12511.203165067347,0.0
formal_cvar_rt0.165_pen1.00,baseline_mid,1.0,0.45,14110.379509474451,0.0
formal_cvar_rt0.165_pen1.00,baseline_high,1.08,0.48,16255.157194914573,0.0
formal_cvar_rt0.165_pen1.00,adverse_low,1.2,0.52,19566.392919804573,0.0
formal_cvar_rt0.165_pen1.00,adverse_mid,1.35,0.55,23282.126190632847,0.0
formal_cvar_rt0.165_pen1.00,adverse_high,1.5,0.58,27280.067051650607,0.0
formal_cvar_rt0.165_pen1.00,severe_low,1.6,0.62,31105.547718663685,0.0
formal_cvar_rt0.165_pen1.00,severe_mid,1.8,0.65,36686.98672463358,0.0
formal_cvar_rt0.165_pen1.00,severe_high,2.0,0.68,42644.70251752278,0.0
formal_cvar_rt0.175_pen0.00,baseline_low,0.95,0.42,69825.00000006982,0.0
formal_cvar_rt0.175_pen0.00,baseline_mid,1.0,0.45,78750.00000007875,0.0
formal_cvar_rt0.175_pen0.00,baseline_high,1.08,0.48,90720.00000009073,0.0
formal_cvar_rt0.175_pen0.00,adverse_low,1.2,0.52,109200.0000001092,0.0
formal_cvar_rt0.175_pen0.00,adverse_mid,1.35,0.55,129937.50000012996,0.0
formal_cvar_rt0.175_pen0.00,adverse_high,1.5,0.58,152245.35379441216,0.0
formal_cvar_rt0.175_pen0.00,severe_low,1.6,0.62,173476.67775880598,0.0
formal_cvar_rt0.175_pen0.00,severe_mid,1.8,0.65,203626.1069483961,0.0
formal_cvar_rt0.175_pen0.00,severe_high,2.0,0.68,235620.70551266556,0.0
formal_cvar_rt0.175_pen0.25,baseline_low,0.95,0.42,64979.18807432911,0.0
formal_cvar_rt0.175_pen0.25,baseline_mid,1.0,0.45,73284.79858007042,0.0
formal_cvar_rt0.175_pen0.25,baseline_high,1.08,0.48,84424.08796424112,0.0
formal_cvar_rt0.175_pen0.25,adverse_low,1.2,0.52,101621.58736436431,0.0
formal_cvar_rt0.175_pen0.25,adverse_mid,1.35,0.55,120919.91765711618,0.0
formal_cvar_rt0.175_pen0.25,adverse_high,1.5,0.58,141428.26823993446,0.0
formal_cvar_rt0.175_pen0.25,severe_low,1.6,0.62,160568.0953364826,0.0
formal_cvar_rt0.175_pen0.25,severe_mid,1.8,0.65,187231.26679303485,0.0
formal_cvar_rt0.175_pen0.25,severe_high,2.0,0.68,215475.45541754478,0.0
formal_cvar_rt0.175_pen0.50,baseline_low,0.95,0.42,19523.31306267274,0.0
formal_cvar_rt0.175_pen0.50,baseline_mid,1.0,0.45,22018.774130833925,0.0
formal_cvar_rt0.175_pen0.50,baseline_high,1.08,0.48,25365.627798720674,0.0
formal_cvar_rt0.175_pen0.50,adverse_low,1.2,0.52,30532.7001280897,0.0
formal_cvar_rt0.175_pen0.50,adverse_mid,1.35,0.55,36330.97731587597,0.0
formal_cvar_rt0.175_pen0.50,adverse_high,1.5,0.58,42569.6299862789,0.0
formal_cvar_rt0.175_pen0.50,severe_low,1.6,0.62,48539.16430619389,0.0
formal_cvar_rt0.175_pen0.50,severe_mid,1.8,0.65,57248.81274016819,0.0
