loan_index_v49,loan_id,issue_month,loan_amnt,base_return_vec,pd_point,pd_high_alpha01,qhat_v4,weak_source_proxy,grade,period,score_decile,state_top20,income_band,dti_band
0,130747795,2018-03,3500.0,611.4499999999999,0.0855479247536578,0.1888440017299619,0.0,0.0,D,2018H1,1,other_state,inc_q4,dti_q3
1,130095750,2018-03,3000.0,407.40000000000003,0.04951033732317737,0.11999851469006251,0.0,0.0,C,2018H1,0,AZ,inc_q5,dti_q3
2,129751891,2018-03,1200.0,180.47999999999996,0.04105337825855648,0.10310586199790928,0.0,0.0,C,2018H1,0,CO,inc_q5,dti_q2
3,129560773,2018-03,2000.0,349.4,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H1,1,CA,inc_q4,dti_q3
4,129373275,2018-02,1200.0,209.64,0.0855479247536578,0.1888440017299619,0.0,0.0,D,2018H1,1,TX,inc_q5,dti_q1
5,129257548,2018-02,3000.0,359.40000000000003,0.04222148546226975,0.10546299826666093,0.0,0.0,B,2018H1,0,AZ,inc_q5,dti_q2
6,127180235,2018-02,2400.0,466.08000000000004,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2018H1,2,PA,inc_q5,dti_q3
7,129036264,2018-02,2000.0,380.6,0.07293381626605203,0.16519382061810706,0.0,0.0,D,2018H1,1,VA,inc_q5,dti_q3
8,128571106,2018-02,1200.0,205.07999999999998,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2018H1,2,OH,inc_q2,dti_q2
9,128697595,2018-02,3500.0,632.0999999999999,0.0855479247536578,0.1888440017299619,0.0,0.0,D,2018H1,1,CA,inc_q3,dti_q1
10,128561503,2018-02,1000.0,180.6,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H1,1,other_state,inc_q5,dti_q2
11,128253688,2018-02,3000.0,480.6,0.06518058690744921,0.1504443713101714,0.0,0.0,C,2018H1,1,other_state,inc_q5,dti_q3
12,126414619,2018-01,1500.0,358.2,0.1036832164058284,0.5881108419200473,0.0,0.0,E,2018H1,2,other_state,inc_q3,dti_q5
13,127314157,2018-01,3500.0,666.0500000000001,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2018H1,2,AZ,inc_q5,dti_q2
14,126827839,2018-01,1000.0,248.50000000000003,0.1036832164058284,0.5881108419200473,0.0,0.0,E,2018H1,2,other_state,inc_q1,dti_q5
15,126416919,2018-01,3000.0,512.7,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H1,1,NJ,inc_q5,dti_q3
16,126652025,2018-01,1000.0,140.8,0.06518058690744921,0.1504443713101714,0.0,0.0,C,2018H1,1,FL,inc_q4,dti_q2
17,126523487,2018-01,2000.0,301.0,0.06265891754449691,0.14560681191071068,0.0,0.0,C,2018H1,1,CA,inc_q5,dti_q2
18,126460804,2018-01,3025.0,455.2625,0.06518058690744921,0.1504443713101714,0.0,0.0,C,2018H1,1,GA,inc_q5,dti_q3
19,126461250,2018-01,1000.0,150.5,0.05439739413680782,0.12959865275371413,0.0,0.0,C,2018H1,0,other_state,inc_q3,dti_q1
20,135970364,2018-06,10000.0,1646.0,0.0855479247536578,0.1888440017299619,0.0,0.0,C,2018H1,1,other_state,inc_q5,dti_q2
