policy_id,final_wealth_mean,final_wealth_p05,cumulative_losses_p95,ECL_final_mean,source_exposure_weak_share_final_mean,mean_wealth_diff,prob_higher_wealth,auditability_score_proxy_v30,full_candidate_score_v30,claim_safety_gate,paired_robustness_gate_v30,decision_v30
v13_spo_regret_balanced,1131182.910089419,1091407.8465420944,91175.15813060428,0.0,0.0,-38636.26276615642,0.06640625,0.75,0.7733333333333333,True,False,review
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,1169392.180246571,1118878.4274439297,107267.83879408451,765.6610689485351,0.5861593239854525,-426.992609004325,0.4921875,0.42738095238095236,0.7502857142857143,True,False,review
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,1169392.180246571,1118878.4274439297,107267.83879408451,765.6610689485351,0.5861593239854525,-426.992609004325,0.4921875,0.42738095238095236,0.7502857142857143,True,False,review
v13_spo_regret_return_recovery,1132097.19781627,1089603.4598341566,97321.61806960564,0.0,0.0,-37721.97503930534,0.0625,0.7166666666666668,0.7327619047619048,True,False,review
v13_spo_regret_audit_guarded,1122597.216851456,1087662.1020245356,85980.80692894796,0.0,0.0,-47221.95600411954,0.03515625,0.7666666666666666,0.7255238095238096,True,False,serious_challenger
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,1147599.8190202566,1101491.5099386172,103763.41600025556,765.6610689485351,0.5861593239854525,-22219.353835318616,0.1484375,0.4523809523809524,0.7199999999999999,True,False,review
v13_fvi_return_recovery,1098229.6296841127,1077842.4350712467,52710.85497165763,0.0,0.0,-71589.54317146263,0.00390625,0.8166666666666667,0.6820952380952381,True,False,review
v13_mdcp_empirical_base,1099269.9780174235,1066127.2228596755,81933.9296027817,0.0,0.0,-70549.19483815177,0.0078125,0.7833333333333334,0.6767619047619049,True,False,review
v13_fvi_bellman_rollout,1091759.1849285318,1072753.165111611,49572.17282524605,0.0,0.0,-78059.9879270437,0.00390625,0.8333333333333333,0.6742857142857143,True,False,review
v13_mdcp_empirical_return_recovery,1126118.9454053885,1081444.9699252937,92750.16236812192,439.52912800464713,0.4951171874999999,-43700.227450186925,0.02734375,0.5285714285714286,0.6740952380952382,True,False,review
v13_fvi_capital_guarded,1090003.3752301582,1070936.3123175658,49384.56769194493,0.0,0.0,-79815.79762541724,0.00390625,0.8499999999999999,0.6550476190476191,True,False,review
paper1_economic_champion,1169819.172855575,1100721.6891324874,141472.10121746128,1080.023438932769,0.322265625,0.0,0.0,0.419047619047619,0.6527619047619048,True,False,retain_working_champion
v13_mdcp_empirical_tight,1063814.513901417,1035668.521470622,67835.59019281392,0.0,0.0,-106004.65895415844,0.0,0.8,0.588,True,False,review
v13_static_reference,1050559.1071577964,926275.7658820573,346813.56544319994,142.5641972513743,0.1361798165835991,-119260.06569777903,0.03125,0.46190476190476193,0.4767619047619048,True,False,review
v24_adp_rollout_return_value,984851.683719628,855511.667605263,440831.0271514093,0.0,0.0,,,0.5833333333333334,0.3466666666666666,True,False,review
v24_adp_rollout_reinvestment_value,976962.833816972,852733.506978647,431453.0897347183,0.0,0.0,,,0.6000000000000001,0.3312380952380953,True,False,review
v24_adp_rollout_tail_value,969934.6160131416,848707.2743326835,426308.9981657397,0.0,0.0,,,0.6166666666666667,0.3158095238095238,True,False,park
v28_adp_depth2_reinvestment_guarded,919685.3870045864,787776.2744071617,489408.72772977385,0.0,0.0,,,0.5666666666666667,0.25542857142857145,True,False,park
v28_adp_depth2_tail_source,905200.046183348,771833.456639368,497920.3192948237,0.0,0.0,,,0.55,0.2175238095238095,True,False,park
v28_adp_depth3_balanced,897937.22672464,761747.800142947,510796.2459812069,0.0,0.0,,,0.5333333333333334,0.17961904761904765,True,False,park
v24_adp_rollout_source_ecl_value,835163.1994942474,682175.256798362,586365.3504768352,0.0,0.0,,,0.5166666666666667,0.14171428571428574,True,False,park
