policy_id,max_abs_gap,mean_abs_gap,source_id,fairness_proxy_pass_25
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.2951604070254291,0.1304958652447745,dti_band,False
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.29591040702542915,0.13021586524477452,dti_band,False
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.27638392346141016,0.12315586524477454,dti_band,False
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.2859412310555801,0.1258881948568349,dti_band,False
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.27131894785226396,0.12203928157550843,dti_band,False
paper1_economic_champion,0.9966854293933437,0.9966854293933437,dti_band,False
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.4387,0.2,score_decile,False
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.4378710920752386,0.2,score_decile,False
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.4357,0.2,score_decile,False
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.4357,0.2,score_decile,False
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.44349145917316524,0.2,score_decile,False
paper1_economic_champion,1.0,1.0,score_decile,False
