policy_id,regime_v75,omitted_rows_priced_v75,improving_columns_v75,min_reduced_cost_v75,best_return_improvement_signal_v75,median_reduced_cost_v75,negative_reduced_cost_detected_v75,post_iteration_reprice_performed_v75,column_generation_termination_claim_allowed_v75,exact_full_universe_cvar_claim_allowed_v75,claim_boundary_v75_x,solver_success_v75,solver_message_v75,objective_return_v75,v74_objective_return_baseline_v75,delta_return_vs_v74_v75,incumbent_exposure_v75,incumbent_cvar90_v75,cvar_cap_v75,v74_master_rows_repriced_v75,claim_boundary_v75_y
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,257667,0,0.052208077,-0.052208077,5572.1694,False,True,False,False,post-v74 re-pricing screen; termination requires no improving columns and no scope blockers,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),-33844.60597697524,-33844.60597697525,7.275957614183426e-12,845850.0,176777.2176388813,185616.07852082537,19202,post-v74 restricted-master LP rerun for marginals; not convergence proof
v63_source_repair_return_guarded_repair,incumbent_cvar_relaxed_source_lp,261851,3897,-204.35966,204.35966,5481.5264,True,True,False,False,post-v74 re-pricing screen; termination requires no improving columns and no scope blockers,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),-4027.1692182961715,-4027.169218296176,4.547473508864641e-12,846525.0,108889.78655858779,108900.67553724365,15018,post-v74 restricted-master LP rerun for marginals; not convergence proof
v63_source_repair_return_guarded_repair,target_source_cap_probe_lp,257954,0,0.05020394,-0.05020394,5499.681,False,True,False,False,post-v74 re-pricing screen; termination requires no improving columns and no scope blockers,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),-4093.3429671440053,-4093.342967144016,1.0459189070388675e-11,846525.0,108889.78655858779,114334.27588651718,18915,post-v74 restricted-master LP rerun for marginals; not convergence proof
v63_source_repair_strict_source_probe,target_source_cap_probe_lp,258061,0,0.005356063,-0.005356063,5538.6777,False,True,False,False,post-v74 re-pricing screen; termination requires no improving columns and no scope blockers,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),-50170.121670454384,-50170.12167045439,7.275957614183426e-12,846475.0,217144.07251164672,228001.27613722906,18808,post-v74 restricted-master LP rerun for marginals; not convergence proof
v63_source_repair_tail_balanced_repair,target_source_cap_probe_lp,257537,0,0.052208077,-0.052208077,5501.9536,False,True,False,False,post-v74 re-pricing screen; termination requires no improving columns and no scope blockers,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),-15226.328383646978,-15226.32838364697,-7.275957614183426e-12,846325.0,139579.56410577038,146558.5423110589,19332,post-v74 restricted-master LP rerun for marginals; not convergence proof
