source_family,source_id,cap_share_v320,source_exposure_v320,source_share_v320,source_slack_v320,source_cap_violated_v320,claim_boundary_v320
grade,A,0.8531348749298603,722175.0,0.8531305375073833,4.337422476963226e-06,False,v320 matched-period bounded MILP source diagnostic only
grade,B,0.8531348749298603,20725.0,0.024483165977554636,0.8286517089523057,False,v320 matched-period bounded MILP source diagnostic only
grade,C,0.8531348749298603,39600.0,0.046780862374483166,0.8063540125553771,False,v320 matched-period bounded MILP source diagnostic only
grade,D,0.8531348749298603,49450.0,0.05841701122268163,0.7947178637071787,False,v320 matched-period bounded MILP source diagnostic only
grade,E,0.8531348749298603,13550.0,0.01600708800945068,0.8371277869204096,False,v320 matched-period bounded MILP source diagnostic only
grade,F,0.8531348749298603,1000.0,0.0011813349084465446,0.8519535400214138,False,v320 matched-period bounded MILP source diagnostic only
grade,G,0.8531348749298603,0.0,0.0,0.8531348749298603,False,v320 matched-period bounded MILP source diagnostic only
score_decile,0,0.9,761625.0,0.8997341996455995,0.00026580035440049166,False,v320 matched-period bounded MILP source diagnostic only
score_decile,1,0.9,62000.0,0.07324276432368576,0.8267572356763142,False,v320 matched-period bounded MILP source diagnostic only
score_decile,2,0.9,22875.0,0.02702303603071471,0.8729769639692853,False,v320 matched-period bounded MILP source diagnostic only
score_decile,3,0.9,0.0,0.0,0.9,False,v320 matched-period bounded MILP source diagnostic only
score_decile,4,0.9,0.0,0.0,0.9,False,v320 matched-period bounded MILP source diagnostic only
score_decile,5,0.9,0.0,0.0,0.9,False,v320 matched-period bounded MILP source diagnostic only
score_decile,6,0.9,0.0,0.0,0.9,False,v320 matched-period bounded MILP source diagnostic only
score_decile,7,0.9,0.0,0.0,0.9,False,v320 matched-period bounded MILP source diagnostic only
score_decile,8,0.9,0.0,0.0,0.9,False,v320 matched-period bounded MILP source diagnostic only
score_decile,9,0.9,0.0,0.0,0.9,False,v320 matched-period bounded MILP source diagnostic only
income_band,0,0.85,5500.0,0.006497341996455995,0.843502658003544,False,v320 matched-period bounded MILP source diagnostic only
income_band,1,0.85,23425.0,0.027672770230360307,0.8223272297696397,False,v320 matched-period bounded MILP source diagnostic only
income_band,2,0.85,51150.0,0.06042528056704076,0.7895747194329592,False,v320 matched-period bounded MILP source diagnostic only
income_band,3,0.85,97300.0,0.11494388659184879,0.7350561134081512,False,v320 matched-period bounded MILP source diagnostic only
income_band,4,0.85,669125.0,0.7904607206142942,0.0595392793857058,False,v320 matched-period bounded MILP source diagnostic only
dti_band,0,0.85,618425.0,0.7305670407560544,0.11943295924394559,False,v320 matched-period bounded MILP source diagnostic only
dti_band,1,0.85,168050.0,0.1985233313644418,0.6514766686355582,False,v320 matched-period bounded MILP source diagnostic only
dti_band,2,0.85,39600.0,0.046780862374483166,0.8032191376255168,False,v320 matched-period bounded MILP source diagnostic only
dti_band,3,0.85,17425.0,0.02058476077968104,0.8294152392203189,False,v320 matched-period bounded MILP source diagnostic only
dti_band,4,0.85,3000.0,0.0035440047253396337,0.8464559952746603,False,v320 matched-period bounded MILP source diagnostic only
period,2018,0.82,514725.0,0.6080626107501477,0.21193738924985228,False,v320 matched-period bounded MILP source diagnostic only
period,2019,0.82,292850.0,0.3459539279385706,0.47404607206142935,False,v320 matched-period bounded MILP source diagnostic only
period,2020,0.82,38925.0,0.04598346131128175,0.7740165386887182,False,v320 matched-period bounded MILP source diagnostic only
state_top20,AZ,0.35,12000.0,0.014176018901358535,0.3358239810986414,False,v320 matched-period bounded MILP source diagnostic only
state_top20,CA,0.35,116800.0,0.1379799173065564,0.21202008269344358,False,v320 matched-period bounded MILP source diagnostic only
state_top20,CO,0.35,12700.0,0.015002953337271117,0.33499704666272884,False,v320 matched-period bounded MILP source diagnostic only
state_top20,FL,0.35,51075.0,0.06033668044890726,0.2896633195510927,False,v320 matched-period bounded MILP source diagnostic only
state_top20,GA,0.35,32400.0,0.038275251033668044,0.31172474896633195,False,v320 matched-period bounded MILP source diagnostic only
state_top20,IL,0.35,89325.0,0.1055227406969876,0.2444772593030124,False,v320 matched-period bounded MILP source diagnostic only
state_top20,IN,0.35,8050.0,0.009509746012994685,0.3404902539870053,False,v320 matched-period bounded MILP source diagnostic only
state_top20,MA,0.35,29200.0,0.0344949793266391,0.3155050206733609,False,v320 matched-period bounded MILP source diagnostic only
state_top20,MD,0.35,8475.0,0.010011813349084466,0.3399881866509155,False,v320 matched-period bounded MILP source diagnostic only
state_top20,MI,0.35,2400.0,0.002835203780271707,0.3471647962197283,False,v320 matched-period bounded MILP source diagnostic only
state_top20,MN,0.35,9100.0,0.010750147666863556,0.3392498523331364,False,v320 matched-period bounded MILP source diagnostic only
state_top20,NC,0.35,23350.0,0.027584170112226816,0.3224158298877732,False,v320 matched-period bounded MILP source diagnostic only
state_top20,NJ,0.35,13000.0,0.01535735380980508,0.3346426461901949,False,v320 matched-period bounded MILP source diagnostic only
state_top20,NV,0.35,9700.0,0.011458948611931483,0.3385410513880685,False,v320 matched-period bounded MILP source diagnostic only
state_top20,NY,0.35,88375.0,0.10440047253396338,0.24559952746603658,False,v320 matched-period bounded MILP source diagnostic only
state_top20,OH,0.35,23000.0,0.027170702894270527,0.32282929710572944,False,v320 matched-period bounded MILP source diagnostic only
state_top20,PA,0.35,24850.0,0.029356172474896632,0.32064382752510334,False,v320 matched-period bounded MILP source diagnostic only
state_top20,TX,0.35,32450.0,0.038334317779090375,0.3116656822209096,False,v320 matched-period bounded MILP source diagnostic only
state_top20,VA,0.35,14950.0,0.017660956881275842,0.33233904311872414,False,v320 matched-period bounded MILP source diagnostic only
state_top20,WA,0.35,57475.0,0.06789722386296515,0.2821027761370348,False,v320 matched-period bounded MILP source diagnostic only
state_top20,other,0.35,187825.0,0.22188422917897224,0.12811577082102774,False,v320 matched-period bounded MILP source diagnostic only
