policy_id,scenario,pd_multiplier,lgd,portfolio_loss,cvar_excess_u,column_round_v12,pool_n_v12
v12_cvar_mdcp_colgen_relaxed_k24000_floor80000_cap250000,baseline_mid,1.0,0.45,85500.00000008548,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor80000_cap250000,baseline_high,1.12,0.48,102144.00000010217,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor80000_cap250000,adverse_mid,1.4,0.55,145442.50064917823,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor80000_cap250000,adverse_high,1.65,0.58,171071.7665181461,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor80000_cap250000,severe_mid,1.9,0.65,210135.1333470003,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor80000_cap250000,severe_high,2.2,0.7,249999.99999999968,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor105000_cap300000,baseline_mid,1.0,0.45,85500.00000008549,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor105000_cap300000,baseline_high,1.12,0.48,102144.00000010217,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor105000_cap300000,adverse_mid,1.4,0.55,146239.9979922609,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor105000_cap300000,adverse_high,1.65,0.58,178109.26810749646,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor105000_cap300000,severe_mid,1.9,0.65,224701.01613107967,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor105000_cap300000,severe_high,2.2,0.7,274317.69399192114,38523.459012117855,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor125000_cap360000,baseline_mid,1.0,0.45,85500.00000008549,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor125000_cap360000,baseline_high,1.12,0.48,102144.00000010217,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor125000_cap360000,adverse_mid,1.4,0.55,146239.9979922609,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor125000_cap360000,adverse_high,1.65,0.58,178109.26810749646,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor125000_cap360000,severe_mid,1.9,0.65,224701.01613107967,0.0,3,24000
v12_cvar_mdcp_colgen_relaxed_k24000_floor125000_cap360000,severe_high,2.2,0.7,274317.69399192114,49616.677860841766,3,24000
