period,n_loans,default_rate,coverage_90,coverage_95,avg_width_90,min_grade_coverage_90
2018H1,110839,0.2446160647425545,0.9241332022122177,0.9567390539431067,0.7736045566964981,0.9122800421115957
2018H2,86339,0.2329654038151936,0.9252481497353455,0.9619638865402657,0.7630066387419394,0.8856735276136132
2019H1,50245,0.20766245397551994,0.9289680565230372,0.9653696885262215,0.7552477330234719,0.8125
2019H2,25160,0.12444356120826709,0.9562798092209857,0.9763513513513513,0.7547660886391421,0.9410148908486338
2020,4286,0.013532431171255249,0.9925338310779281,0.9969668688754083,0.7024978930191653,0.9886892880904857
