policy_id,mean_regret_net_ecl,total_regret_net_ecl,mean_coverage_online_90,auditability_score_v2
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,305.7359735799845,10089.287128139487,0.9600604240096994,0.68441608480194
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,383.1520408931992,12644.017349475575,0.9506581403079186,0.675751063574869
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,418.72551848240147,13817.942109919248,0.94684427325392,0.6685614045098511
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,424.68937799266615,14014.749473757984,0.9592366999164378,0.6758613399832876
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,450.8982595326024,14879.64256457588,0.9654289207997647,0.683623784159953
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,481.97608011153176,15905.210643680548,0.9576587727045393,0.7021027545409079
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,512.9427505921722,16927.11076954168,0.9609664449881842,0.6791902889976368
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,530.3231641100109,17500.66441563036,0.9640066406475075,0.6725003281295014
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,531.3525323371874,17534.633567127185,0.9616180116180116,0.6728676023236023
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,541.6253744849656,17873.637358003867,0.960508836870393,0.6887717673740786
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,545.5421104724912,18002.88964559221,0.956655789744025,0.6809721579488051
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,553.9676158061479,18280.931321602882,0.9604701584964743,0.6978460316992948
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,602.4639153572272,19881.309206788497,0.9581308042625178,0.6688451608525036
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,614.5419918560162,20279.885731248534,0.9542295464951716,0.7052126999263363
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,635.7834193401834,20980.852838226052,0.9584576119713297,0.6677085223942659
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,635.8953364349929,20984.54610235477,0.9489956489588842,0.6745476410102078
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,651.2701156513019,21491.913816492965,0.9625520590993737,0.6658564118198748
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,665.013699972749,21945.452099100716,0.9477366036741037,0.6700654625307353
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,672.8257285733151,22203.2490429194,0.9559346272145621,0.6638929254429123
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,686.8187930399819,21978.20137727942,0.9590772514577767,0.6472304502915553
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,704.8506979986057,22555.222335955383,0.9592326341421736,0.6599425268284347
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,719.8527718190036,23755.14147002712,0.9591595863525688,0.6712939172705138
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,724.7222727665898,23915.835001297462,0.9610616014324148,0.6675783202864829
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,731.8447747300106,24150.877566090352,0.9553868518722469,0.6625353703744494
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,745.673111340765,24607.212674245246,0.9596272463919523,0.6601394492783905
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,752.8807623739648,24845.065158340836,0.9568220646929088,0.6641384129385819
