stage_v259,pair_rows_v259,claim_boundary_v259
all_pairs,47315358,post-v258 bounded two-swap one-swap screen stage count only
return_improving,1660068,post-v258 bounded two-swap one-swap screen stage count only
budget_return_feasible,1008750,post-v258 bounded two-swap one-swap screen stage count only
source_prefilter_feasible,12790,post-v258 bounded two-swap one-swap screen stage count only
source_exact_feasible,604,post-v258 bounded two-swap one-swap screen stage count only
cvar_feasible_improving,604,post-v258 bounded two-swap one-swap screen stage count only
