action_v334,loan_id,loan_amnt,grade,score_decile,income_band,dti_band,period,state_top20,mean_return_v334,observed_v47_proxy_v334,claim_boundary_v334
add_observed_candidate,151566947,2500.0,A,0,3,3,2019,other,51.85008676533891,True,v334 relaxed proxy-gap repair action list; post-repair repricing still required
add_observed_candidate,136360475,1000.0,A,0,2,2,2018,NC,14.024583409971672,True,v334 relaxed proxy-gap repair action list; post-repair repricing still required
add_observed_candidate,159706782,1000.0,B,1,3,2,2019,other,-155.33436225993984,True,v334 relaxed proxy-gap repair action list; post-repair repricing still required
drop_v330_selected,148128009,2500.0,A,0,4,0,2019,CA,54.46218936898403,False,v334 relaxed proxy-gap repair action list; post-repair repricing still required
drop_v330_selected,127648167,1000.0,A,0,4,0,2018,NC,15.897397129938305,False,v334 relaxed proxy-gap repair action list; post-repair repricing still required
drop_v330_selected,161455148,1000.0,D,3,4,0,2019,NJ,-153.1140109342037,True,v334 relaxed proxy-gap repair action list; post-repair repricing still required
