policy_id,scenario,stage2_share_v51,ecl_proxy_total_v51,sicr_rule_v51,stage2_target_distance_v51,contractual_ifrs9_claim_allowed,claim_boundary_v51,sicr_score_v51
paper1_economic_champion,baseline,0.8427860696517413,9003598.336975545,abs_0.180_or_within_policy_topq_0.50,0.4927860696517413,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.2443787273606738
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,baseline,0.7142857142857143,6305526.59432477,abs_0.180_or_within_policy_topq_0.50,0.3642857142857143,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.44412408860303276
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,baseline,0.7142857142857143,6305526.59432477,abs_0.180_or_within_policy_topq_0.50,0.3642857142857143,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.44412408860303276
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,baseline,0.6218905472636815,6329163.399298771,abs_0.180_or_within_policy_topq_0.50,0.27189054726368156,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.5877463063104813
v13_fvi_bellman_rollout,baseline,0.5043675751222921,2976010.589884301,abs_0.180_or_within_policy_topq_0.50,0.15436757512229216,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.770428046433231
v13_fvi_capital_guarded,baseline,0.501676245210728,2979446.206105185,abs_0.180_or_within_policy_topq_0.50,0.15167624521072798,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.7746115419875934
v13_fvi_return_recovery,baseline,0.509752355906202,3083234.0755405906,abs_0.180_or_within_policy_topq_0.50,0.15975235590620207,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.7620577584302971
v13_mdcp_empirical_base,baseline,0.50187265917603,5694960.032434116,abs_0.180_or_within_policy_topq_0.50,0.15187265917603,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.7743062293809431
v13_mdcp_empirical_return_recovery,baseline,0.50322335987865,5868724.17713465,abs_0.180_or_within_policy_topq_0.50,0.15322335987865,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.7722066538661
v13_mdcp_empirical_tight,baseline,0.5,4821590.434810493,abs_0.180_or_within_policy_topq_0.50,0.15000000000000002,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.7772171550553075
v13_spo_regret_audit_guarded,baseline,0.6161616161616161,5289715.38494485,abs_0.180_or_within_policy_topq_0.50,0.26616161616161615,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.5966515533757917
v13_spo_regret_balanced,baseline,0.6848484848484848,5350915.553779272,abs_0.180_or_within_policy_topq_0.50,0.33484848484848484,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.48988232803486054
v13_spo_regret_return_recovery,baseline,0.7257383966244726,5662760.495122231,abs_0.180_or_within_policy_topq_0.50,0.3757383966244726,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.42632164623286906
v13_static_reference,baseline,1.0,31338183.517026216,abs_0.180_or_within_policy_topq_0.50,0.65,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.0
paper1_economic_champion,baseline,0.8427860696517413,9003598.336975545,abs_0.180_or_within_policy_topq_0.60,0.4927860696517413,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.2443787273606738
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,baseline,0.7142857142857143,6305526.59432477,abs_0.180_or_within_policy_topq_0.60,0.3642857142857143,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.44412408860303276
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,baseline,0.7142857142857143,6305526.59432477,abs_0.180_or_within_policy_topq_0.60,0.3642857142857143,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.44412408860303276
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,baseline,0.6218905472636815,6329163.399298771,abs_0.180_or_within_policy_topq_0.60,0.27189054726368156,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.5877463063104813
v13_fvi_bellman_rollout,baseline,0.4162635058861474,2976010.589884301,abs_0.180_or_within_policy_topq_0.60,0.06626350588614743,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.9073800345142555
v13_fvi_capital_guarded,baseline,0.41303480204342274,2979446.206105185,abs_0.180_or_within_policy_topq_0.60,0.06303480204342277,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.9123988425445727
v13_fvi_return_recovery,baseline,0.4045310103002411,3083234.0755405906,abs_0.180_or_within_policy_topq_0.60,0.0545310103002411,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.9256174281962097
v13_mdcp_empirical_base,baseline,0.4469413233458177,5694960.032434116,abs_0.180_or_within_policy_topq_0.60,0.09694132334581773,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.8596933824956335
v13_mdcp_empirical_return_recovery,baseline,0.4960182025028441,5868724.17713465,abs_0.180_or_within_policy_topq_0.60,0.14601820250284414,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.7834065977007991
v13_mdcp_empirical_tight,baseline,0.413265306122449,4821590.434810493,abs_0.180_or_within_policy_topq_0.60,0.06326530612244902,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.9120405390955139
v13_spo_regret_audit_guarded,baseline,0.6161616161616161,5289715.38494485,abs_0.180_or_within_policy_topq_0.60,0.26616161616161615,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.5966515533757917
v13_spo_regret_balanced,baseline,0.6848484848484848,5350915.553779272,abs_0.180_or_within_policy_topq_0.60,0.33484848484848484,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.48988232803486054
v13_spo_regret_return_recovery,baseline,0.7257383966244726,5662760.495122231,abs_0.180_or_within_policy_topq_0.60,0.3757383966244726,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.42632164623286906
v13_static_reference,baseline,1.0,31338183.517026216,abs_0.180_or_within_policy_topq_0.60,0.65,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.0
paper1_economic_champion,baseline,0.8427860696517413,9003598.336975545,abs_0.180_or_within_policy_topq_0.70,0.4927860696517413,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.2443787273606738
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,baseline,0.7142857142857143,6305526.59432477,abs_0.180_or_within_policy_topq_0.70,0.3642857142857143,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.44412408860303276
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,baseline,0.7142857142857143,6305526.59432477,abs_0.180_or_within_policy_topq_0.70,0.3642857142857143,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.44412408860303276
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,baseline,0.6218905472636815,6329163.399298771,abs_0.180_or_within_policy_topq_0.70,0.27189054726368156,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.5877463063104813
v13_fvi_bellman_rollout,baseline,0.30136268343815514,2976010.589884301,abs_0.180_or_within_policy_topq_0.70,0.048637316561844834,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.934778787956457
v13_fvi_capital_guarded,baseline,0.30362654320987653,2979446.206105185,abs_0.180_or_within_policy_topq_0.70,0.046373456790123446,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.9382978092588998
v13_fvi_return_recovery,baseline,0.30703484549638393,3083234.0755405906,abs_0.180_or_within_policy_topq_0.70,0.04296515450361604,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.9435957912722754
v13_mdcp_empirical_base,baseline,0.4469413233458177,5694960.032434116,abs_0.180_or_within_policy_topq_0.70,0.09694132334581773,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.8596933824956335
v13_mdcp_empirical_return_recovery,baseline,0.4960182025028441,5868724.17713465,abs_0.180_or_within_policy_topq_0.70,0.14601820250284414,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.7834065977007991
v13_mdcp_empirical_tight,baseline,0.413265306122449,4821590.434810493,abs_0.180_or_within_policy_topq_0.70,0.06326530612244902,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.9120405390955139
v13_spo_regret_audit_guarded,baseline,0.6161616161616161,5289715.38494485,abs_0.180_or_within_policy_topq_0.70,0.26616161616161615,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.5966515533757917
v13_spo_regret_balanced,baseline,0.6848484848484848,5350915.553779272,abs_0.180_or_within_policy_topq_0.70,0.33484848484848484,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.48988232803486054
v13_spo_regret_return_recovery,baseline,0.7257383966244726,5662760.495122231,abs_0.180_or_within_policy_topq_0.70,0.3757383966244726,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.42632164623286906
v13_static_reference,baseline,1.0,31338183.517026216,abs_0.180_or_within_policy_topq_0.70,0.65,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.0
paper1_economic_champion,baseline,0.8427860696517413,9003598.336975545,abs_0.180_or_within_policy_topq_0.80,0.4927860696517413,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.2443787273606738
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,baseline,0.7142857142857143,6305526.59432477,abs_0.180_or_within_policy_topq_0.80,0.3642857142857143,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.44412408860303276
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,baseline,0.7142857142857143,6305526.59432477,abs_0.180_or_within_policy_topq_0.80,0.3642857142857143,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.44412408860303276
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,baseline,0.6218905472636815,6329163.399298771,abs_0.180_or_within_policy_topq_0.80,0.27189054726368156,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.5877463063104813
v13_fvi_bellman_rollout,baseline,0.20008869537171423,2976010.589884301,abs_0.180_or_within_policy_topq_0.80,0.14991130462828575,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.7773550261842481
v13_fvi_capital_guarded,baseline,0.20278575989782888,2979446.206105185,abs_0.180_or_within_policy_topq_0.80,0.1472142401021711,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.781547435820223
v13_fvi_return_recovery,baseline,0.21400394477317555,3083234.0755405906,abs_0.180_or_within_policy_topq_0.80,0.13599605522682442,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.7989853672876259
v13_mdcp_empirical_base,baseline,0.4469413233458177,5694960.032434116,abs_0.180_or_within_policy_topq_0.80,0.09694132334581773,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.8596933824956335
v13_mdcp_empirical_return_recovery,baseline,0.4960182025028441,5868724.17713465,abs_0.180_or_within_policy_topq_0.80,0.14601820250284414,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.7834065977007991
v13_mdcp_empirical_tight,baseline,0.413265306122449,4821590.434810493,abs_0.180_or_within_policy_topq_0.80,0.06326530612244902,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.9120405390955139
v13_spo_regret_audit_guarded,baseline,0.6161616161616161,5289715.38494485,abs_0.180_or_within_policy_topq_0.80,0.26616161616161615,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.5966515533757917
v13_spo_regret_balanced,baseline,0.6848484848484848,5350915.553779272,abs_0.180_or_within_policy_topq_0.80,0.33484848484848484,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.48988232803486054
v13_spo_regret_return_recovery,baseline,0.7257383966244726,5662760.495122231,abs_0.180_or_within_policy_topq_0.80,0.3757383966244726,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.42632164623286906
v13_static_reference,baseline,1.0,31338183.517026216,abs_0.180_or_within_policy_topq_0.80,0.65,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.0
paper1_economic_champion,baseline,0.6955223880597015,9003598.336975545,abs_0.210_or_within_policy_topq_0.50,0.3455223880597015,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.47329044666054554
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,baseline,0.5752380952380952,6305526.59432477,abs_0.210_or_within_policy_topq_0.50,0.22523809523809524,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.6602644783898421
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,baseline,0.5752380952380952,6305526.59432477,abs_0.210_or_within_policy_topq_0.50,0.22523809523809524,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.6602644783898421
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,baseline,0.5084577114427861,6329163.399298771,abs_0.210_or_within_policy_topq_0.50,0.1584577114427861,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.7640701982036258
v13_fvi_bellman_rollout,baseline,0.5043675751222921,2976010.589884301,abs_0.210_or_within_policy_topq_0.50,0.15436757512229216,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.770428046433231
v13_fvi_capital_guarded,baseline,0.501676245210728,2979446.206105185,abs_0.210_or_within_policy_topq_0.50,0.15167624521072798,False,targeted SICR proxy calibration; not contractual IFRS9 staging,0.7746115419875934
