variable,source,row_count,non_null_count,missing_count,missing_rate,distinct_sample_n,top_values_sample
collection_recovery_fee,raw_csv,2925493,2925492,1,3.4182272868196917e-07,50,
debt_settlement_flag,raw_csv,2925493,2925492,1,3.4182272868196917e-07,2,N:298; Y:2
funded_amnt,raw_csv,2925493,2925492,1,3.4182272868196917e-07,50,
hardship_amount,raw_csv,2925493,182076,2743417,0.9377622848525018,50,
hardship_dpd,raw_csv,2925493,143637,2781856,0.950901608720308,47,
hardship_end_date,raw_csv,2925493,143638,2781855,0.9509012668975794,48,Jun-2020:133; Jul-2020:39; May-2020:22; Dec-2017:14; Nov-2017:13
hardship_flag,raw_csv,2925493,2887057,38436,0.013138298399620166,2,N:285; Y:15
hardship_last_payment_amount,raw_csv,2925493,182076,2743417,0.9377622848525018,50,
hardship_loan_status,raw_csv,2925493,143411,2782082,0.9509788606569901,14,ACTIVE:170; Late (16-30 days):35; GRACE_CURRENT:29; In Grace Period:22; Current:18
hardship_payoff_balance_amount,raw_csv,2925493,182076,2743417,0.9377622848525018,50,
hardship_reason,raw_csv,2925493,143632,2781861,0.9509033178339514,17,INCOMECURT:140; UNEMPLOYED:28; EXCESSIVE_OBLIGATIONS:23; UNEMPLOYMENT:22; INCOME_CURTAILMENT:21
hardship_start_date,raw_csv,2925493,143638,2781855,0.9509012668975794,46,Apr-2020:167; May-2020:34; Sep-2017:21; Oct-2017:12; Dec-2017:7
hardship_status,raw_csv,2925493,143635,2781858,0.9509022923657654,4,ACTIVE:184; COMPLETED:64; COMPLETE:34; BROKEN:18
hardship_type,raw_csv,2925493,143638,2781855,0.9509012668975794,10,CVD19SKIP:202; INTEREST ONLY-3 MONTHS DEFERRAL:81; ST0650PV01:17
issue_d,raw_csv,2925493,2925492,1,3.4182272868196917e-07,50,Dec-2011:20; Sep-2012:20; Nov-2017:20; Jun-2018:20; Jul-2018:20
last_credit_pull_d,raw_csv,2925493,2925417,76,2.5978527379829658e-05,50,May-2020:157; Nov-2019:9; Jan-2020:9; Oct-2016:8; Jul-2018:8
last_pymnt_amnt,raw_csv,2925493,2925492,1,3.4182272868196917e-07,50,
last_pymnt_d,raw_csv,2925493,2920571,4922,0.0016824514705726522,50,May-2020:102; Apr-2018:9; Sep-2015:8; Jan-2015:7; Nov-2018:7
loan_status,raw_csv,2925493,2925492,1,3.4182272868196917e-07,10,Fully Paid:144; Current:106; Charged Off:47; Late (31-120 days):1; In Grace Period:1
next_pymnt_d,raw_csv,2925493,1065161,1860332,0.635903760494385,50,Jun-2020:245; Jul-2020:21; Aug-2020:10; Feb-2014:4; Feb-2016:3
orig_projected_additional_accrued_interest,raw_csv,2925493,179240,2746253,0.9387316941110438,50,
out_prncp,raw_csv,2925493,2925492,1,3.4182272868196917e-07,50,
payment_plan_start_date,raw_csv,2925493,143638,2781855,0.9509012668975794,46,Apr-2020:131; May-2020:41; Mar-2020:23; Oct-2017:19; Sep-2017:13
recoveries,raw_csv,2925493,2925492,1,3.4182272868196917e-07,50,
total_pymnt,raw_csv,2925493,2925492,1,3.4182272868196917e-07,50,
total_rec_int,raw_csv,2925493,2925492,1,3.4182272868196917e-07,50,
total_rec_prncp,raw_csv,2925493,2925492,1,3.4182272868196917e-07,50,
