policy_id,source_id,max_abs_gap,mean_abs_gap,n_source_values,proxy_governance_pass_30,claim_scope
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,original_grade,0.2585109904386721,0.11796383940455898,7,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,term,0.2505795796823004,0.2505795796823004,2,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,home_ownership,0.3365323226762795,0.16826616133813976,4,False,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,state_top20,0.039290241955581895,0.014233459294672148,21,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,income_band,0.27058751293083394,0.13647001034466716,5,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,dti_band,0.16522526155393513,0.07110761449511162,6,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,zip3,0.012839731170379367,0.0012225639916011836,885,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,original_grade,0.2585023144018857,0.12039065083709662,7,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,term,0.2505448755351548,0.25054487553515475,2,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,home_ownership,0.3360551406530278,0.1680275703265139,4,False,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,state_top20,0.040027705082425535,0.0143995434274403,21,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,income_band,0.2690258263092826,0.13734455485273583,5,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,dti_band,0.16335123760807363,0.07153602664530374,6,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,zip3,0.012891787391097743,0.0012191948856796048,885,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,original_grade,0.2585281903010732,0.12234243294723922,7,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,term,0.2506483791319048,0.25064837913190474,2,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,home_ownership,0.3316303618919658,0.1658151809459829,4,False,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,state_top20,0.039183656408199805,0.013921623175362972,21,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,income_band,0.2678355349466578,0.13590585485791104,5,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,dti_band,0.16016850200801153,0.07071662317103303,6,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,zip3,0.012736531995972761,0.0012151011053292728,885,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,original_grade,0.25851961558961223,0.11471338966454567,7,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,term,0.25061408028606097,0.2506140802860609,2,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,home_ownership,0.3428718086172835,0.17143590430864175,4,False,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,state_top20,0.03907218515920733,0.014347639864260683,21,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,income_band,0.27214004010005943,0.13677361565776014,5,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,dti_band,0.17881849943559808,0.07620158026889334,6,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,zip3,0.01278798026473852,0.0012252562604947628,885,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,original_grade,0.2585367150142166,0.11826518443236601,7,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,term,0.2506824779844784,0.2506824779844784,2,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,home_ownership,0.3350317224361835,0.16751586121809176,4,False,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,state_top20,0.04048976778200154,0.014296341590447601,21,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,income_band,0.2693870327387571,0.13620933464581617,5,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,dti_band,0.17661267366163536,0.07498182131378218,6,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,zip3,0.012685383717112347,0.0012208908499905234,885,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,original_grade,0.2585367150142166,0.12076414319954634,7,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,term,0.2506824779844784,0.2506824779844784,2,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,home_ownership,0.3321162705411398,0.1660581352705699,4,False,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,state_top20,0.04048976778200154,0.01346335533472082,21,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,income_band,0.2693870327387571,0.13737551540383366,5,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,dti_band,0.17952812555667913,0.0759536386121301,6,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,zip3,0.01286740662851711,0.001220758635057337,885,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,original_grade,0.2585023144018857,0.11364813082024029,7,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,term,0.2505448755351548,0.25054487553515475,2,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,home_ownership,0.34490469817515157,0.17245234908757578,4,False,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,state_top20,0.040027705082425535,0.014399543427440296,21,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,income_band,0.2719756788166573,0.13852449585568571,5,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,dti_band,0.18695005766707068,0.07841901582917789,6,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,zip3,0.012891787391097743,0.00122139417928364,885,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,original_grade,0.2585281903010732,0.11649447973086492,7,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,term,0.2506483791319048,0.25064837913190474,2,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,home_ownership,0.34332626832471436,0.17166313416235718,4,False,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,state_top20,0.0406773114711564,0.014182678748535562,21,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,income_band,0.2766074647712192,0.1394146267877356,5,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,dti_band,0.1864842914816957,0.077539235256803,6,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,zip3,0.012736531995972761,0.0012192684352705773,885,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,original_grade,0.25854519016507427,0.11919502955503777,7,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,term,0.25071637858790913,0.2507163785879091,2,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,home_ownership,0.33841330762839994,0.16920665381419997,4,False,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,state_top20,0.04030331446313247,0.014132488673865684,21,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,income_band,0.2709295101948558,0.1388366314116986,5,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,dti_band,0.18714728617773818,0.07825322954484869,6,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,zip3,0.012799605421655627,0.001206495455909984,885,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,original_grade,0.2585023144018857,0.12039065083709662,7,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,term,0.2475950230277802,0.24759502302778016,2,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,home_ownership,0.33900499316040233,0.16950249658020117,4,False,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,state_top20,0.040027705082425535,0.01420502588074984,21,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,income_band,0.27492553132403186,0.13734455485273583,5,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,dti_band,0.15745153259332434,0.0699392415412103,6,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,zip3,0.015683721482671734,0.0012141188278212668,885,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,original_grade,0.2584935870276035,0.12536774771344467,7,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,term,0.2505099660380261,0.2505099660380261,2,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,home_ownership,0.3326165551858514,0.1663082775929257,4,False,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,state_top20,0.03848000360583234,0.013549226041832238,21,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,income_band,0.27928921846511867,0.13822427418037897,5,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,dti_band,0.16146612476312416,0.07115493130164885,6,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,zip3,0.012944151636790784,0.0012147621810503107,885,True,proxy_governance_not_protected_attribute_fairness
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,original_grade,0.2584935870276035,0.12790367332629335,7,True,proxy_governance_not_protected_attribute_fairness
