policy_id,risk_tolerance,gamma,uncertainty_aversion,shortlist_bucket,n_funded,robust_return,ecl,provision,net_return_after_ecl,robust_return_rank,net_return_rank,ranking_delta,stage2_share,is_paper1_champion,status
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.45,0.05,incumbent_region,338,165829.33653326883,69156.16079646343,69156.16079646343,96673.1757368054,26,24,-2,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.16,0.45,0.0,forced_incumbent_neighbors,339,165590.76458837948,69360.76482248846,69360.76482248846,96229.99976589101,27,28,1,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.55,0.05,incumbent_region,343,165547.8905382124,70179.18092658863,70179.18092658863,95368.70961162378,28,31,3,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.5,0.05,incumbent_region,338,165517.85855195278,69156.16079646343,69156.16079646343,96361.69775548935,29,27,-2,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.55,0.1,incumbent_region,344,165504.23210778716,70383.78495261366,70383.78495261366,95120.4471551735,30,32,2,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.165,0.5,0.0,forced_incumbent_neighbors,341,165401.62753483138,69769.97287453854,69769.97287453854,95631.65466029284,31,30,-1,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p175_g0p55_u0p00_alpha0p01_conservative_proxy_rs42,0.175,0.55,0.0,conservative_proxy,336,165375.90860423315,68746.95274441334,68746.95274441334,96628.9558598198,32,25,-7,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.5,0.1,incumbent_region,343,164689.02196237698,70179.18092658863,70179.18092658863,94509.84103578835,33,36,3,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.55,0.05,incumbent_region,343,164273.35080211036,70179.18092658863,70179.18092658863,94094.16987552174,34,38,4,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.45,0.05,incumbent_region,339,164022.0917987445,69360.76482248846,69360.76482248846,94661.32697625605,35,35,0,0.31719332969743813,False,diagnostic_scaled_proxy
