policy_id,source_family,n_cells,n_high_support_cells,support_pass_rate,total_loans,total_exposure,avg_pd_weighted_proxy,avg_width_proxy,recommended_source_cap_v39,cap_rule_v39,small_cell_pooling_rule_v39,fair_lending_legal_claim_allowed,claim_boundary_v39
paper1_economic_champion,dti_band,1,1,1.0,335,1000000.0,0.2840729672270273,0.55,0.1111111111111111,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
paper1_economic_champion,income_band,1,1,1.0,335,1000000.0,0.2840729672270273,0.55,0.1111111111111111,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
paper1_economic_champion,income_band__dti_band,1,1,1.0,335,1000000.0,0.2840729672270273,0.55,0.1111111111111111,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
paper1_economic_champion,original_grade,7,3,0.42857142857142855,335,1000000.0,0.35294061948338923,0.5499999999999999,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
paper1_economic_champion,original_grade__state_top20,7,2,0.2857142857142857,335,1000000.0,0.35294061948338923,0.5499999999999999,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
paper1_economic_champion,period,5,5,1.0,335,1000000.0,0.26950908681699814,0.55,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
paper1_economic_champion,score_decile,1,1,1.0,335,1000000.0,0.2840729672270273,0.55,0.1111111111111111,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
paper1_economic_champion,score_decile__original_grade,7,2,0.2857142857142857,335,1000000.0,0.35294061948338923,0.5499999999999999,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
paper1_economic_champion,state_top20,1,1,1.0,335,1000000.0,0.2840729672270273,0.55,0.1111111111111111,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,dti_band,6,4,0.6666666666666666,350,1000000.0,0.21067872787706018,0.79755038267936,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,income_band,5,4,0.8,350,1000000.0,0.20935492761104832,0.8116512831215557,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,income_band__dti_band,22,0,0.0,350,1000000.0,0.23177708360831362,0.8245734235658272,,pool_to_parent_until_support_available,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,original_grade,7,3,0.42857142857142855,350,1000000.0,0.32043788320865646,0.7880998715672228,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,original_grade__state_top20,90,0,0.0,350,1000000.0,0.2482955975312495,0.8045052947855311,,pool_to_parent_until_support_available,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,period,5,5,1.0,350,1000000.0,0.20859047607953413,0.8159635200666129,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,score_decile,5,3,0.6,350,1000000.0,0.3868027926348721,0.8213646927951592,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,score_decile__original_grade,20,3,0.15,350,1000000.0,0.38016907710130843,0.8101619122074121,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,state_top20,21,3,0.14285714285714285,350,1000000.0,0.2112586541276895,0.8158026685437567,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,dti_band,6,4,0.6666666666666666,350,1000000.0,0.21067872787706018,0.79755038267936,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,income_band,5,4,0.8,350,1000000.0,0.20935492761104832,0.8116512831215557,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,income_band__dti_band,22,0,0.0,350,1000000.0,0.23177708360831362,0.8245734235658272,,pool_to_parent_until_support_available,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,original_grade,7,3,0.42857142857142855,350,1000000.0,0.32043788320865646,0.7880998715672228,0.1,empirical_p75_high_support_cells,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,original_grade__state_top20,90,0,0.0,350,1000000.0,0.2482955975312495,0.8045052947855311,,pool_to_parent_until_support_available,hierarchical_pool_to_parent_when_support_lt_25,False,observable source governance only; no protected-attribute inference
