left_out_month,min_support,policy_month_defended_min,source_month_defended_min,avg_width_loan,policy_month_cells,source_month_cells,defended_policy_month_cells,defended_source_month_cells
2018-01-01,5,0.9,0.8,0.940724896340597,3120,63732,2228,13753
2018-02-01,5,0.9,0.8,0.9330705808832382,3120,63938,2228,13453
2018-03-01,5,0.9,0.8,0.9344508343807896,3120,64450,2310,13835
2018-04-01,5,0.9,0.8,0.9344868375634644,3120,64727,2328,13853
2018-05-01,5,0.9,0.8,0.9341024688516149,3120,63688,2228,13579
2018-06-01,5,0.9,0.8,0.9327354795664153,3120,63188,2228,13249
2018-07-01,5,0.9,0.8,0.9348411940330356,3120,62852,2228,13153
2018-08-01,5,0.9,0.8,0.9346132288294591,3120,63167,2228,13274
2018-09-01,5,0.9,0.8,0.9335280592864523,3120,63552,2228,13323
2018-10-01,5,0.9,0.8,0.9348022452026202,3120,63232,2228,13033
2018-11-01,5,0.9,0.8,0.9342209355267562,3120,62600,2228,12719
2018-12-01,5,0.9,0.8,0.9343993251538615,3120,62870,2228,12941
2019-01-01,5,0.9,0.8,0.9345482289733826,3120,62988,2228,13021
2019-02-01,5,0.9,0.8,0.933235818330491,3120,62940,2228,13383
2019-03-01,5,0.9,0.8,0.933808526383498,3120,62738,2228,13340
2019-04-01,5,0.9,0.8,0.9342394818576412,3120,62667,2228,13080
2019-05-01,5,0.9,0.8,0.9340549264818612,3120,63428,2228,13173
2019-06-01,5,0.9,0.8,0.9336789392819808,3120,63310,2228,12971
2019-07-01,5,0.9,0.8,0.9319974106432737,3120,63227,2228,12753
2019-08-01,5,0.9,0.8,0.9339221248821135,3120,63430,2228,12977
2019-09-01,5,0.9,0.8,0.9327697293780579,3120,64092,2228,13553
2019-10-01,5,0.9,0.8,0.9340143516256113,3120,63922,2228,13493
2019-11-01,5,0.9230769230769231,0.8,0.9333339349750774,3120,63656,2228,13625
2019-12-01,5,0.9,0.8,0.9344763126549608,3120,63832,2228,13401
2020-01-01,5,0.9,0.8,0.9338914312979154,3120,63732,2228,13557
2020-02-01,5,0.9,0.8,0.9346301176089201,3120,64372,2318,13833
2020-03-01,5,0.9,0.8,0.9342611108047396,3200,65672,2328,13853
2020-04-01,5,0.9,0.8,0.9348263105089002,3120,64592,2328,13853
2020-05-01,5,0.9,0.8,0.9344589994535561,3120,65192,2328,13853
2020-06-01,5,0.9,0.8,0.9345337641469079,3120,65192,2328,13853
2020-07-01,5,0.9,0.8,0.9345077598816678,3120,64482,2328,13853
2020-08-01,5,0.9,0.8,0.9344072112811868,3120,64692,2328,13853
2020-09-01,5,0.9,0.8,0.934270779780412,3120,65192,2328,13853
