regime_v59,scenario_row,scenario_loss_v59,scenario_return_v59,eta_v59,excess_loss_v59
tail_first_low_budget,0,16418.255329839478,31651.895108151413,38094.054892901266,0.0
tail_first_low_budget,1,24112.764094222635,25359.053183245982,38094.054892901266,0.0
tail_first_low_budget,2,38094.05489290127,12907.66456526702,38094.054892901266,7.275957614183426e-12
tail_first_low_budget,3,21014.884886989934,28242.384690627387,38094.054892901266,0.0
tail_first_low_budget,4,23273.986686396773,25877.40018995293,38094.054892901266,0.0
tail_first_low_budget,5,20752.34396815024,28248.432493408432,38094.054892901266,0.0
tail_first_low_budget,6,24928.684440798406,24961.98963445489,38094.054892901266,0.0
tail_first_low_budget,7,20376.72650628466,28806.39411473767,38094.054892901266,0.0
tail_first_low_budget,8,18950.085848765437,29578.668028960135,38094.054892901266,0.0
tail_first_low_budget,9,16221.649845029753,32045.109901964344,38094.054892901266,0.0
tail_first_low_budget,10,57305.015943349004,-5349.191281343867,38094.054892901266,19210.96105044774
tail_first_low_budget,11,30489.887650002685,19840.43928622339,38094.054892901266,0.0
tail_first_low_budget,12,18597.957821187785,29845.545543103875,38094.054892901266,0.0
tail_first_low_budget,13,23349.286302197586,26027.02080922344,38094.054892901266,0.0
tail_first_low_budget,14,32498.240890539426,18111.02938033087,38094.054892901266,0.0
tail_first_low_budget,15,28211.82114586687,21853.719668606827,38094.054892901266,0.0
tail_first_low_budget,16,19210.602752296192,29399.284537264728,38094.054892901266,0.0
tail_first_low_budget,17,16209.713580939895,32048.416547340235,38094.054892901266,0.0
tail_first_low_budget,18,23066.4552041846,26617.812552111147,38094.054892901266,0.0
tail_first_low_budget,19,36340.24843727961,14464.620188064468,38094.054892901266,0.0
tail_first_low_budget,20,25916.0211295173,23540.07950993025,38094.054892901266,0.0
tail_first_low_budget,21,27145.469430034096,22636.735105843112,38094.054892901266,0.0
tail_first_low_budget,22,32915.930382879684,17726.660406498275,38094.054892901266,0.0
tail_first_low_budget,23,32654.675006450176,17838.377316316746,38094.054892901266,0.0
tail_first_low_budget,24,21101.67775088124,27776.08086374315,38094.054892901266,0.0
tail_first_low_budget,25,18324.284370766527,30321.72923227546,38094.054892901266,0.0
tail_first_low_budget,26,33800.64157239177,16882.097914799568,38094.054892901266,0.0
tail_first_low_budget,27,33174.12817322262,17321.181582273588,38094.054892901266,0.0
tail_first_low_budget,28,18262.81263561633,30154.783184971675,38094.054892901266,0.0
tail_first_low_budget,29,29022.88198348906,20966.8522786538,38094.054892901266,0.0
tail_first_low_budget,30,42007.96700063977,9207.868976540565,38094.054892901266,3913.912107738506
tail_first_low_budget,31,40581.40159374308,10481.729382313617,38094.054892901266,2487.3467008418156
tail_first_low_budget,32,12918.916170498698,34364.46701893563,38094.054892901266,0.0
tail_first_low_budget,33,26959.874107030384,22839.267561565983,38094.054892901266,0.0
tail_first_low_budget,34,40582.50531097304,10593.523145042012,38094.054892901266,2488.4504180717777
tail_first_low_budget,35,30782.04049753438,19549.887162268253,38094.054892901266,0.0
tail_first_low_budget,36,18674.586888821905,29833.549575733574,38094.054892901266,0.0
tail_first_low_budget,37,16357.784289603878,31936.799754143893,38094.054892901266,0.0
tail_first_low_budget,38,36467.470803353826,14415.530717664007,38094.054892901266,0.0
tail_first_low_budget,39,28454.37885392365,21667.728471774983,38094.054892901266,0.0
tail_first_low_budget,40,20142.613429511654,28606.47496652459,38094.054892901266,0.0
tail_first_low_budget,41,26124.19392002159,23575.04458228639,38094.054892901266,0.0
tail_first_low_budget,42,35264.89740563234,15560.98084310167,38094.054892901266,0.0
tail_first_low_budget,43,21250.71613857761,28039.617959110972,38094.054892901266,0.0
tail_first_low_budget,44,21756.64018731078,27179.674930526537,38094.054892901266,0.0
tail_first_low_budget,45,20968.2855161727,28051.341241477534,38094.054892901266,0.0
tail_first_low_budget,46,32389.704591747886,18185.51225049603,38094.054892901266,0.0
tail_first_low_budget,47,27246.061164969073,22776.109510792936,38094.054892901266,0.0
tail_first_low_budget,48,17524.131313470465,30804.385608282704,38094.054892901266,0.0
tail_first_low_budget,49,18375.144641003593,30230.060636238544,38094.054892901266,0.0
tail_first_low_budget,50,30014.777488680196,20346.319512505317,38094.054892901266,0.0
tail_first_low_budget,51,29004.498074554598,21158.041491250737,38094.054892901266,0.0
tail_first_low_budget,52,19830.327376310994,28869.654125594272,38094.054892901266,0.0
tail_first_low_budget,53,17043.676392980808,31401.739966287878,38094.054892901266,0.0
tail_first_low_budget,54,51347.8427142276,376.0165976462838,38094.054892901266,13253.787821326332
tail_first_low_budget,55,19941.823665749173,29196.256307897984,38094.054892901266,0.0
tail_first_low_budget,56,15731.391202022698,32226.459421653046,38094.054892901266,0.0
tail_first_low_budget,57,27137.868814988025,22659.065633158025,38094.054892901266,0.0
tail_first_low_budget,58,34036.1162283522,16663.887596302036,38094.054892901266,0.0
tail_first_low_budget,59,21428.579228337665,27867.721189895878,38094.054892901266,0.0
tail_first_low_budget,60,24108.280933523107,25184.368613237464,38094.054892901266,0.0
tail_first_low_budget,61,33239.523487073326,17110.326068889943,38094.054892901266,0.0
tail_first_low_budget,62,28995.0610452444,21289.288788503203,38094.054892901266,0.0
tail_first_low_budget,63,26147.247744999266,23762.49950737352,38094.054892901266,0.0
