online_method_v9,method_family,deployable_without_current_outcomes,min_effective_sample_size,coverage_policy_month_raw_min,coverage_policy_month_defended_min,coverage_source_month_raw_min,coverage_source_month_defended_min,avg_width_loan,avg_width_policy_month,share_rows_widened_vs_v4,share_rows_shrunk_vs_v4,small_policy_month_cells_pooled,small_source_month_cells_pooled,gate_source_month_80,gate_policy_month_90,gate_width_95,goal_pass,source_margin_to_0p80,policy_margin_to_0p90,width_margin_to_0p95,parameters_json,caveat
v9_tail_guard_dti_q5_only_m0.940_d0.140_t0.040,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9342434494753106,0.9224315330499264,0.512378491086899,0.4876215089131009,892,51939,True,True,True,True,0.0,0.0,0.015756550524689383,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.04, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.940_d0.140_t0.040,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9344463133695251,0.9207204795664283,0.5065049484596634,0.49349505154033657,892,51939,True,True,True,True,0.0,0.0,0.01555368663047485,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.04, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.940_d0.140_t0.050,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9345635575484948,0.9231285335808607,0.51913306510822,0.48086693489177995,892,51939,True,True,True,True,0.0,0.0,0.015436442451505106,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.05, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.940_d0.160_t0.040,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9345918408064829,0.9228062590760295,0.512378491086899,0.4876215089131009,892,51939,True,True,True,True,0.0,0.0,0.015408159193517013,"{""base_multiplier"": 0.94, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.04, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.940_d0.140_t0.050,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.934769358214023,0.9209551254508632,0.5065049484596634,0.49349505154033657,892,51939,True,True,True,True,0.0,0.0,0.015230641785976995,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.05, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.940_d0.160_t0.040,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9347947047006976,0.9210952055925314,0.5065049484596634,0.49349505154033657,892,51939,True,True,True,True,0.0,0.0,0.015205295299302368,"{""base_multiplier"": 0.94, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.04, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.940_d0.140_t0.060,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9348561213520347,0.9237872636325984,0.5414525270917153,0.4585474729082846,892,51939,True,True,True,True,0.0,0.0,0.015143878647965292,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.06, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.940_d0.160_t0.050,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9349119488796673,0.9235032596069636,0.51913306510822,0.48086693489177995,892,51939,True,True,True,True,0.0,0.0,0.015088051120332624,"{""base_multiplier"": 0.94, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.05, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.940_d0.140_t0.060,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9350023943000547,0.9211022705360014,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.014997605699945238,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.06, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.940_d0.160_t0.050,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9351177495451956,0.9213298514769663,0.5065049484596634,0.49349505154033657,892,51939,True,True,True,True,0.0,0.0,0.014882250454804402,"{""base_multiplier"": 0.94, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.05, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
