loan_id_v291,loan_amount_v291,mean_return_v291,budget_eligible_v291,return_positive_v291,source_feasible_v291,source_min_slack_after_add_v291,source_cap_violations_after_add_v291,first_source_blocker_v291,cvar90_after_add_v291,cvar_feasible_after_add_v291,claim_boundary_v291
163324175,6000.0,139.44775486156865,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
168826644,6500.0,135.40575202592058,True,True,False,-0.0010961318644572282,2,grade=A,,False,single-add cardinality restoration diagnostic only
142120597,6500.0,134.11691003602348,True,True,False,-0.0010961318644572282,2,grade=A,,False,single-add cardinality restoration diagnostic only
154436931,6000.0,132.96657294409064,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
141276527,6000.0,132.9202421476267,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
142079730,6000.0,129.91545615643668,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
150611326,6275.0,129.64825047955017,True,True,False,-0.0010575346023550258,2,grade=A,,False,single-add cardinality restoration diagnostic only
144247928,6500.0,127.78640532260698,True,True,False,-0.0010961318644572282,2,grade=A,,False,single-add cardinality restoration diagnostic only
143516104,6400.0,125.82046062533612,True,True,False,-0.0010789800488130163,2,grade=A,,False,single-add cardinality restoration diagnostic only
141807284,6000.0,123.800224648637,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
142972698,6000.0,123.3491208467289,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
137419330,6500.0,123.3071662323924,True,True,False,-0.0010961318644572282,2,grade=A,,False,single-add cardinality restoration diagnostic only
161426370,6300.0,123.26400434253817,True,True,False,-0.0010618241963790132,2,grade=A,,False,single-add cardinality restoration diagnostic only
145033022,5050.0,123.15122962377396,True,True,False,-0.0008470348547660045,2,grade=A,,False,single-add cardinality restoration diagnostic only
127627172,6000.0,123.1002654132381,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
136303435,6000.0,121.99293531638878,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
146953283,6000.0,121.5788767000646,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
140809117,6000.0,120.3701362484532,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
144603743,5000.0,117.7744573455491,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
163039143,6300.0,116.9349660036055,True,True,False,-0.0010618241963790132,2,grade=A,,False,single-add cardinality restoration diagnostic only
157884234,6300.0,116.58870801530301,True,True,False,-0.0010618241963790132,2,grade=A,,False,single-add cardinality restoration diagnostic only
158239130,6000.0,116.27426245574547,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
134887730,6000.0,116.22427411823872,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
156730408,5000.0,115.9688961683034,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
159206697,5225.0,115.62534131143642,True,True,False,-0.000877143451193052,2,grade=A,,False,single-add cardinality restoration diagnostic only
134978773,6000.0,114.53268131338665,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
129004615,6200.0,114.30620870591711,True,True,False,-0.0010446643057298033,2,grade=A,,False,single-add cardinality restoration diagnostic only
145323924,6000.0,113.91829262230573,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
137511627,6000.0,113.82199959913154,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
137373345,6000.0,113.53745207330084,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
138219335,6000.0,113.53745207330084,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
141583388,5500.0,113.48353926125061,True,True,False,-0.0009244318812943186,2,grade=A,,False,single-add cardinality restoration diagnostic only
136611261,6000.0,112.81606160214484,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
142924285,6200.0,112.46691214786445,True,True,False,-0.0010446643057298033,2,grade=A,,False,single-add cardinality restoration diagnostic only
126649176,5700.0,112.24841020306202,True,True,False,-0.0009588042293235954,2,grade=A,,False,single-add cardinality restoration diagnostic only
144076662,6500.0,112.24686391166718,True,True,False,-0.0010961318644572282,2,grade=A,,False,single-add cardinality restoration diagnostic only
156254039,6500.0,111.24602189870429,True,True,False,-0.0010961318644572282,2,grade=A,,False,single-add cardinality restoration diagnostic only
137482407,6000.0,110.4370604989856,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
152876464,5000.0,110.20247411107124,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
169480506,5000.0,109.9068586008654,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
132976333,5000.0,109.73439330317478,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
142893894,5000.0,108.26288013036388,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
142125955,5000.0,108.26288013036388,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
131561763,6400.0,107.47413367795019,True,True,False,-0.0010789800488130163,2,grade=A,,False,single-add cardinality restoration diagnostic only
145450819,5000.0,107.36672228343944,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
132524723,6000.0,106.3822684498033,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
135919219,5000.0,105.08826248353087,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
144994235,5500.0,104.42510157044688,True,True,False,-0.0009244318812943186,2,grade=A,,False,single-add cardinality restoration diagnostic only
142676323,5000.0,103.16685387386418,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
142943207,5000.0,102.79093403894073,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
145786395,4500.0,102.56349311907768,True,True,False,-0.0007523269334022142,2,grade=A,,False,single-add cardinality restoration diagnostic only
127178924,4600.0,101.80950106717673,True,True,False,-0.0007695556924314229,2,grade=A,,False,single-add cardinality restoration diagnostic only
157441266,5500.0,101.78379271177243,True,True,False,-0.0009244318812943186,2,grade=A,,False,single-add cardinality restoration diagnostic only
129075991,5000.0,100.87185986803526,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
168756105,5300.0,100.77103915754338,True,True,False,-0.0008900433346974435,2,grade=A,,False,single-add cardinality restoration diagnostic only
132169879,6000.0,100.7570003230783,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
130762632,5000.0,99.96627062418465,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
144800395,6000.0,99.33054918410829,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
150960149,4800.0,99.17316371344073,True,True,False,-0.0008040010242819084,2,grade=A,,False,single-add cardinality restoration diagnostic only
140899217,6400.0,99.06378562609845,True,True,False,-0.0010789800488130163,2,grade=A,,False,single-add cardinality restoration diagnostic only
160775590,6300.0,98.95116611184243,True,True,False,-0.0010618241963790132,2,grade=A,,False,single-add cardinality restoration diagnostic only
132184295,5000.0,98.94061395079514,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
143320479,5000.0,98.29723486354378,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
158203857,6250.0,97.85482916816399,True,True,False,-0.0010532447559203906,2,grade=A,,False,single-add cardinality restoration diagnostic only
154799873,6000.0,97.51365178568331,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
136483522,5000.0,97.12291704985842,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
127189673,4500.0,96.48727370060247,True,True,False,-0.0007523269334022142,2,grade=A,,False,single-add cardinality restoration diagnostic only
143664875,6000.0,96.00136000100183,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
155368409,5600.0,95.8427265588837,True,True,False,-0.0009416200794145624,2,grade=A,,False,single-add cardinality restoration diagnostic only
134477602,6500.0,95.66474122859017,True,True,False,-0.0010961318644572282,2,grade=A,,False,single-add cardinality restoration diagnostic only
135558963,5000.0,95.44390109448884,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
139046242,5000.0,94.61454339441738,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
138328843,5000.0,94.61454339441738,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
142228381,5000.0,94.54807309089401,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
142191318,5000.0,94.54807309089401,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
143518370,4800.0,94.36534546900197,True,True,False,-0.0008040010242819084,2,grade=A,,False,single-add cardinality restoration diagnostic only
155953181,5500.0,94.13124929890355,True,True,False,-0.0009244318812943186,2,grade=A,,False,single-add cardinality restoration diagnostic only
151810745,4000.0,93.66283163478127,True,True,False,-0.0006661221496996328,2,grade=A,,False,single-add cardinality restoration diagnostic only
149179913,6000.0,93.66062619554398,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
139377183,6000.0,92.87229902446734,True,True,False,-0.0010103324040812156,2,grade=A,,False,single-add cardinality restoration diagnostic only
139033869,5000.0,92.52481570859922,True,True,False,-0.0008384301174304554,2,grade=A,,False,single-add cardinality restoration diagnostic only
154767285,4175.0,92.52257367359641,True,True,False,-0.0006963053922065532,2,grade=A,,False,single-add cardinality restoration diagnostic only
164671281,6300.0,91.80301972956812,True,True,False,-0.0010618241963790132,2,grade=A,,False,single-add cardinality restoration diagnostic only
157869876,5225.0,91.78909236556069,True,True,False,-0.000877143451193052,2,grade=A,,False,single-add cardinality restoration diagnostic only
