policy_id,scenario,n_funded,funded_exposure,contractual_ecl_v4,realized_return_proxy_lgd45,stage1_share,stage2_share,stage3_share,actual_default_status_share,net_return_after_contractual_ecl_v4
paper4_v4_local_rt0p1700_g0p425_u0p075,baseline,335,1000000.0,92429.74534078079,173075.48672666072,0.0,1.0,0.0,0.0,80645.74138587993
paper4_v4_local_rt0p1700_g0p425_u0p075,optimistic,335,1000000.0,27334.093111243663,173075.48672666072,0.7253731343283583,0.2746268656716418,0.0,0.0,145741.39361541707
paper4_v4_local_rt0p1700_g0p425_u0p075,severe,335,1000000.0,332069.6331951855,173075.48672666072,0.0,1.0,0.0,0.0,-158994.1464685248
paper4_v4_local_rt0p1700_g0p425_u0p100,adverse,335,1000000.0,312385.8346302691,174404.72097666154,0.0,1.0,0.0,0.0,-137981.11365360755
paper4_v4_local_rt0p1700_g0p425_u0p100,baseline,335,1000000.0,92433.56546434667,174404.72097666154,0.0,1.0,0.0,0.0,81971.15551231487
paper4_v4_local_rt0p1700_g0p425_u0p100,optimistic,335,1000000.0,27276.444902051586,174404.72097666154,0.7253731343283583,0.2746268656716418,0.0,0.0,147128.27607460995
paper4_v4_local_rt0p1700_g0p425_u0p100,severe,335,1000000.0,332279.7999138648,174404.72097666154,0.0,1.0,0.0,0.0,-157875.07893720327
paper4_v4_local_rt0p1700_g0p450_u0p000,adverse,340,1000000.0,307381.52489125886,173790.71071864534,0.0,1.0,0.0,0.0,-133590.81417261352
paper4_v4_local_rt0p1700_g0p450_u0p000,baseline,340,1000000.0,90446.26233268481,173790.71071864534,0.0,1.0,0.0,0.0,83344.44838596052
paper4_v4_local_rt0p1700_g0p450_u0p000,optimistic,340,1000000.0,26542.672337410273,173790.71071864534,0.7235294117647059,0.27647058823529413,0.0,0.0,147248.03838123506
paper4_v4_local_rt0p1700_g0p450_u0p000,severe,340,1000000.0,327070.4756065642,173790.71071864534,0.0,1.0,0.0,0.0,-153279.76488791886
paper4_v4_local_rt0p1700_g0p450_u0p025,adverse,340,1000000.0,307851.5013756571,174998.4336112657,0.0,1.0,0.0,0.0,-132853.0677643914
paper4_v4_local_rt0p1700_g0p450_u0p025,baseline,340,1000000.0,90461.12193526527,174998.4336112657,0.0,1.0,0.0,0.0,84537.31167600043
paper4_v4_local_rt0p1700_g0p450_u0p025,optimistic,340,1000000.0,26430.364004112333,174998.4336112657,0.7264705882352941,0.2735294117647059,0.0,0.0,148568.06960715336
paper4_v4_local_rt0p1700_g0p450_u0p025,severe,340,1000000.0,327643.3263380833,174998.4336112657,0.0,1.0,0.0,0.0,-152644.8927268176
paper4_v4_local_rt0p1700_g0p450_u0p050,adverse,339,1000000.0,308219.90824960184,175478.2518754841,0.0,1.0,0.0,0.0,-132741.65637411774
paper4_v4_local_rt0p1700_g0p450_u0p050,baseline,339,1000000.0,90464.51857102972,175478.2518754841,0.0,1.0,0.0,0.0,85013.73330445438
paper4_v4_local_rt0p1700_g0p450_u0p050,optimistic,339,1000000.0,26352.300121202847,175478.2518754841,0.7286135693215339,0.2713864306784661,0.0,0.0,149125.95175428124
paper4_v4_local_rt0p1700_g0p450_u0p050,severe,339,1000000.0,328097.1575727228,175478.2518754841,0.0,1.0,0.0,0.0,-152618.90569723872
paper4_v4_local_rt0p1700_g0p450_u0p075,adverse,338,1000000.0,307591.81153106986,175657.95308946315,0.0,1.0,0.0,0.0,-131933.85844160672
paper4_v4_local_rt0p1700_g0p450_u0p075,baseline,338,1000000.0,90358.95609185622,175657.95308946315,0.0,1.0,0.0,0.0,85298.99699760693
paper4_v4_local_rt0p1700_g0p450_u0p075,optimistic,338,1000000.0,26206.35740302113,175657.95308946315,0.7366863905325444,0.26331360946745563,0.0,0.0,149451.59568644201
paper4_v4_local_rt0p1700_g0p450_u0p075,severe,338,1000000.0,327551.06555542955,175657.95308946315,0.0,1.0,0.0,0.0,-151893.1124659664
paper4_v4_local_rt0p1700_g0p450_u0p100,adverse,339,1000000.0,307860.2492531705,176079.0568910174,0.0,1.0,0.0,0.0,-131781.19236215312
paper4_v4_local_rt0p1700_g0p450_u0p100,baseline,339,1000000.0,90340.70898014985,176079.0568910174,0.0,1.0,0.0,0.0,85738.34791086754
paper4_v4_local_rt0p1700_g0p450_u0p100,optimistic,339,1000000.0,26130.383323332015,176079.0568910174,0.7404129793510325,0.25958702064896755,0.0,0.0,149948.6735676854
paper4_v4_local_rt0p1700_g0p450_u0p100,severe,339,1000000.0,327893.75858156633,176079.0568910174,0.0,1.0,0.0,0.0,-151814.70169054894
paper4_v4_local_rt0p1700_g0p475_u0p000,adverse,343,1000000.0,302165.20809114946,171759.67280928156,0.0,1.0,0.0,0.0,-130405.5352818679
paper4_v4_local_rt0p1700_g0p475_u0p000,baseline,343,1000000.0,88183.78419074281,171759.67280928156,0.0,1.0,0.0,0.0,83575.88861853875
paper4_v4_local_rt0p1700_g0p475_u0p000,optimistic,343,1000000.0,25348.888075517785,171759.67280928156,0.7317784256559767,0.26822157434402333,0.0,0.0,146410.78473376378
paper4_v4_local_rt0p1700_g0p475_u0p000,severe,343,1000000.0,321928.16730875877,171759.67280928156,0.0,1.0,0.0,0.0,-150168.4944994772
paper4_v4_local_rt0p1700_g0p475_u0p025,adverse,345,1000000.0,302333.31635550136,171111.06526498214,0.0,1.0,0.0,0.0,-131222.25109051922
paper4_v4_local_rt0p1700_g0p475_u0p025,baseline,345,1000000.0,88125.85981848002,171111.06526498214,0.0,1.0,0.0,0.0,82985.20544650212
paper4_v4_local_rt0p1700_g0p475_u0p025,optimistic,345,1000000.0,25253.11342141264,171111.06526498214,0.7333333333333333,0.26666666666666666,0.0,0.0,145857.9518435695
paper4_v4_local_rt0p1700_g0p475_u0p025,severe,345,1000000.0,322169.7292636656,171111.06526498214,0.0,1.0,0.0,0.0,-151058.66399868348
paper4_v4_local_rt0p1700_g0p475_u0p050,adverse,341,1000000.0,301961.0113409274,171238.3244154223,0.0,1.0,0.0,0.0,-130722.68692550508
paper4_v4_local_rt0p1700_g0p475_u0p050,baseline,341,1000000.0,88200.52230611163,171238.3244154223,0.0,1.0,0.0,0.0,83037.80210931068
paper4_v4_local_rt0p1700_g0p475_u0p050,optimistic,341,1000000.0,25233.859330946547,171238.3244154223,0.7448680351906158,0.25513196480938416,0.0,0.0,146004.46508447576
paper4_v4_local_rt0p1700_g0p475_u0p050,severe,341,1000000.0,321835.64236034616,171238.3244154223,0.0,1.0,0.0,0.0,-150597.31794492385
paper4_v4_local_rt0p1700_g0p475_u0p075,adverse,342,1000000.0,302457.1916512122,173262.65358311104,0.0,1.0,0.0,0.0,-129194.53806810119
paper4_v4_local_rt0p1700_g0p475_u0p075,baseline,342,1000000.0,88178.96141474639,173262.65358311104,0.0,1.0,0.0,0.0,85083.69216836465
paper4_v4_local_rt0p1700_g0p475_u0p075,optimistic,342,1000000.0,25105.52501510933,173262.65358311104,0.7485380116959064,0.25146198830409355,0.0,0.0,148157.1285680017
paper4_v4_local_rt0p1700_g0p475_u0p075,severe,342,1000000.0,322462.02368090826,173262.65358311104,0.0,1.0,0.0,0.0,-149199.37009779722
paper4_v4_local_rt0p1700_g0p475_u0p100,adverse,341,1000000.0,303130.0117182186,174431.6433553046,0.0,1.0,0.0,0.0,-128698.36836291401
paper4_v4_local_rt0p1700_g0p475_u0p100,baseline,341,1000000.0,88298.2167884231,174431.6433553046,0.0,1.0,0.0,0.0,86133.4265668815
paper4_v4_local_rt0p1700_g0p475_u0p100,optimistic,341,1000000.0,25078.54754601539,174431.6433553046,0.7536656891495601,0.24633431085043989,0.0,0.0,149353.09580928923
paper4_v4_local_rt0p1700_g0p475_u0p100,severe,341,1000000.0,323225.3245996923,174431.6433553046,0.0,1.0,0.0,0.0,-148793.6812443877
paper4_v4_local_rt0p1700_g0p500_u0p000,adverse,344,1000000.0,297375.29578309413,169603.66556130192,0.0,1.0,0.0,0.0,-127771.6302217922
paper4_v4_local_rt0p1700_g0p500_u0p000,baseline,344,1000000.0,86110.59784353519,169603.66556130192,0.0,1.0,0.0,0.0,83493.06771776674
paper4_v4_local_rt0p1700_g0p500_u0p000,optimistic,344,1000000.0,24278.19757346204,169603.66556130192,0.7383720930232558,0.2616279069767442,0.0,0.0,145325.4679878399
