macro_regime_v15,macro_event_label_v23,n_paths,n_months,default_factor_mean,default_factor_p95,lgd_factor_mean,prepay_factor_mean,observed_default_anchor_v23,observed_lgd_anchor_v23,path_claim_boundary,version_v31
baseline_internal,crisis:Pandemia COVID-19,128,1,1.046732583200472,1.3480440990370945,0.9982525876263584,1.0068722047921552,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
baseline_internal,market:Expansión fintech y competencia en lending,128,1,1.0067559735325,1.3656408938454503,1.0006839788146775,1.0047626362244044,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
baseline_internal,none,128,66,1.004611033246803,1.2717722848294724,0.9988908212737986,1.0056883924555522,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
baseline_internal,regulation:IFRS 9 entra en vigor globalmente,128,1,1.0087565060931845,1.1399175366817018,1.0042070135931762,0.9977985599372923,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
macro_stress_internal,crisis:Pandemia COVID-19,128,1,1.557378347886871,2.000323235818272,1.2371488282928749,0.7959882623034954,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
macro_stress_internal,market:Expansión fintech y competencia en lending,128,1,1.4978155639693511,1.9678228965651892,1.2387172006100318,0.7955396414233922,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
macro_stress_internal,none,128,66,1.5081090375734663,1.940914004374308,1.2438299786756775,0.7928809381916583,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
macro_stress_internal,regulation:IFRS 9 entra en vigor globalmente,128,1,1.4645785811429661,1.6795515219541708,1.2257605091251607,0.7982119309143149,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
mild_stress_internal,crisis:Pandemia COVID-19,128,1,1.2037477852704483,1.5358108021211236,1.0790339422918926,0.9256807285670959,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
mild_stress_internal,market:Expansión fintech y competencia en lending,128,1,1.1677125691493377,1.5225462218800307,1.0864820271629978,0.9203523364811066,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
mild_stress_internal,none,128,66,1.1696246434190876,1.496360176963633,1.0867070009774942,0.9207698601124759,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
mild_stress_internal,regulation:IFRS 9 entra en vigor globalmente,128,1,1.1529559312208513,1.3089327200672596,1.0807016229357027,0.9208088246971963,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
vintage_stress_internal,crisis:Pandemia COVID-19,128,1,1.3465477807869488,1.713847868596837,1.1688292465542685,0.8541391069459933,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
vintage_stress_internal,market:Expansión fintech y competencia en lending,128,1,1.2770577315725207,1.622599523628779,1.1613307372798733,0.8582973360858935,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
vintage_stress_internal,none,128,66,1.298272722239346,1.663849622015078,1.1726832761585575,0.8519112530069084,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
vintage_stress_internal,regulation:IFRS 9 entra en vigor globalmente,128,1,1.2531931262946057,1.4038392377544038,1.1508046697923755,0.8606375844897592,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_scaled_512_candidate_diagnostics
